00007ff8165b2ca3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8165b84af (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff8165bcc0a (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff8165b809c (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff8165b8290 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff8165b7e9c (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff8165b7c29 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff8165b1f6a (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff8165b190e (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff8165b1803 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff8165b74e2 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff8165b1d3b (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff8165b4a77 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff8165b4996 (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff8165b776b (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff8165b7886 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff8165b79c8 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff8165b7ae7 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff8165b7337 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff8165b94b6 (__TEXT,__text) non-external +[CalEvent event]
00007ff8165b9c45 (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff8165bb76f (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff8165bb824 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff8165bb871 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
