00007ffc137ede5e (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc137ee1db (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc137ed278 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc137ed966 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc137eda6e (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc13774f5f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc13774f28 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc1378b01c (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc13774eda (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc13774ec0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc13774f0e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc13774ef4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc13776527 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc1377a2c3 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc1377a1fb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc1377a13c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc1377a1ea (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc137e2e20 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc1377a360 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc1377a2ce (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc1377a9b6 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc1377afa1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc1377b9ad (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc1377b938 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc1377b489 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc137f5962 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc137f5977 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc137f5353 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc137f5800 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc137abef1 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc1378bf26 (__TEXT,__text) external _AAByteRangeAdd
00007ffc1378be2e (__TEXT,__text) external _AAByteRangeClone
00007ffc1378bd92 (__TEXT,__text) external _AAByteRangeCreate
00007ffc1378be08 (__TEXT,__text) external _AAByteRangeDestroy
00007ffc1378c0f4 (__TEXT,__text) external _AAByteRangeFirst
00007ffc1378c201 (__TEXT,__text) external _AAByteRangeNext
00007ffc1378c086 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc1378c014 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc1378bfa2 (__TEXT,__text) external _AAByteRangeSub
00007ffc137ec374 (__TEXT,__text) external _AAByteStreamCancel
00007ffc137ec389 (__TEXT,__text) external _AAByteStreamClose
00007ffc137ec3c0 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc137ec409 (__TEXT,__text) external _AAByteStreamFlush
00007ffc137ec33c (__TEXT,__text) external _AAByteStreamPRead
00007ffc137ec43d (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc137ec304 (__TEXT,__text) external _AAByteStreamPWrite
00007ffc137c55b1 (__TEXT,__text) external _AAByteStreamProcess
00007ffc137ec320 (__TEXT,__text) external _AAByteStreamRead
00007ffc137ec358 (__TEXT,__text) external _AAByteStreamSeek
00007ffc137ec423 (__TEXT,__text) external _AAByteStreamTruncate
00007ffc137ec259 (__TEXT,__text) external _AAByteStreamWrite
00007ffc137aa374 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc137a9a73 (__TEXT,__text) external _AAChunkInputStreamOpen
