0000000298c0f830 (__DATA_DIRTY,__common) external _AfterColour
0000000298c0f770 (__DATA_DIRTY,__common) external _ApplyExtTspWithoutProfile
0000000298c0f6b0 (__DATA_DIRTY,__common) external _AsmMacroMaxNestingDepth
0000000298c0f5f0 (__DATA_DIRTY,__common) external _BBSectionsDetectSourceDrift
                 (undefined) external _BZ2_bzBuffToBuffCompress (from libbz2)
                 (undefined) external _BZ2_bzBuffToBuffDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
0000000298c0f508 (__DATA_DIRTY,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
0000000298c0f440 (__DATA_DIRTY,__common) external _CheapRematWeight
0000000298c0f270 (__DATA_DIRTY,__common) external _CommonColour
0000000298c0f1a8 (__DATA_DIRTY,__common) external _CopyWeight
0000000298c0f0e8 (__DATA_DIRTY,__common) external _DisableBitcodeVersionUpgrade
0000000298c0f028 (__DATA_DIRTY,__common) external _EnableExtTspBlockPlacement
0000000298c0ef68 (__DATA_DIRTY,__common) external _EnableLTOInternalization
0000000298c0eea8 (__DATA_DIRTY,__common) external _EnableVPlanNativePath
0000000298c0ede8 (__DATA_DIRTY,__common) external _EnableVPlanPredication
0000000298c0ed28 (__DATA_DIRTY,__common) external _EvictInterferenceCutoff
0000000298c0ec60 (__DATA_DIRTY,__common) external _ExpensiveRematWeight
0000000298c0ea08 (__DATA_DIRTY,__common) external _FSEC
0000000298c0e948 (__DATA_DIRTY,__common) external _ForceFusion
000000029583fb88 (__DATA,__common) external _ForceSummaryEdgesCold
0000000298c0e888 (__DATA_DIRTY,__common) external _FuseMatrix
0000000298c0e7c8 (__DATA_DIRTY,__common) external _GenerateMergedBaseProfiles
0000000298c0e570 (__DATA_DIRTY,__common) external _InlinerFunctionImportStats
0000000244e9e82c (__TEXT,__text) external _LLVMABIAlignmentOfType
0000000244e9e7a4 (__TEXT,__text) external _LLVMABISizeOfType
0000000244670cbc (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
0000000244670cc4 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00000002456ee370 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
000000024557a110 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
0000000243f29cc4 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00000002444e28f0 (__TEXT,__text) external _LLVMAddAlias
00000002444e294c (__TEXT,__text) external _LLVMAddAlias2
000000024557a20c (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
000000024480e278 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00000002456b3970 (__TEXT,__text) external _LLVMAddAnalysisPasses
00000002454067b0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00000002444e3040 (__TEXT,__text) external _LLVMAddAttributeAtIndex
000000024557ae28 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
000000024557a1b8 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
000000024557a260 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00000002444e3f28 (__TEXT,__text) external _LLVMAddCallSiteAttribute
0000000245406808 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00000002444e5410 (__TEXT,__text) external _LLVMAddCase
00000002452f895c (__TEXT,__text) external _LLVMAddClause
000000024540685c (__TEXT,__text) external _LLVMAddConstantMergePass
00000002450419b4 (__TEXT,__text) external _LLVMAddCoroCleanupPass
