000000018e1e2bf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
000000018e1e2788 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
000000018e1e27a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
000000018e1e27bc (__TEXT,__gcc_except_tab) non-external GCC_except_table18
000000018e1e2c00 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
000000018e1e27f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000018e1e2834 (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000018e1e28a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table38
000000018e1e28c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
000000018e1e28f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table41
000000018e1e292c (__TEXT,__gcc_except_tab) non-external GCC_except_table42
000000018e1e294c (__TEXT,__gcc_except_tab) non-external GCC_except_table44
000000018e1e296c (__TEXT,__gcc_except_tab) non-external GCC_except_table48
000000018e1e298c (__TEXT,__gcc_except_tab) non-external GCC_except_table49
000000018e1e2768 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
000000018e1e2778 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
000000018e1e29ac (__TEXT,__gcc_except_tab) non-external GCC_except_table63
000000018e1e2a50 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
000000018e1e2a98 (__TEXT,__gcc_except_tab) non-external GCC_except_table69
000000018e1e2adc (__TEXT,__gcc_except_tab) non-external GCC_except_table72
000000018e1e2b08 (__TEXT,__gcc_except_tab) non-external GCC_except_table73
000000018e1e2bc8 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
000000018e1e2b68 (__TEXT,__gcc_except_tab) non-external GCC_except_table83
000000018e1e2b88 (__TEXT,__gcc_except_tab) non-external GCC_except_table84
000000018e1e2ba8 (__TEXT,__gcc_except_tab) non-external GCC_except_table86
000000018e1e2bb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table87
000000018e1e2bd4 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
000000018e1c7d1c (__TEXT,__text) non-external (was a private external) _ACInterfaceCreate
00000001ec0deba8 (__DATA,__bss) non-external _ACInterfaceCreate.ACInterfaceCreate_proc
000000018e1c7dd0 (__TEXT,__text) non-external (was a private external) _ACInterfaceDeviceNameCopy
00000001ec0debb0 (__DATA,__bss) non-external _ACInterfaceDeviceNameCopy.ACInterfaceDeviceNameCopy_proc
000000018e1c7e84 (__TEXT,__text) non-external (was a private external) _ACInterfaceSetPower
00000001ec0debb8 (__DATA,__bss) non-external _ACInterfaceSetPower.ACInterfaceSetPower_proc
000000018e1c7f30 (__TEXT,__text) non-external (was a private external) _ACNetworkDisassociate
00000001ec0debc0 (__DATA,__bss) non-external _ACNetworkDisassociate.ACNetworkDisassociate_proc
000000018e1cd8c8 (__TEXT,__text) non-external _AcquireLockForScheduleWriting
000000018e1d159c (__TEXT,__text) external _AlertSoundPlay
000000018e1d15a4 (__TEXT,__text) external _AlertSoundPlayCustomSound
00000001ec0dea08 (__DATA,__bss) non-external _Apple80211Library
000000018e1b6f4c (__TEXT,__text) non-external (was a private external) _AppleIDGetLogHandle
000000018e1db914 (__TEXT,__text) non-external _AppleIDGetLogHandle.cold.1
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
000000018e1cca40 (__TEXT,__text) external _BatteryCount
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFAllocatorAllocate (from CoreFoundation)
                 (undefined) external _CFAllocatorDeallocate (from CoreFoundation)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetLastIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayGetValues (from CoreFoundation)
                 (undefined) external _CFArrayRemoveAllValues (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCopyLocalizedString (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFDataAppendBytes (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateCopy (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateCreate (from CoreFoundation)
                 (undefined) external _CFDateGetAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutableCopy (from CoreFoundation)
