                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000190d04b94 (__TEXT,__text) external __cg_jcopy_block_row
0000000190d04b38 (__TEXT,__text) external __cg_jcopy_sample_rows
0000000190d1fc6c (__TEXT,__text) external __cg_jinit_1pass_quantizer
0000000190cfbc2c (__TEXT,__text) external __cg_jinit_2pass_quantizer
0000000190d03f78 (__TEXT,__text) external __cg_jinit_c_coef_controller
0000000190d04ba8 (__TEXT,__text) external __cg_jinit_c_main_controller
0000000190d0ef74 (__TEXT,__text) external __cg_jinit_c_master_control
0000000190d04de0 (__TEXT,__text) external __cg_jinit_c_prep_controller
0000000190cfac18 (__TEXT,__text) external __cg_jinit_color_converter
0000000190d034b0 (__TEXT,__text) external __cg_jinit_color_deconverter
0000000190cfaaa0 (__TEXT,__text) external __cg_jinit_compress_master
0000000190d0dfa0 (__TEXT,__text) external __cg_jinit_d_coef_controller
0000000190d10954 (__TEXT,__text) external __cg_jinit_d_main_controller
0000000190d11624 (__TEXT,__text) external __cg_jinit_d_post_controller
0000000190d17d30 (__TEXT,__text) external __cg_jinit_downsampler
0000000190d02a58 (__TEXT,__text) external __cg_jinit_forward_dct
0000000190d191a8 (__TEXT,__text) external __cg_jinit_huff_decoder
0000000190d1cf90 (__TEXT,__text) external __cg_jinit_huff_encoder
0000000190d05f80 (__TEXT,__text) external __cg_jinit_input_controller
0000000190cfb500 (__TEXT,__text) external __cg_jinit_inverse_dct
0000000190cfd25c (__TEXT,__text) external __cg_jinit_marker_reader
0000000190d1bafc (__TEXT,__text) external __cg_jinit_marker_writer
0000000190d10358 (__TEXT,__text) external __cg_jinit_master_decompress
0000000190d20ef0 (__TEXT,__text) external __cg_jinit_memory_mgr
0000000190d18b00 (__TEXT,__text) external __cg_jinit_merged_upsampler
0000000190d110a0 (__TEXT,__text) external __cg_jinit_upsampler
0000000190d17874 (__TEXT,__text) external __cg_jpeg_CreateCompress
0000000190d05534 (__TEXT,__text) external __cg_jpeg_CreateDecompress
0000000190cff610 (__TEXT,__text) external __cg_jpeg_abort
0000000190d179a0 (__TEXT,__text) external __cg_jpeg_abort_compress
0000000190d0563c (__TEXT,__text) external __cg_jpeg_abort_decompress
0000000190d0d188 (__TEXT,__text) external __cg_jpeg_add_quant_table
0000000190cff6d0 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
0000000190cff6a4 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
0000000190d0ffac (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
0000000190d056d8 (__TEXT,__text) external __cg_jpeg_consume_input
0000000190d1b5bc (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
0000000190d0d7d4 (__TEXT,__text) external __cg_jpeg_default_colorspace
0000000190cff668 (__TEXT,__text) external __cg_jpeg_destroy
0000000190d1799c (__TEXT,__text) external __cg_jpeg_destroy_compress
0000000190d05638 (__TEXT,__text) external __cg_jpeg_destroy_decompress
0000000190d20910 (__TEXT,__text) external __cg_jpeg_fdct_float
0000000190d1b1c8 (__TEXT,__text) external __cg_jpeg_fdct_ifast
0000000190d11fbc (__TEXT,__text) external __cg_jpeg_fdct_islow
0000000190d179f4 (__TEXT,__text) external __cg_jpeg_finish_compress
0000000190d05a40 (__TEXT,__text) external __cg_jpeg_finish_decompress
0000000190d1ced8 (__TEXT,__text) external __cg_jpeg_finish_output
0000000190d00dc4 (__TEXT,__text) external __cg_jpeg_free_large
0000000190d00dac (__TEXT,__text) external __cg_jpeg_free_small
0000000190d00db4 (__TEXT,__text) external __cg_jpeg_get_large
0000000190d00d9c (__TEXT,__text) external __cg_jpeg_get_small
0000000190d059e8 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
0000000190d07924 (__TEXT,__text) external __cg_jpeg_idct_1x1
0000000190d07888 (__TEXT,__text) external __cg_jpeg_idct_2x2
0000000190d07570 (__TEXT,__text) external __cg_jpeg_idct_4x4
0000000190d11c1c (__TEXT,__text) external __cg_jpeg_idct_float
0000000190d02644 (__TEXT,__text) external __cg_jpeg_idct_ifast
0000000190d068e0 (__TEXT,__text) external __cg_jpeg_idct_islow
0000000190d05990 (__TEXT,__text) external __cg_jpeg_input_complete
0000000190d00dcc (__TEXT,__text) external __cg_jpeg_mem_available
0000000190d01094 (__TEXT,__text) external __cg_jpeg_mem_init
0000000190d010a0 (__TEXT,__text) external __cg_jpeg_mem_term
0000000190d22900 (__TEXT,__const) external __cg_jpeg_natural_order
0000000190d102a8 (__TEXT,__text) external __cg_jpeg_new_colormap
0000000190d00ddc (__TEXT,__text) external __cg_jpeg_open_backing_store
0000000190d0d564 (__TEXT,__text) external __cg_jpeg_quality_scaling
0000000190d11a6c (__TEXT,__text) external __cg_jpeg_read_coefficients
0000000190d05640 (__TEXT,__text) external __cg_jpeg_read_header
0000000190d1cd4c (__TEXT,__text) external __cg_jpeg_read_raw_data
0000000190d1cc6c (__TEXT,__text) external __cg_jpeg_read_scanlines
0000000190cfcfd0 (__TEXT,__text) external __cg_jpeg_resync_to_restart
0000000190cfeb5c (__TEXT,__text) external __cg_jpeg_save_markers
0000000190d0d878 (__TEXT,__text) external __cg_jpeg_set_colorspace
0000000190d0d640 (__TEXT,__text) external __cg_jpeg_set_defaults
0000000190d0d4f4 (__TEXT,__text) external __cg_jpeg_set_linear_quality
0000000190cfeea0 (__TEXT,__text) external __cg_jpeg_set_marker_processor
0000000190d0d59c (__TEXT,__text) external __cg_jpeg_set_quality
0000000190d0dc2c (__TEXT,__text) external __cg_jpeg_simple_progression
0000000190d0cebc (__TEXT,__text) external __cg_jpeg_start_compress
0000000190d1ca3c (__TEXT,__text) external __cg_jpeg_start_decompress
0000000190d1ce48 (__TEXT,__text) external __cg_jpeg_start_output
0000000190d18860 (__TEXT,__text) external __cg_jpeg_std_error
0000000190cff6fc (__TEXT,__text) external __cg_jpeg_std_huff_table
0000000190d2270d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
0000000190d2265a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
0000000190d2263d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
0000000190d22620 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
0000000190d2271e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
0000000190d2266b (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
0000000190d2264e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
0000000190d22631 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001e876c7a0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
0000000190d20b34 (__TEXT,__text) external __cg_jpeg_stdio_dest
0000000190d010a4 (__TEXT,__text) external __cg_jpeg_stdio_src
0000000190d179a4 (__TEXT,__text) external __cg_jpeg_suppress_tables
0000000190d1b3fc (__TEXT,__text) external __cg_jpeg_write_coefficients
0000000190d17c84 (__TEXT,__text) external __cg_jpeg_write_m_byte
0000000190d17bf8 (__TEXT,__text) external __cg_jpeg_write_m_header
0000000190d17b54 (__TEXT,__text) external __cg_jpeg_write_marker
0000000190d0d074 (__TEXT,__text) external __cg_jpeg_write_raw_data
0000000190d0cf6c (__TEXT,__text) external __cg_jpeg_write_scanlines
0000000190d17c90 (__TEXT,__text) external __cg_jpeg_write_tables
0000000190d04b24 (__TEXT,__text) external __cg_jround_up
0000000190d03f54 (__TEXT,__text) external __cg_switch_color_deconverter
0000000190d219e4 (__TEXT,__text) non-external _access_virt_barray
0000000190d21804 (__TEXT,__text) non-external _access_virt_sarray
0000000190d213cc (__TEXT,__text) non-external _alloc_barray
0000000190d20404 (__TEXT,__text) non-external _alloc_fs_workspace
0000000190d211d8 (__TEXT,__text) non-external _alloc_large
0000000190d212d8 (__TEXT,__text) non-external _alloc_sarray
0000000190d21038 (__TEXT,__text) non-external _alloc_small
0000000190d02474 (__TEXT,__text) non-external _arith_decode
0000000190d00b04 (__TEXT,__text) non-external _arith_encode
0000000190d2348c (__TEXT,__const) non-external _base_dither_matrix
0000000190d2344c (__TEXT,__const) non-external _bmask
0000000190d03c30 (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
0000000190d0108c (__TEXT,__text) non-external _close_backing_store
0000000190cfb3f4 (__TEXT,__text) non-external _cmyk_ycck_convert
0000000190d204f4 (__TEXT,__text) non-external _color_quantize
0000000190d20480 (__TEXT,__text) non-external _color_quantize3
0000000190d041fc (__TEXT,__text) non-external _compress_data
0000000190d04494 (__TEXT,__text) non-external _compress_first_pass
0000000190d04938 (__TEXT,__text) non-external _compress_output
0000000190d1b888 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
0000000190d0e298 (__TEXT,__text) non-external _consume_data
0000000190d06000 (__TEXT,__text) non-external _consume_markers
0000000190d202cc (__TEXT,__text) non-external _create_colorindex
0000000190d01f80 (__TEXT,__text) non-external _decode_mcu
0000000190d1aa7c (__TEXT,__text) non-external _decode_mcu
0000000190d01ae0 (__TEXT,__text) non-external _decode_mcu_AC_first
0000000190d19ae8 (__TEXT,__text) non-external _decode_mcu_AC_first
0000000190d01db4 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000190d19e54 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000190d01884 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000190d198c0 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000190d01d08 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000190d19d44 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000190d1a62c (__TEXT,__text) non-external _decode_mcu_sub
0000000190d0e498 (__TEXT,__text) non-external _decompress_data
0000000190d0e674 (__TEXT,__text) non-external _decompress_onepass
0000000190d0e960 (__TEXT,__text) non-external _decompress_smooth_data
0000000190d21e54 (__TEXT,__text) non-external _do_barray_io
0000000190d21d7c (__TEXT,__text) non-external _do_sarray_io
0000000190d0e66c (__TEXT,__text) non-external _dummy_consume_data
0000000190d1f988 (__TEXT,__text) non-external _dump_buffer_e
0000000190d1f874 (__TEXT,__text) non-external _emit_buffered_bits
0000000190d00d18 (__TEXT,__text) non-external _emit_byte
0000000190d1c628 (__TEXT,__text) non-external _emit_byte
0000000190d1c928 (__TEXT,__text) non-external _emit_dht
0000000190d1c6a8 (__TEXT,__text) non-external _emit_dqt
0000000190d1f264 (__TEXT,__text) non-external _emit_eobrun
0000000190d18904 (__TEXT,__text) non-external _emit_message
0000000190d00a08 (__TEXT,__text) non-external _emit_restart
0000000190d1fba0 (__TEXT,__text) non-external _emit_restart_e
0000000190d1c7ec (__TEXT,__text) non-external _emit_sof
0000000190d20e24 (__TEXT,__text) non-external _empty_mem_output_buffer
0000000190d20bec (__TEXT,__text) non-external _empty_output_buffer
0000000190d00554 (__TEXT,__text) non-external _encode_mcu
0000000190cfff88 (__TEXT,__text) non-external _encode_mcu_AC_first
0000000190d1d7f8 (__TEXT,__text) non-external _encode_mcu_AC_first
0000000190d00300 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000190d1de60 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000190cffd24 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000190d1d4b0 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000190d0024c (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000190d1dcd8 (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000190d1e3f8 (__TEXT,__text) non-external _encode_mcu_gather
0000000190d1e67c (__TEXT,__text) non-external _encode_mcu_huff
0000000190d188d4 (__TEXT,__text) non-external _error_exit
0000000190cff2a0 (__TEXT,__text) non-external _examine_app0
0000000190cff514 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
0000000190d235b8 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
0000000190d0dedc (__TEXT,__text) non-external _fill_dc_scans
0000000190d01178 (__TEXT,__text) non-external _fill_input_buffer
0000000190cfcc0c (__TEXT,__text) non-external _fill_inverse_cmap
0000000190d0135c (__TEXT,__text) non-external _fill_mem_input_buffer
0000000190d227d8 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
0000000190d068a0 (__TEXT,__text) non-external _finish_input_pass
0000000190d10914 (__TEXT,__text) non-external _finish_output_pass
0000000190cffb28 (__TEXT,__text) non-external _finish_pass
0000000190d01880 (__TEXT,__text) non-external _finish_pass
0000000190cfc09c (__TEXT,__text) non-external _finish_pass1
0000000190cfc810 (__TEXT,__text) non-external _finish_pass2
0000000190d202b4 (__TEXT,__text) non-external _finish_pass_1_quant
0000000190d1d28c (__TEXT,__text) non-external _finish_pass_gather
0000000190d19894 (__TEXT,__text) non-external _finish_pass_huff
0000000190d1d3e8 (__TEXT,__text) non-external _finish_pass_huff
0000000190d0fbf0 (__TEXT,__text) non-external _finish_pass_master
0000000190d235a8 (__TEXT,__const) non-external _first_pool_slop
0000000190d1f9dc (__TEXT,__text) non-external _flush_bits_e
0000000190d1faac (__TEXT,__text) non-external _flush_bits_s
                 (undefined) external _fopen (from libSystem)
0000000190d18a1c (__TEXT,__text) non-external _format_message
0000000190d03214 (__TEXT,__text) non-external _forward_DCT
0000000190d03360 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000190d21bc8 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
0000000190d181d8 (__TEXT,__text) non-external _fullsize_downsample
0000000190d18034 (__TEXT,__text) non-external _fullsize_smooth_downsample
0000000190d11410 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
0000000190d025e0 (__TEXT,__text) non-external _get_byte
0000000190cfe9b0 (__TEXT,__text) non-external _get_interesting_appn
0000000190cfeeec (__TEXT,__text) non-external _get_sof
0000000190d03b20 (__TEXT,__text) non-external _gray_rgb_convert
0000000190cfb038 (__TEXT,__text) non-external _grayscale_convert
0000000190d039e8 (__TEXT,__text) non-external _grayscale_convert
0000000190d1826c (__TEXT,__text) non-external _h2v1_downsample
0000000190d1908c (__TEXT,__text) non-external _h2v1_merged_upsample
0000000190d11418 (__TEXT,__text) non-external _h2v1_upsample
0000000190d18604 (__TEXT,__text) non-external _h2v2_downsample
0000000190d18e74 (__TEXT,__text) non-external _h2v2_merged_upsample
0000000190d18358 (__TEXT,__text) non-external _h2v2_smooth_downsample
0000000190d11470 (__TEXT,__text) non-external _h2v2_upsample
0000000190d20bac (__TEXT,__text) non-external _init_destination
0000000190cfbf64 (__TEXT,__text) non-external _init_error_limit
0000000190d20e20 (__TEXT,__text) non-external _init_mem_destination
0000000190d01358 (__TEXT,__text) non-external _init_mem_source
0000000190d01168 (__TEXT,__text) non-external _init_source
