00007ffa42908de0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42908d20 (__DATA,__data) non-external _TIMEOUT
00007ffa42908d30 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa149ec120 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa149ec140 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa149e86f6 (__TEXT,__text) non-external __buf
00007ffa149f6f3f (__TEXT,__text) non-external __buf.cold.1
00007ffa149f6fe6 (__TEXT,__text) non-external __buf.cold.2
00007ffa149e85d4 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa149f6d4a (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa149f6df1 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa149ecc59 (__TEXT,__text) external __newrpclib__authenticate
00007ffa149f7a48 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa149f7ae5 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa149f7b93 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42908f10 (__DATA,__common) external __newrpclib__null_auth
00007ffa149ec8f5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa149e6dac (__TEXT,__text) external __newrpclib_authnone_create
00007ffa149f6819 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa149e6f0e (__TEXT,__text) external __newrpclib_authunix_create
00007ffa149f68c0 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
