00000001d7209858 (__DATA,__common) external _BC
00000001d7209704 (__DATA,__common) external _COLORS
00000001a4541200 (__TEXT,__text) external _COLOR_PAIR
00000001d7209700 (__DATA,__common) external _COLOR_PAIRS
00000001d7209844 (__DATA,__common) external _COLS
00000001d7209280 (__DATA,__data) external _ESCDELAY
00000001d7209840 (__DATA,__common) external _LINES
00000001a45423a4 (__TEXT,__text) external _PAIR_NUMBER
00000001d7209864 (__DATA,__common) external _PC
00000001d7209730 (__DATA,__common) external _SP
00000001d7209848 (__DATA,__common) external _TABSIZE
00000001d7209850 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a451fff8 (__TEXT,__text) external __nc_access
00000001a4522880 (__TEXT,__text) external __nc_add_to_try
00000001a4523034 (__TEXT,__text) external __nc_align_termtype
00000001a45227dc (__TEXT,__text) external __nc_basename
00000001a45226b8 (__TEXT,__text) external __nc_baudrate
00000001a4529978 (__TEXT,__text) external __nc_build_wch
00000001a453a3f8 (__TEXT,__text) external __nc_capcmp
00000001a4523f2c (__TEXT,__text) external __nc_captoinfo
00000001d94c4c40 (__AUTH,__data) external __nc_check_termtype
00000001d94c4c38 (__AUTH,__data) external __nc_check_termtype2
00000001d72094b8 (__DATA,__common) external __nc_comment_end
00000001d72094b0 (__DATA,__common) external __nc_comment_start
00000001a4522ac8 (__TEXT,__text) external __nc_copy_entry
00000001a452381c (__TEXT,__text) external __nc_copy_termtype
00000001d7209498 (__DATA,__common) external __nc_curr_col
00000001d72094a8 (__DATA,__common) external __nc_curr_file_pos
00000001d7209494 (__DATA,__common) external __nc_curr_line
00000001d72094c8 (__DATA,__common) external __nc_curr_token
00000001a45280b0 (__TEXT,__text) external __nc_delink_entry
00000001d72094e0 (__DATA,__common) external __nc_disable_period
00000001a452c4fc (__TEXT,__text) external __nc_do_color
00000001a4520848 (__TEXT,__text) external __nc_doalloc
00000001a452659c (__TEXT,__text) external __nc_entry_match
00000001a45257e0 (__TEXT,__text) external __nc_err_abort
00000001a453b3cc (__TEXT,__text) external __nc_expand_try
00000001a45437f8 (__TEXT,__text) external __nc_expanded
00000001a4528158 (__TEXT,__text) external __nc_fallback
00000001a4525d04 (__TEXT,__text) external __nc_find_entry
00000001a4525df4 (__TEXT,__text) external __nc_find_type_entry
00000001a4527f78 (__TEXT,__text) external __nc_first_db
00000001a4538ae8 (__TEXT,__text) external __nc_first_name
00000001a453697c (__TEXT,__text) external __nc_flush
00000001a452cd20 (__TEXT,__text) external __nc_free_and_exit
00000001a4528124 (__TEXT,__text) external __nc_free_entries
00000001a452807c (__TEXT,__text) external __nc_free_entry
00000001a4528160 (__TEXT,__text) external __nc_free_termtype
00000001a452cd1c (__TEXT,__text) external __nc_freeall
00000001a4531538 (__TEXT,__text) external __nc_freewin
00000001a45254d4 (__TEXT,__text) external __nc_get_alias_table
00000001a45254b8 (__TEXT,__text) external __nc_get_hash_table
00000001a4534c38 (__TEXT,__text) external __nc_get_locale
