00000001000e5500 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000100030d60 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000e3ee0 (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
000000010006d150 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000b4ec0 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
00000001000f3360 (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
00000001000f42d0 (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
00000001000ee3f0 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000cda30 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
00000001000024f0 (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_as.cpp
000000010012d298 (__DATA,__bss) non-external __ZGVZL15getOpenFileImpliPKcRN4llvm9OwningPtrINS1_12MemoryBufferEEEyyxbbE8PageSize
000000010012d460 (__DATA,__bss) non-external __ZGVZL18getElapsedWallTimevE9StartTime
000000010012de90 (__DATA,__bss) non-external __ZGVZN4llvm15system_categoryEvE1s
000000010012de80 (__DATA,__bss) non-external __ZGVZN4llvm16generic_categoryEvE1s
000000010012d2b8 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
000000010012d440 (__DATA,__bss) non-external __ZGVZN4llvm3sys7process8get_selfEvE2SP
000000010012d430 (__DATA,__bss) non-external __ZGVZN4llvm4errsEvE1S
000000010012d3f0 (__DATA,__bss) non-external __ZGVZN4llvm4outsEvE1S
000000010012c3c0 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
000000010012c7c8 (__DATA,__bss) non-external __ZL10GCNamePool
000000010012d4b0 (__DATA,__bss) non-external __ZL10IntSigsEnd
000000010012cb50 (__DATA,__bss) non-external __ZL10PrintAfter
00000001000e8f50 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
000000010012d288 (__DATA,__bss) non-external __ZL10StaticList
000000010011eda0 (__TEXT,__const) non-external __ZL10colorcodes
000000010012d4b8 (__DATA,__bss) non-external __ZL11KillSigsEnd
000000010012c968 (__DATA,__bss) non-external __ZL11PrintBefore
000000010012c3d0 (__DATA,__data) non-external __ZL11ProgramName
000000010002bde0 (__TEXT,__text) non-external __ZL11WriteMDNodePKN4llvm6MDNodeERKNS_15ValueEnumeratorERNS_15BitstreamWriterERNS_15SmallVectorImplIyEE
0000000100022bf0 (__TEXT,__text) non-external __ZL11WriteModulePKN4llvm6ModuleERNS_15BitstreamWriterE
000000010012dea0 (__DATA,__bss) non-external __ZL11global_lock
00000001000ef580 (__TEXT,__text) non-external __ZL11parseVendorN4llvm9StringRefE
00000001000e8d70 (__TEXT,__text) non-external __ZL12CrashHandlerPv
000000010012ce08 (__DATA,__bss) non-external __ZL12EnableTiming
000000010012d278 (__DATA,__bss) non-external __ZL12ErrorHandler
000000010012d130 (__DATA,__bss) non-external __ZL12PrintOptions
000000010012d470 (__DATA,__bss) non-external __ZL12SignalsMutex
000000010002c070 (__TEXT,__text) non-external __ZL12WriteUseListPKN4llvm5ValueERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
00000001000e0ba0 (__TEXT,__text) non-external __ZL12printHelpStrN4llvm9StringRefEmm
00000001000a3150 (__TEXT,__text) non-external __ZL13DecodeIITTypeRjN4llvm8ArrayRefIhEERNS0_15SmallVectorImplINS0_9Intrinsic13IITDescriptorEEE
000000010012c598 (__DATA,__bss) non-external __ZL13DisableOutput
000000010012c668 (__DATA,__bss) non-external __ZL13DisableVerify
000000010012d480 (__DATA,__bss) non-external __ZL13FilesToRemove
00000001000e01b0 (__TEXT,__text) non-external __ZL13GetOptionInfoRN4llvm15SmallVectorImplIPNS_2cl6OptionEEES5_RNS_9StringMapIS3_NS_15MallocAllocatorEEE
000000010012c7d0 (__DATA,__bss) non-external __ZL13GlobalContext
000000010012c420 (__DATA,__bss) non-external __ZL13InputFilename
000000010012c7e8 (__DATA,__bss) non-external __ZL13PassDebugging
000000010012cda0 (__DATA,__bss) non-external __ZL13PrintAfterAll
0000000100036b50 (__TEXT,__text) non-external __ZL13PrintLLVMNameRN4llvm11raw_ostreamENS_9StringRefE10PrefixType
00000001000e0940 (__TEXT,__text) non-external __ZL13ProvideOptionPN4llvm2cl6OptionENS_9StringRefES3_iPKPKcRi
00000001000f3ef0 (__TEXT,__text) non-external __ZL13SignalHandleri
0000000100006d50 (__TEXT,__text) non-external __ZL13UnEscapeLexedRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
000000010012c7a0 (__DATA,__bss) non-external __ZL13VerifyDomInfo
000000010012d498 (__DATA,__bss) non-external __ZL14CallBacksToRun
000000010012d448 (__DATA,__bss) non-external __ZL14DummyTimeValue
00000001000e3880 (__TEXT,__text) non-external __ZL14OptNameComparePKvS0_
000000010012c4a8 (__DATA,__bss) non-external __ZL14OutputFilename
000000010012cd38 (__DATA,__bss) non-external __ZL14PrintBeforeAll
000000010012c738 (__DATA,__bss) non-external __ZL14VerifyDomInfoX
