00007ff8149c3845 (__TEXT,__const) non-external _KW_ANY
00007ff8149c37a9 (__TEXT,__const) non-external _KW_ATTLIST
00007ff8149c37f8 (__TEXT,__const) non-external _KW_CDATA
00007ff8149c378c (__TEXT,__const) non-external _KW_DOCTYPE
00007ff8149c37b1 (__TEXT,__const) non-external _KW_ELEMENT
00007ff8149c383f (__TEXT,__const) non-external _KW_EMPTY
00007ff8149c380e (__TEXT,__const) non-external _KW_ENTITIES
00007ff8149c37a2 (__TEXT,__const) non-external _KW_ENTITY
00007ff8149c3839 (__TEXT,__const) non-external _KW_FIXED
00007ff8149c37fe (__TEXT,__const) non-external _KW_ID
00007ff8149c3801 (__TEXT,__const) non-external _KW_IDREF
00007ff8149c3807 (__TEXT,__const) non-external _KW_IDREFS
00007ff8149c37ca (__TEXT,__const) non-external _KW_IGNORE
00007ff8149c3828 (__TEXT,__const) non-external _KW_IMPLIED
00007ff8149c37c2 (__TEXT,__const) non-external _KW_INCLUDE
00007ff8149c3f60 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff8149c37d1 (__TEXT,__const) non-external _KW_NDATA
00007ff8149c3817 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff8149c381f (__TEXT,__const) non-external _KW_NMTOKENS
00007ff8149c37b9 (__TEXT,__const) non-external _KW_NOTATION
00007ff8149c3849 (__TEXT,__const) non-external _KW_PCDATA
00007ff8149c379b (__TEXT,__const) non-external _KW_PUBLIC
00007ff8149c3830 (__TEXT,__const) non-external _KW_REQUIRED
00007ff8149c3794 (__TEXT,__const) non-external _KW_SYSTEM
00007ff8149c3f6b (__TEXT,__const) non-external _KW_US_ASCII
00007ff8149c3f7a (__TEXT,__const) non-external _KW_UTF_16
00007ff8149c3f81 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff8149c3f8a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff8149c3f74 (__TEXT,__const) non-external _KW_UTF_8
00007ff8149c3fa1 (__TEXT,__const) non-external _KW_encoding
00007ff8149c3fb9 (__TEXT,__const) non-external _KW_no
00007ff8149c3faa (__TEXT,__const) non-external _KW_standalone
00007ff8149c3f99 (__TEXT,__const) non-external _KW_version
00007ff8149c3fb5 (__TEXT,__const) non-external _KW_yes
00007ff8149ac9f6 (__TEXT,__text) external _XML_DefaultCurrent
00007ff8149acb11 (__TEXT,__text) external _XML_ErrorString
00007ff8149acb32 (__TEXT,__text) external _XML_ExpatVersion
00007ff8149acb3f (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff8149aaf66 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff8149ac99b (__TEXT,__text) external _XML_FreeContentModel
00007ff8149abdd9 (__TEXT,__text) external _XML_GetBase
00007ff8149ac231 (__TEXT,__text) external _XML_GetBuffer
00007ff8149ac88a (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff8149ac861 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff8149ac945 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff8149ac8ec (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff8149ac849 (__TEXT,__text) external _XML_GetErrorCode
00007ff8149acb54 (__TEXT,__text) external _XML_GetFeatureList
00007ff8416ee4c0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
