0000000184282390 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000184282314 (__TEXT,__text) external _CreateLSTMData
00000001842821c0 (__TEXT,__text) external _CreateLSTMDataForScript
0000000184282528 (__TEXT,__text) external _DeleteLSTMData
0000000184282574 (__TEXT,__text) external _LSTMDataName
0000000184262588 (__TEXT,__text) external _T_CString_int64ToString
00000001841f3e00 (__TEXT,__text) external _T_CString_integerToString
0000000184262658 (__TEXT,__text) external _T_CString_stringToInteger
0000000184259518 (__TEXT,__text) external _T_CString_toLowerCase
00000001842121d0 (__TEXT,__text) external _T_CString_toUpperCase
00000001842c1f98 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00000001842c1cd4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
000000018423f0b8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00000001842c1e2c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00000001842c2524 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001842c24cc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00000001841f98ec (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00000001842c24f0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001842dd9e0 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001842e4b78 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e4c30 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842e6058 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842e4a3c (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00000001842e4ae0 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00000001842e3a84 (__TEXT,__text) external __Z17ulocimp_getRegionNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e39c0 (__TEXT,__text) external __Z17ulocimp_getScriptNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e61d8 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00000001842e3c0c (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu10CharStringES6_S6_S6_PPKcR10UErrorCode
00000001842e3dcc (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu8ByteSinkES6_S6_S6_PPKcR10UErrorCode
00000001842e3b48 (__TEXT,__text) external __Z18ulocimp_getVariantNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
