000000018429a390 (__TEXT,__text) external _CreateLSTMBreakEngine
000000018429a314 (__TEXT,__text) external _CreateLSTMData
000000018429a1c0 (__TEXT,__text) external _CreateLSTMDataForScript
000000018429a528 (__TEXT,__text) external _DeleteLSTMData
000000018429a574 (__TEXT,__text) external _LSTMDataName
000000018427a588 (__TEXT,__text) external _T_CString_int64ToString
000000018420be00 (__TEXT,__text) external _T_CString_integerToString
000000018427a658 (__TEXT,__text) external _T_CString_stringToInteger
0000000184271518 (__TEXT,__text) external _T_CString_toLowerCase
000000018422a1d0 (__TEXT,__text) external _T_CString_toUpperCase
00000001842d9f98 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00000001842d9cd4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00000001842570b8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00000001842d9e2c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00000001842da524 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001842da4cc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00000001842118ec (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00000001842da4f0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001842f59e0 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001842fcb78 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fcc30 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842fe058 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842fca3c (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00000001842fcae0 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00000001842fba84 (__TEXT,__text) external __Z17ulocimp_getRegionNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fb9c0 (__TEXT,__text) external __Z17ulocimp_getScriptNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fe1d8 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00000001842fbc0c (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu10CharStringES6_S6_S6_PPKcR10UErrorCode
00000001842fbdcc (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu8ByteSinkES6_S6_S6_PPKcR10UErrorCode
00000001842fbb48 (__TEXT,__text) external __Z18ulocimp_getVariantNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fd3a0 (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fd458 (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842fa54c (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcRN3icu8ByteSinkEbR10UErrorCode
00000001842fa480 (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcbR10UErrorCode
00000001842fb8fc (__TEXT,__text) external __Z19ulocimp_getLanguageNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fe118 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842fd464 (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842fd51c (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842fe4c0 (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00000001842fffec (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00000001842fff38 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
