                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000027b7f0cb8 (__TEXT,__text) non-external _sbuf_extend
000000027b7f0de0 (__TEXT,__text) non-external _sbuf_put_byte
000000027b7f09c8 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000027b7f0998 (__TEXT,__text) external _usbuf_bcat
000000027b7f0abc (__TEXT,__text) external _usbuf_bcpy
000000027b7f0b04 (__TEXT,__text) external _usbuf_cat
000000027b7f0854 (__TEXT,__text) external _usbuf_clear
000000027b7f0828 (__TEXT,__text) external _usbuf_clear_flags
000000027b7f0898 (__TEXT,__text) external _usbuf_count_drain
000000027b7f0b4c (__TEXT,__text) external _usbuf_cpy
000000027b7f1030 (__TEXT,__text) external _usbuf_data
000000027b7f1060 (__TEXT,__text) external _usbuf_delete
000000027b7f10c8 (__TEXT,__text) external _usbuf_done
000000027b7f08b4 (__TEXT,__text) external _usbuf_drain
000000027b7f110c (__TEXT,__text) external _usbuf_end_section
000000027b7f0f8c (__TEXT,__text) external _usbuf_error
000000027b7f0f94 (__TEXT,__text) external _usbuf_finish
000000027b7f0820 (__TEXT,__text) external _usbuf_get_flags
000000027b7f04b8 (__TEXT,__text) external _usbuf_hexdump
000000027b7f1038 (__TEXT,__text) external _usbuf_len
000000027b7f0710 (__TEXT,__text) external _usbuf_new
000000027b7f0e84 (__TEXT,__text) external _usbuf_nl_terminate
000000027b7f0d80 (__TEXT,__text) external _usbuf_printf
000000027b7f06b4 (__TEXT,__text) external _usbuf_printf_drain
000000027b7f0684 (__TEXT,__text) external _usbuf_putbuf
000000027b7f0dac (__TEXT,__text) external _usbuf_putc
000000027b7f08ac (__TEXT,__text) external _usbuf_set_drain
000000027b7f0840 (__TEXT,__text) external _usbuf_set_flags
000000027b7f0870 (__TEXT,__text) external _usbuf_setpos
000000027b7f10d4 (__TEXT,__text) external _usbuf_start_section
000000027b7f0ee4 (__TEXT,__text) external _usbuf_trim
000000027b7f0bac (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
