00007ffc027df935 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffc027dfa30 (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffc027df8e3 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffc027dfb1c (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffc027dfc74 (__TEXT,__text) external _LLVMExtraGetSymbolImplDecompressedSize
00007ffc027dfd20 (__TEXT,__text) external _LLVMExtraGetSymbolImplFlags
00007ffc027dfda1 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffc027dfbc8 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffc027dfe4a (__TEXT,__text) external _LLVMExtraGetSymbolReflectionAddress
00007ffc027dffa2 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionDecompressedSize
00007ffc027e004e (__TEXT,__text) external _LLVMExtraGetSymbolReflectionFlags
00007ffc027dfef6 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionSize
00007ffc027dfa42 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffc027df88a (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffc027dd7f7 (__TEXT,__text) external _MTLArchiveAddMember
00007ffc027dd724 (__TEXT,__text) external _MTLArchiveCreate
00007ffc027dd7ab (__TEXT,__text) external _MTLArchiveDestroy
00007ffc027e3af9 (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffc027dd8de (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffc027dd894 (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffc027e3c84 (__TEXT,__text) external _MTLCreateScript
00007ffc027e3df2 (__TEXT,__text) external _MTLDestroyScript
00007ffc027e1c0d (__TEXT,__text) external _MTLDisposeSharedMetalModule
00007ffc027d047d (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffc027d0440 (__TEXT,__text) external _MTLEnablePrettyStackTrace
00007ffc027d797a (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffc027d7b85 (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffc027d7c5a (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffc027d7c1e (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffc027d7be0 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffc027ceb8f (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffc027ce800 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
00007ffc027ce916 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
00007ffc027cea2c (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffc027cfa67 (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffc027ce592 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffc027ce6c9 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
00007ffc027cfcba (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffc027cfdc8 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffc027cf761 (__TEXT,__text) external _MTLGPUArchiverCompressAll
00007ffc027cf55d (__TEXT,__text) external _MTLGPUArchiverCompressDescriptors
00007ffc027cf359 (__TEXT,__text) external _MTLGPUArchiverCompressModules
00007ffc027cf863 (__TEXT,__text) external _MTLGPUArchiverCompressNone
00007ffc027cf65f (__TEXT,__text) external _MTLGPUArchiverCompressReflections
00007ffc027cf45b (__TEXT,__text) external _MTLGPUArchiverCompressSources
00007ffc027cde3b (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffc027ce1ce (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffc027cdf6c (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffc027ce2ff (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffc027cdd0a (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffc027ce09d (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffc027ce430 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
00007ffc027ce546 (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffc027cffff (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffc027d010d (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffc027cfefd (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffc027d02a1 (__TEXT,__text) external _MTLGPUArchiverFromId
00007ffc027cf965 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
00007ffc027cfbb8 (__TEXT,__text) external _MTLGPUArchiverPackUnits
00007ffc027cf258 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
00007ffc027cf00d (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00007ffc027cf129 (__TEXT,__text) external _MTLGPUArchiverSetTarget
00007ffc027ceed8 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00007ffc027cecac (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00007ffc027cedc2 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
00007ffc027d0242 (__TEXT,__text) external _MTLGPUArchiverToId
00007ffc027cdc6b (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
00007ffc027cdc10 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
00007ffc027cdcc6 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
00007ffc027d3e31 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00007ffc027d43c4 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00007ffc027d4948 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00007ffc027d2001 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00007ffc027d253b (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00007ffc027d2a10 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00007ffc027d0e13 (__TEXT,__text) external _MTLGPUCompilerCreate
00007ffc027d0ee4 (__TEXT,__text) external _MTLGPUCompilerDestroy
00007ffc027d8a59 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00007ffc027d8750 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00007ffc027d8795 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00007ffc027d87db (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00007ffc027d8821 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
00007ffc027d8867 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00007ffc027d88ad (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00007ffc027d88d9 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00007ffc027d89d1 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00007ffc027d8905 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00007ffc027d896b (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00007ffc027d8a15 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00007ffc027d8bec (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00007ffc027d8cbd (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00007ffc027d8d03 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00007ffc027d8d49 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00007ffc027d8deb (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00007ffc027d3022 (__TEXT,__text) external _MTLGPUCompilerLink
00007ffc027d3499 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00007ffc027d38f5 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00007ffc027d73e0 (__TEXT,__text) external _MTLGPUCompilerLoadModules
00007ffc027d75bb (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00007ffc027d7796 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00007ffc027d936a (__TEXT,__text) external _MTLGPUCompilerLowerModule
00007ffc027d94d0 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00007ffc027d7cae (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00007ffc027d7334 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00007ffc027d7399 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00007ffc027d8f01 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00007ffc027d8aae (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00007ffc027d1fa9 (__TEXT,__text) external _MTLGPUCompilerSetNativeArch
