00000001981ef71c (__TEXT,__text) non-external +[CalAlarm alarm]
00000001981f43b4 (__TEXT,__text) non-external +[CalCalendar calendar]
00000001981f8b50 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00000001981f3fdc (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00000001981f41b8 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00000001981f3de4 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00000001981f3b98 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00000001981f31b4 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00000001981f0ec8 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00000001981eef80 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00000001981f344c (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00000001981f3240 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00000001981f0ce0 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00000001981f0bf0 (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00000001981f36d0 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00000001981f37f0 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00000001981f3930 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00000001981f3a58 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00000001981f3064 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00000001981f52e0 (__TEXT,__text) non-external +[CalEvent event]
00000001981f59fc (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00000001981f7870 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00000001981f7908 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00000001981f7968 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00000001981f6e78 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00000001981f6e54 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00000001981f8e54 (__TEXT,__text) non-external +[CalTask task]
00000001981f5290 (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00000001981f0098 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00000001981f00a0 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00000001981f0038 (__TEXT,__text) non-external -[CalAlarm action]
00000001981f51f0 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00000001981efee0 (__TEXT,__text) non-external -[CalAlarm description]
00000001981f5254 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00000001981f0088 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00000001981f4ce8 (__TEXT,__text) non-external -[CalAlarm hash]
00000001981f4a10 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00000001981ef74c (__TEXT,__text) non-external -[CalAlarm init]
00000001981f4cf0 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00000001981f5268 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00000001981f4b40 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00000001981f0090 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00000001981f4c48 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00000001981f4ab0 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00000001981f4bb4 (__TEXT,__text) non-external -[CalAlarm setAction:]
00000001981f525c (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00000001981f4bb8 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00000001981f4ab8 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00000001981f5270 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00000001981f4bd0 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00000001981f4bc0 (__TEXT,__text) non-external -[CalAlarm setSound:]
00000001981f5284 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00000001981f4bc8 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00000001981f0080 (__TEXT,__text) non-external -[CalAlarm sound]
00000001981f4c50 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00000001981f527c (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00000001981f0078 (__TEXT,__text) non-external -[CalAlarm url]
00000001981f0be4 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00000001981f0564 (__TEXT,__text) non-external -[CalAttendee address]
00000001981f056c (__TEXT,__text) non-external -[CalAttendee commonName]
00000001981f0b6c (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00000001981f048c (__TEXT,__text) non-external -[CalAttendee description]
00000001981f0bd0 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00000001981f08b8 (__TEXT,__text) non-external -[CalAttendee hash]
00000001981f0818 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00000001981f08c0 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00000001981f0bd8 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00000001981f0574 (__TEXT,__text) non-external -[CalAttendee status]
00000001981f4a04 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00000001981efe9c (__TEXT,__text) non-external -[CalCalendar color]
00000001981f4994 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00000001981efd18 (__TEXT,__text) non-external -[CalCalendar description]
00000001981f49f0 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00000001981f457c (__TEXT,__text) non-external -[CalCalendar hash]
00000001981f44c4 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00000001981f43e4 (__TEXT,__text) non-external -[CalCalendar init]
00000001981ef2c8 (__TEXT,__text) non-external -[CalCalendar isEditable]
00000001981f4584 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00000001981efe44 (__TEXT,__text) non-external -[CalCalendar notes]
00000001981f456c (__TEXT,__text) non-external -[CalCalendar setColor:]
00000001981f49f8 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00000001981f4574 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001981f4564 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00000001981efe3c (__TEXT,__text) non-external -[CalCalendar title]
00000001981efea4 (__TEXT,__text) non-external -[CalCalendar type]
00000001981ef2d0 (__TEXT,__text) non-external -[CalCalendar uid]
00000001981f8e10 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00000001981f8048 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00000001981f8120 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00000001981efb18 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00000001981efaa8 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00000001981f8d8c (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00000001981efa88 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00000001981ef938 (__TEXT,__text) non-external -[CalCalendarItem description]
00000001981f8de8 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00000001981f8020 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00000001981f8d84 (__TEXT,__text) non-external -[CalCalendarItem hash]
00000001981f7ea4 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00000001981f84b8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00000001981f8028 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00000001981efa98 (__TEXT,__text) non-external -[CalCalendarItem notes]
00000001981f8218 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00000001981f826c (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00000001981f8364 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00000001981f7fcc (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00000001981f8df0 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00000001981f8030 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00000001981f8040 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00000001981f8e04 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00000001981f8038 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00000001981f8ae0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00000001981efa90 (__TEXT,__text) non-external -[CalCalendarItem title]
00000001981efa80 (__TEXT,__text) non-external -[CalCalendarItem uid]
00000001981f8dfc (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00000001981efaa0 (__TEXT,__text) non-external -[CalCalendarItem url]
00000001981f43a8 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001981f26b4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001981f26bc (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00000001981f0f78 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001981ef07c (__TEXT,__text) non-external -[CalCalendarStore calendars]
00000001981f0f74 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00000001981f1938 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00000001981f4394 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00000001981f126c (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00000001981f1064 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00000001981f2850 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00000001981f1624 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00000001981f0c40 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00000001981f0c00 (__TEXT,__text) non-external -[CalCalendarStore init]
00000001981f2f0c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00000001981f1de4 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00000001981f248c (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00000001981f296c (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00000001981f1950 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00000001981f2104 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00000001981f439c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00000001981f1538 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00000001981f1374 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00000001981f5f68 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001981f02e8 (__TEXT,__text) non-external -[CalEvent attendees]
00000001981f53b0 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00000001981ef7b4 (__TEXT,__text) non-external -[CalEvent description]
00000001981f53a8 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001981f01ac (__TEXT,__text) non-external -[CalEvent endDate]
00000001981f5310 (__TEXT,__text) non-external -[CalEvent init]
00000001981f0204 (__TEXT,__text) non-external -[CalEvent isAllDay]
00000001981f5db8 (__TEXT,__text) non-external -[CalEvent isDetached]
00000001981f5438 (__TEXT,__text) non-external -[CalEvent isEqual:]
00000001981f0154 (__TEXT,__text) non-external -[CalEvent location]
00000001981f5df8 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001981f00a8 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001981f0244 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00000001981f53ac (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00000001981f5f54 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00000001981f5d54 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001981f5b4c (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00000001981f5b98 (__TEXT,__text) non-external -[CalEvent setLocation:]
00000001981f5bfc (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00000001981f5cf0 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001981f598c (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00000001981ef2d8 (__TEXT,__text) non-external -[CalEvent startDate]
00000001981f78fc (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00000001981f7814 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00000001981f78d8 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00000001981f7698 (__TEXT,__text) non-external -[CalNthWeekDay description]
00000001981f78e8 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00000001981f7754 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00000001981f75f8 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00000001981f775c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00000001981f78f0 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00000001981f78e0 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00000001981f0804 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001981f0734 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00000001981f064c (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00000001981f0790 (__TEXT,__text) non-external -[CalPredicate predicate]
