0000000190535550 (__TEXT,__const) non-external _DOWNCASE_TBL
00000001905353c0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
0000000190536050 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
0000000190535b50 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
0000000190535650 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
0000000190535f50 (__TEXT,__const) non-external _VALID_METHOD_CHARS
0000000190535a50 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000190521c30 (__TEXT,__text) non-external _active_outbound_item_reset
0000000190526778 (__TEXT,__text) non-external _add_hd_table_incremental
0000000190529f28 (__TEXT,__text) non-external _bubble_down
0000000190529ea8 (__TEXT,__text) non-external _bubble_up
0000000190521b34 (__TEXT,__text) non-external _buf_chain_new
000000019052ac54 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
0000000190521a70 (__TEXT,__text) non-external _default_calloc
0000000190521dfc (__TEXT,__text) non-external _default_free
0000000190521a74 (__TEXT,__text) non-external _default_malloc
0000000190521c2c (__TEXT,__text) non-external _default_realloc
00000001905261b8 (__TEXT,__text) non-external _emit_indname_block
0000000190526348 (__TEXT,__text) non-external _emit_string
0000000190528cfc (__TEXT,__text) non-external _emit_table_size
000000019052c3f4 (__TEXT,__text) non-external _find_stream_on_goaway_func
0000000190526ad0 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000019052bf08 (__TEXT,__text) non-external _free_streams
000000019052c6a8 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
0000000190528b58 (__TEXT,__text) non-external _hd_context_free
0000000190527390 (__TEXT,__text) non-external _hd_context_shrink_table_size
0000000190529bb8 (__TEXT,__text) non-external _hd_get_table_entry
0000000190528248 (__TEXT,__text) non-external _hd_inflate_commit_indname
0000000190528308 (__TEXT,__text) non-external _hd_inflate_commit_newname
0000000190528174 (__TEXT,__text) non-external _hd_inflate_read_huff
0000000190528070 (__TEXT,__text) non-external _hd_inflate_read_len
0000000190528be8 (__TEXT,__text) non-external _hd_ringbuf_get
00000001905311f8 (__TEXT,__const) non-external _huff_decode_table
00000001905309f0 (__TEXT,__const) non-external _huff_sym_table
00000001905253f0 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
