0000000182cbb2a8 (__DATA,__data) non-external _C
0000000182cc7c30 (__DATA,__bss) non-external _EMSG
0000000182cc7c31 (__DATA,__bss) non-external _EMSG
0000000182cbcf88 (__DATA,__bss) non-external _NXArgc_pointer
0000000182cbcf80 (__DATA,__bss) non-external _NXArgv_pointer
0000000180b2ef4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180b6ca54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180b45c3c (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180b45c8c (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180b45db0 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180b45d58 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180c993e8 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180c99408 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180c994b0 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180c996c0 (__DATA_CONST,__const) non-external __C_time_locale
0000000182cbbb28 (__DATA,__data) external __CurrentRuneLocale
0000000182cbc178 (__DATA,__constrw) external __DefaultRuneLocale
0000000182ce1a78 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180b4832c (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180b483b0 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180b483f8 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180b483e4 (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180b483fc (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180b484f0 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180b48574 (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180b485bc (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180b485a8 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180b485c0 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180b4841c (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180b484a0 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180b484e8 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180b484d4 (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180b484ec (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180b48648 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180b486cc (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180b48714 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180b48700 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180b48718 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180b485c4 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180b4871c (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180b48400 (__TEXT,__text) non-external __EUC_mbsinit
0000000180b48858 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180b6d2c4 (__TEXT,__text) external __Exit
