00007ff8136aa6c0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff8136aa530 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff8136ab2a0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00007ff8136aada0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff8136aa7c0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff8136ab1a0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff8136aabc0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff8136a5970 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8136a5990 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff813695cb4 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff81369a7b8 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff81369dcfe (__TEXT,__text) non-external _bubble_down
00007ff81369dc9e (__TEXT,__text) non-external _bubble_up
00007ff813695bc4 (__TEXT,__text) non-external _buf_chain_new
00007ff81369f291 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff813695ace (__TEXT,__text) non-external _default_calloc
00007ff813695e24 (__TEXT,__text) non-external _default_free
00007ff813695ada (__TEXT,__text) non-external _default_malloc
00007ff813695ca8 (__TEXT,__text) non-external _default_realloc
00007ff81369a299 (__TEXT,__text) non-external _emit_indname_block
00007ff81369a3de (__TEXT,__text) non-external _emit_string
00007ff81369cdee (__TEXT,__text) non-external _emit_table_size
00007ff81369aafd (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff8136a0ab3 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff81369cc96 (__TEXT,__text) non-external _hd_context_free
00007ff81369b4f5 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff81369da15 (__TEXT,__text) non-external _hd_get_table_entry
00007ff81369c3b7 (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff81369c482 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff81369c2c4 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff81369c1a0 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff81369ccfc (__TEXT,__text) non-external _hd_ringbuf_get
00007ff8136a6350 (__TEXT,__const) non-external _huff_decode_table
00007ff8136a5b40 (__TEXT,__const) non-external _huff_sym_table
00007ff813699712 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ff81369d1d7 (__TEXT,__text) non-external _map_insert
00007ff81369d0dd (__TEXT,__text) non-external _map_resize
00007ff843789ea0 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8136967d6 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff81369600b (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff81369aaba (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff81369cd90 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff8136a5910 (__TEXT,__text) external _nghttp2_check_authority
00007ff8136950d0 (__TEXT,__text) external _nghttp2_check_header_name
00007ff813695112 (__TEXT,__text) external _nghttp2_check_header_value
00007ff8136a5863 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff8136a58b0 (__TEXT,__text) external _nghttp2_check_method
00007ff8136a58df (__TEXT,__text) external _nghttp2_check_path
00007ff81369dbff (__TEXT,__text) external _nghttp2_extpri_parse_priority
00007ff81369ac90 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff813699017 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff81369d34e (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff813698fde (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff81369b4b6 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff81369d8a3 (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff81369da5a (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff81369da64 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
