                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000024786b9b0 (__TEXT,__text) non-external _sbuf_extend
000000024786bac4 (__TEXT,__text) non-external _sbuf_put_byte
000000024786b6b4 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000024786b684 (__TEXT,__text) external _usbuf_bcat
000000024786b7a8 (__TEXT,__text) external _usbuf_bcpy
000000024786b7f0 (__TEXT,__text) external _usbuf_cat
000000024786b534 (__TEXT,__text) external _usbuf_clear
000000024786b508 (__TEXT,__text) external _usbuf_clear_flags
000000024786b578 (__TEXT,__text) external _usbuf_count_drain
000000024786b838 (__TEXT,__text) external _usbuf_cpy
000000024786bd14 (__TEXT,__text) external _usbuf_data
000000024786bd44 (__TEXT,__text) external _usbuf_delete
000000024786bdac (__TEXT,__text) external _usbuf_done
000000024786b594 (__TEXT,__text) external _usbuf_drain
000000024786bdf0 (__TEXT,__text) external _usbuf_end_section
000000024786bc70 (__TEXT,__text) external _usbuf_error
000000024786bc78 (__TEXT,__text) external _usbuf_finish
000000024786b500 (__TEXT,__text) external _usbuf_get_flags
000000024786b1b8 (__TEXT,__text) external _usbuf_hexdump
000000024786bd1c (__TEXT,__text) external _usbuf_len
000000024786b408 (__TEXT,__text) external _usbuf_new
000000024786bb6c (__TEXT,__text) external _usbuf_nl_terminate
000000024786ba64 (__TEXT,__text) external _usbuf_printf
000000024786b3ac (__TEXT,__text) external _usbuf_printf_drain
000000024786b37c (__TEXT,__text) external _usbuf_putbuf
000000024786ba90 (__TEXT,__text) external _usbuf_putc
000000024786b58c (__TEXT,__text) external _usbuf_set_drain
000000024786b520 (__TEXT,__text) external _usbuf_set_flags
000000024786b550 (__TEXT,__text) external _usbuf_setpos
000000024786bdb8 (__TEXT,__text) external _usbuf_start_section
000000024786bbcc (__TEXT,__text) external _usbuf_trim
000000024786b898 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
