00007ff8026f12f1 (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8026f12af (__TEXT,__text) external _CreateLSTMData
00007ff8026f1164 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8026f148a (__TEXT,__text) external _DeleteLSTMData
00007ff8026f14bb (__TEXT,__text) external _LSTMDataName
00007ff8026d2460 (__TEXT,__text) external _T_CString_int64ToString
00007ff8026d23c1 (__TEXT,__text) external _T_CString_integerToString
00007ff8026d24ff (__TEXT,__text) external _T_CString_stringToInteger
00007ff8026d2361 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8026d2391 (__TEXT,__text) external _T_CString_toUpperCase
00007ff8027369af (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80273676b (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80273666e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff802736887 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802736f4d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802736efb (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802736765 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802736f1d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8027828d0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff8028d6b85 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff8026ca8d0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff8026ca866 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff8026ca948 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff8026ca93c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff8026ca860 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff8026ca85a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff8026ca850 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8027aa270 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff8027aa360 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff8027aa1aa (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8027aa1fa (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8027aa22a (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8027aa224 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8027aa21a (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8027aa230 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff8026d1d86 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff8026d1f90 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff8026d19e6 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff8026d1e6a (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff8026d1f08 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff8026d1eca (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff8026d1ffc (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff8026d1c0e (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff8026d1bc8 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff8026d199a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff8026d1ba6 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff8026d185c (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff8026d17fe (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff8026d1866 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff8027cea38 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff8027ce924 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff8027ce7ea (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff8027ce8f0 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff8027ce7be (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff8027ce8d8 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff8027ce406 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff8027ce422 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff8027ce894 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff8027ce848 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff8027ce2da (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00007ff8027ce2b0 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00007ff8027cea02 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00007ff8027ce7b4 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00007ff8027cea80 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00007ff8027ce2c2 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00007ff8027ce58c (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff8027ce790 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00007ff8027ce6d4 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff8027ce2f6 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00007ff8027cdd90 (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00007ff8027cdd56 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00007ff8027cdeb4 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00007ff8027cdeae (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00007ff8027cde68 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00007ff8027cddd6 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00007ff802804aa2 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00007ff802804bcc (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00007ff802804eea (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00007ff802804f0a (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00007ff802804ef8 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00007ff802804a52 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00007ff802804a6c (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
00007ff802804a86 (__TEXT,__text) external __ZN3icu10GenderInfoD0Ev
00007ff802804a62 (__TEXT,__text) external __ZN3icu10GenderInfoD1Ev
00007ff802804a7c (__TEXT,__text) external __ZN3icu10GenderInfoD2Ev
00007ff8026fd1f8 (__TEXT,__text) external __ZN3icu10Normalizer10quickCheckERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff8026fd88e (__TEXT,__text) external __ZN3icu10Normalizer11clearBufferEv
00007ff8026fd340 (__TEXT,__text) external __ZN3icu10Normalizer11concatenateERKNS_13UnicodeStringES3_RS1_18UNormalizationModeiR10UErrorCode
00007ff8026fd2a0 (__TEXT,__text) external __ZN3icu10Normalizer12isNormalizedERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff8026fd8b2 (__TEXT,__text) external __ZN3icu10Normalizer12setIndexOnlyEi
00007ff8026fd4fc (__TEXT,__text) external __ZN3icu10Normalizer13nextNormalizeEv
00007ff8026fcbda (__TEXT,__text) external __ZN3icu10Normalizer16getStaticClassIDEv
00007ff8026fd6f6 (__TEXT,__text) external __ZN3icu10Normalizer17previousNormalizeEv
00007ff8026fcc7e (__TEXT,__text) external __ZN3icu10Normalizer4initEv
00007ff8026fd944 (__TEXT,__text) external __ZN3icu10Normalizer4lastEv
00007ff8026fd654 (__TEXT,__text) external __ZN3icu10Normalizer4nextEv
00007ff8026fd8f8 (__TEXT,__text) external __ZN3icu10Normalizer5firstEv
00007ff8026fd848 (__TEXT,__text) external __ZN3icu10Normalizer5resetEv
00007ff8026fd1cc (__TEXT,__text) external __ZN3icu10Normalizer7composeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff8026fd4ae (__TEXT,__text) external __ZN3icu10Normalizer7currentEv
00007ff8026fdbfa (__TEXT,__text) external __ZN3icu10Normalizer7getTextERNS_13UnicodeStringE
00007ff8026fd9d6 (__TEXT,__text) external __ZN3icu10Normalizer7setModeE18UNormalizationMode
00007ff8026fdb38 (__TEXT,__text) external __ZN3icu10Normalizer7setTextENS_14ConstChar16PtrEiR10UErrorCode
00007ff8026fda14 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_13UnicodeStringER10UErrorCode
00007ff8026fdab2 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_17CharacterIteratorER10UErrorCode
00007ff8026fd6ac (__TEXT,__text) external __ZN3icu10Normalizer8previousEv
00007ff8026fd1e2 (__TEXT,__text) external __ZN3icu10Normalizer9decomposeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff8026fd090 (__TEXT,__text) external __ZN3icu10Normalizer9normalizeERKNS_13UnicodeStringE18UNormalizationModeiRS1_R10UErrorCode
00007ff8026fd9ee (__TEXT,__text) external __ZN3icu10Normalizer9setOptionEia
00007ff8026fcdd0 (__TEXT,__text) external __ZN3icu10NormalizerC1ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff8026fcd1c (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_13UnicodeStringE18UNormalizationMode
00007ff8026fce3a (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff8026fcf00 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKS0_
00007ff8026fcd26 (__TEXT,__text) external __ZN3icu10NormalizerC2ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff8026fcbf6 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_13UnicodeStringE18UNormalizationMode
00007ff8026fcdda (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff8026fce9a (__TEXT,__text) external __ZN3icu10NormalizerC2ERKS0_
00007ff8026fcf5c (__TEXT,__text) external __ZN3icu10NormalizerD0Ev
00007ff8026fcf52 (__TEXT,__text) external __ZN3icu10NormalizerD1Ev
00007ff8026fcf0a (__TEXT,__text) external __ZN3icu10NormalizerD2Ev
00007ff802729c04 (__TEXT,__text) external __ZN3icu10UCharsTrie10branchNextEPKDsii
00007ff80272a158 (__TEXT,__text) external __ZN3icu10UCharsTrie15findUniqueValueEPKDsaRi
00007ff802729bb6 (__TEXT,__text) external __ZN3icu10UCharsTrie16nextForCodePointEi
00007ff802729ae2 (__TEXT,__text) external __ZN3icu10UCharsTrie17firstForCodePointEi
00007ff80272a324 (__TEXT,__text) external __ZN3icu10UCharsTrie19getNextBranchUCharsEPKDsiRNS_10AppendableE
00007ff802729fe0 (__TEXT,__text) external __ZN3icu10UCharsTrie25findUniqueValueFromBranchEPKDsiaRi
00007ff802729e14 (__TEXT,__text) external __ZN3icu10UCharsTrie4nextENS_14ConstChar16PtrEi
00007ff802729b5a (__TEXT,__text) external __ZN3icu10UCharsTrie4nextEi
00007ff80272b9fa (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator10branchNextEPKDsiR10UErrorCode
00007ff80272b6b6 (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator4nextER10UErrorCode
00007ff80272b5e6 (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator5resetEv
00007ff80272b490 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ENS_14ConstChar16PtrEiR10UErrorCode
00007ff80272b588 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ERKS0_iR10UErrorCode
00007ff80272b3fc (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ENS_14ConstChar16PtrEiR10UErrorCode
00007ff80272b49a (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ERKS0_iR10UErrorCode
00007ff80272b5bc (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD1Ev
00007ff80272b592 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD2Ev
00007ff802729d90 (__TEXT,__text) external __ZN3icu10UCharsTrie8nextImplEPKDsi
00007ff802729aa6 (__TEXT,__text) external __ZN3icu10UCharsTrieD1Ev
00007ff802729a98 (__TEXT,__text) external __ZN3icu10UCharsTrieD2Ev
00007ff8026d84c4 (__TEXT,__text) external __ZN3icu10UStringSetD0Ev
00007ff8026d84ba (__TEXT,__text) external __ZN3icu10UStringSetD1Ev
00007ff8026d84b0 (__TEXT,__text) external __ZN3icu10UStringSetD2Ev
00007ff80276c484 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementERKNS_13UnicodeStringE
00007ff80276c3ce (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEi
00007ff80276b23c (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEii
00007ff80276c3da (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEv
00007ff80276bd1c (__TEXT,__text) external __ZN3icu10UnicodeSet10createFromERKNS_13UnicodeStringE
