00007ffa18e4e960 (__TEXT,__text) external _ARMCompilationCallback
00007ffa18e4e970 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa195666c0 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa195667a0 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa195665d0 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa19566940 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa19566c90 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa195670b0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa19566ed0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa19566ec0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa42be9ae8 (__DATA,__common) external _EnableARMEHABI
00007ffa42be9828 (__DATA,__common) external _EnableARMLongCalls
00007ffa42be95b0 (__DATA,__common) external _ForceStackAlign
00007ffa19370ec0 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa19370e70 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa191c8810 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa193a43f0 (__TEXT,__text) external _LLVMAddAlias
00007ffa18b6dac0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa193745b0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa18b6d9d0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa193a4a90 (__TEXT,__text) external _LLVMAddAttribute
00007ffa18b973f0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa191c8e00 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa191c8840 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa193a5ef0 (__TEXT,__text) external _LLVMAddCase
00007ffa193a5f10 (__TEXT,__text) external _LLVMAddClause
00007ffa18b6da00 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa191c8ce0 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa191c8d70 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
