                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000020d6c0340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020d6c0dbc (__TEXT,__const) external _libopenpam
000000020d6c0860 (__TEXT,__text) external _misc_conv
000000020d6c056c (__TEXT,__text) external _pam_acct_mgmt
000000020d6c0474 (__TEXT,__text) external _pam_authenticate
000000020d6c05e8 (__TEXT,__text) external _pam_chauthtok
000000020d6c06e0 (__TEXT,__text) external _pam_close_session
000000020d6c0400 (__TEXT,__text) external _pam_end
000000020d6c0aa8 (__TEXT,__text) external _pam_get_data
000000020d6c07dc (__TEXT,__text) external _pam_get_item
000000020d6c0cd8 (__TEXT,__text) external _pam_get_pass
000000020d6c0bb8 (__TEXT,__text) external _pam_get_user
000000020d6c09d0 (__TEXT,__text) external _pam_getenv
000000020d6c0a40 (__TEXT,__text) external _pam_getenvlist
000000020d6c0668 (__TEXT,__text) external _pam_open_session
000000020d6c0c3c (__TEXT,__text) external _pam_prompt
000000020d6c095c (__TEXT,__text) external _pam_putenv
000000020d6c0b2c (__TEXT,__text) external _pam_set_data
000000020d6c0758 (__TEXT,__text) external _pam_set_item
000000020d6c04f0 (__TEXT,__text) external _pam_setcred
000000020d6c0374 (__TEXT,__text) external _pam_start
000000020d6c08ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000020d6c02e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000020d6c02f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000020d6c033c (__TEXT,__text) external _xlate_pam_shim_item_type
000000020d6c0318 (__TEXT,__text) external _xlate_pam_shim_retval
000000020d6c0304 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000020d6c0310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
