00007ffc417666a8 (__DATA,__bss) non-external _A
00007ffc41766470 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffc417662f8 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffc417662f0 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffc417662f4 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffc417666b0 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffc417666b8 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffc417666c0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffc417666bc (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffc41766660 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffc12b3a850 (__TEXT,__const) non-external _HREF_SAFE
00007ffc12b38be0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffc12b3a750 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffc12b2ee1a (__TEXT,__text) non-external _S_advance_offset
00007ffc12b20b81 (__TEXT,__text) non-external _S_blankline
00007ffc12b2f861 (__TEXT,__text) non-external _S_can_contain
00007ffc12b20b6e (__TEXT,__text) non-external _S_cr
00007ffc12b2eebd (__TEXT,__text) non-external _S_find_first_nonspace
00007ffc12b22b0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffc12b2f7ad (__TEXT,__text) non-external _S_node_unlink
00007ffc12b20b94 (__TEXT,__text) non-external _S_out
00007ffc12b1f112 (__TEXT,__text) non-external _S_outc
00007ffc12b2d372 (__TEXT,__text) non-external _S_parser_feed
00007ffc12b3a730 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffc12b30c6f (__TEXT,__text) non-external _S_print_error
00007ffc12b2dabc (__TEXT,__text) non-external _S_process_line
00007ffc12b380f1 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffc12b38112 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffc12b38133 (__TEXT,__text) non-external _S_process_line.cold.3
00007ffc12b38156 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffc12b38179 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffc12b1ea08 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffc12b1cb8c (__TEXT,__text) non-external _S_render_node
00007ffc12b1f1fc (__TEXT,__text) non-external _S_render_node
00007ffc12b22434 (__TEXT,__text) non-external _S_render_node
00007ffc12b3561b (__TEXT,__text) non-external _S_render_node
00007ffc12b37e98 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc12b37f2c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc12b37fdb (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc12b388e4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc12b2f490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc12b2f4b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc12b20f1d (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffc12b22d20 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffc12b2af81 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffc12b3a230 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffc12b240e5 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffc12b39330 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffc12b236bf (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffc12b39230 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffc12b2b507 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffc12b3a530 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffc12b2bf92 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffc12b2b627 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffc12b2c29d (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffc12b3a630 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffc12b29008 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffc12b39b30 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffc12b29af3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffc12b39c30 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffc12b29eda (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffc12b39d30 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffc12b2a264 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffc12b39e30 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffc12b2a520 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffc12b39f30 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffc12b27588 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffc12b28a28 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffc12b39a30 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffc12b27352 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffc12b39930 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffc12b26ebc (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffc12b39630 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffc12b2725b (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffc12b39830 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffc12b27011 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffc12b39730 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffc12b2662f (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffc12b39430 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffc12b26bff (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffc12b39530 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffc12b2a907 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffc12b3a030 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffc12b2b1e5 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffc12b3a430 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffc12b22d68 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffc12b2b098 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffc12b3a330 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffc12b2af59 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffc12b3a130 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffc12b21144 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffc12b38ef0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffc12b213ab (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffc12b213cf (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffc12b38ff0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffc12b20f5c (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffc12b38df0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffc12b21456 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffc12b390f0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffc12b2ecf5 (__TEXT,__text) non-external _add_child
00007ffc12b3819c (__TEXT,__text) non-external _add_child.cold.1
00007ffc12b2f3f2 (__TEXT,__text) non-external _add_line
00007ffc12b38205 (__TEXT,__text) non-external _add_line.cold.1
