00007ff81f2581b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff81f258100 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff81f25827a (__TEXT,__text) non-external +[Calculate _unlock]
00007ff81f25e7ee (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff81f2582e3 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff81f25e670 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff81f25ed7d (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff81f25edb5 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff81f25edce (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff81f267ace (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff81f267a4b (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff81f268041 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff81f267b77 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff81f26295a (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff81f268752 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff81f26c937 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff81f26c8ea (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff81f2678e3 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff81f272e14 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff81f272de4 (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff81f272d8c (__TEXT,__text) non-external +[Converter initialize]
00007ff81f272e6b (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff81f272f03 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff81f272eb7 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff81f2414b3 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff81f2534a2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff81f253627 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff81f2534f9 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff81f253970 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff81f253a51 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff81f253477 (__TEXT,__text) non-external +[Localize mainBundle]
00007ff81f253262 (__TEXT,__text) non-external +[Localize systemLocale]
00007ff81f25327b (__TEXT,__text) non-external +[Localize systemLocales]
00007ff81f257fa7 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00007ff81f25761f (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00007ff81f254454 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00007ff81f25723c (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00007ff81f257262 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00007ff81f25eb6c (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00007ff81f25e92b (__TEXT,__text) non-external -[CalculateRequest cancel]
00007ff81f25eaef (__TEXT,__text) non-external -[CalculateRequest expression]
00007ff81f25ea02 (__TEXT,__text) non-external -[CalculateRequest finish]
00007ff81f25eb40 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00007ff81f25eb0a (__TEXT,__text) non-external -[CalculateRequest options]
00007ff81f25eb53 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
00007ff81f25eb25 (__TEXT,__text) non-external -[CalculateRequest result]
00007ff81f25eaf9 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
00007ff81f25eb4a (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
00007ff81f25eb14 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
00007ff81f25eb2f (__TEXT,__text) non-external -[CalculateRequest setResult:]
00007ff81f25eb5d (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
00007ff81f25e839 (__TEXT,__text) non-external -[CalculateRequest update]
00007ff81f2669dc (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
00007ff81f2633a3 (__TEXT,__text) non-external -[CalculateResult _setConversions:]
00007ff81f26351b (__TEXT,__text) non-external -[CalculateResult _setExpression:]
00007ff81f2634d4 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
00007ff81f26352c (__TEXT,__text) non-external -[CalculateResult _setTerms:]
00007ff81f2668a0 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
00007ff81f265717 (__TEXT,__text) non-external -[CalculateResult availableConversions]
00007ff81f264471 (__TEXT,__text) non-external -[CalculateResult bestConversion]
00007ff81f2637d4 (__TEXT,__text) non-external -[CalculateResult compare:]
00007ff81f263eef (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
00007ff81f2668f7 (__TEXT,__text) non-external -[CalculateResult conversions]
00007ff81f266351 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
00007ff81f266125 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
00007ff81f263720 (__TEXT,__text) non-external -[CalculateResult dealloc]
00007ff81f2667cd (__TEXT,__text) non-external -[CalculateResult description]
00007ff81f263cc8 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
00007ff81f266860 (__TEXT,__text) non-external -[CalculateResult expression]
00007ff81f2668b3 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
00007ff81f263ae4 (__TEXT,__text) non-external -[CalculateResult formattedExpression]
00007ff81f263af6 (__TEXT,__text) non-external -[CalculateResult formattedResult]
00007ff81f266901 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
00007ff81f2636a6 (__TEXT,__text) non-external -[CalculateResult init]
00007ff81f2668ed (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
00007ff81f264312 (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
00007ff81f263a82 (__TEXT,__text) non-external -[CalculateResult isEqual:]
00007ff81f2668c6 (__TEXT,__text) non-external -[CalculateResult isTrivial]
00007ff81f266885 (__TEXT,__text) non-external -[CalculateResult locales]
00007ff81f26696d (__TEXT,__text) non-external -[CalculateResult localizeUnit]
00007ff81f265802 (__TEXT,__text) non-external -[CalculateResult localizedConversions]
00007ff81f263e5f (__TEXT,__text) non-external -[CalculateResult newUnit:]
00007ff81f26686a (__TEXT,__text) non-external -[CalculateResult numberFormatter]
00007ff81f26691e (__TEXT,__text) non-external -[CalculateResult parent]
00007ff81f266945 (__TEXT,__text) non-external -[CalculateResult parseTree]
00007ff81f266959 (__TEXT,__text) non-external -[CalculateResult resultTree]
00007ff81f2668aa (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
00007ff81f2668bd (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
00007ff81f26688f (__TEXT,__text) non-external -[CalculateResult setLocales:]
00007ff81f266977 (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
00007ff81f266874 (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
00007ff81f266934 (__TEXT,__text) non-external -[CalculateResult setParent:]
00007ff81f26694f (__TEXT,__text) non-external -[CalculateResult setParseTree:]
00007ff81f266963 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
00007ff81f2669d3 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
00007ff81f266915 (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
00007ff81f2669b9 (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
00007ff81f26698a (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
00007ff81f26699e (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
00007ff81f2669ca (__TEXT,__text) non-external -[CalculateResult singleUnitID]
00007ff81f26690b (__TEXT,__text) non-external -[CalculateResult synchronous]
00007ff81f2668e3 (__TEXT,__text) non-external -[CalculateResult terms]
00007ff81f2669af (__TEXT,__text) non-external -[CalculateResult typeInfo]
00007ff81f2668da (__TEXT,__text) non-external -[CalculateResult unitExponent]
00007ff81f266980 (__TEXT,__text) non-external -[CalculateResult unitFormat]
00007ff81f2668d0 (__TEXT,__text) non-external -[CalculateResult unitType]
00007ff81f266994 (__TEXT,__text) non-external -[CalculateResult unitsInfo]
00007ff81f26282a (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
00007ff81f2603cc (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
00007ff81f2612f1 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
00007ff81f2624df (__TEXT,__text) non-external -[CalculateTerm compare:]
00007ff81f26280e (__TEXT,__text) non-external -[CalculateTerm decimalValue]
00007ff81f2627c1 (__TEXT,__text) non-external -[CalculateTerm description]
00007ff81f261624 (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
00007ff81f26205f (__TEXT,__text) non-external -[CalculateTerm formattedResult]
00007ff81f261830 (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
00007ff81f26181c (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
00007ff81f260ca0 (__TEXT,__text) non-external -[CalculateTerm formattedValue]
00007ff81f2607c7 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
00007ff81f26080f (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
00007ff81f26038d (__TEXT,__text) non-external -[CalculateTerm init]
00007ff81f260710 (__TEXT,__text) non-external -[CalculateTerm isCurrency]
00007ff81f26275f (__TEXT,__text) non-external -[CalculateTerm isEqual:]
00007ff81f26059a (__TEXT,__text) non-external -[CalculateTerm locale]
00007ff81f2604c1 (__TEXT,__text) non-external -[CalculateTerm numberFormatter]
00007ff81f26167b (__TEXT,__text) non-external -[CalculateTerm primaryUnit]
00007ff81f26040d (__TEXT,__text) non-external -[CalculateTerm resultContainingNumberFormatter]
00007ff81f2627e7 (__TEXT,__text) non-external -[CalculateTerm result]
00007ff81f26281c (__TEXT,__text) non-external -[CalculateTerm setDecimalValue:]
00007ff81f2627fd (__TEXT,__text) non-external -[CalculateTerm setResult:]
00007ff81f2627dd (__TEXT,__text) non-external -[CalculateTerm units]
00007ff81f2627d3 (__TEXT,__text) non-external -[CalculateTerm value]
00007ff81f26872a (__TEXT,__text) non-external -[CalculateToken .cxx_destruct]
00007ff81f2685a5 (__TEXT,__text) non-external -[CalculateToken initWithType:range:text:ranks:]
00007ff81f26865f (__TEXT,__text) non-external -[CalculateToken isEqual:]
00007ff81f2686fe (__TEXT,__text) non-external -[CalculateToken range]
00007ff81f268720 (__TEXT,__text) non-external -[CalculateToken ranks]
00007ff81f268716 (__TEXT,__text) non-external -[CalculateToken text]
00007ff81f26870c (__TEXT,__text) non-external -[CalculateToken tokenType]
