00007ff84338a698 (__DATA,__data) non-external _C
00007ff84338b9f0 (__DATA,__bss) non-external _CF6464
00007ff80036eaa0 (__TEXT,__const) non-external _CIFP
00007ff84338c74c (__DATA,__bss) non-external _EMSG
00007ff84338c74d (__DATA,__bss) non-external _EMSG
00007ff80036ea70 (__TEXT,__const) non-external _ExpandTr
00007ff84338b9e0 (__DATA,__bss) non-external _IE3264
00007ff80036ea30 (__TEXT,__const) non-external _IP
00007ff84338b950 (__DATA,__bss) non-external _KS
00007ff8431a7af0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff8431a7ae8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff80036eae0 (__TEXT,__const) non-external _P32Tr
00007ff80036e9f0 (__TEXT,__const) non-external _PC1
00007ff84338b948 (__DATA,__bss) non-external _PC1ROT
00007ff80036e9b0 (__TEXT,__const) non-external _PC2
00007ff84338b9d0 (__DATA,__bss) non-external _PC2ROT
00007ff80036e9a0 (__TEXT,__const) non-external _Rotates
00007ff80036eb00 (__TEXT,__const) non-external _S
00007ff84338b9e8 (__DATA,__bss) non-external _SPE
00007ff80034398a (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff8003439c1 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800343ac1 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800343a82 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff84338a888 (__DATA,__data) non-external __C_lconv
00007ff840083620 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840083640 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400836e8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840083930 (__DATA_CONST,__const) non-external __C_time_locale
00007ff84338a9e0 (__DATA,__data) external __CurrentRuneLocale
00007ff84338ac08 (__DATA,__constrw) external __DefaultRuneLocale
00007ff84338b890 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800345398 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff8003453fe (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800345444 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800345422 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff80034544e (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800345532 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800345598 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff8003455ed (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff8003455c2 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff8003455f7 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800345472 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
