0000000242d696e4 (__TEXT,__text) external _LLVMExtraCreateBinary
0000000242d6982c (__TEXT,__text) external _LLVMExtraDisposeBinary
0000000242d69658 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
0000000242d69980 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
0000000242d69b48 (__TEXT,__text) external _LLVMExtraGetSymbolImplDecompressedSize
0000000242d69c2c (__TEXT,__text) external _LLVMExtraGetSymbolImplFlags
0000000242d69cd0 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
0000000242d69a64 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
0000000242d69dac (__TEXT,__text) external _LLVMExtraGetSymbolReflectionAddress
0000000242d69f74 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionDecompressedSize
0000000242d6a058 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionFlags
0000000242d69e90 (__TEXT,__text) external _LLVMExtraGetSymbolReflectionSize
0000000242d69850 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
0000000242d695d8 (__TEXT,__text) external _LLVMExtraMakeSharedModule
0000000242d6721c (__TEXT,__text) external _MTLArchiveAddMember
0000000242d704ec (__TEXT,__text) external _MTLArchiveCreate
0000000242d671b0 (__TEXT,__text) external _MTLArchiveDestroy
0000000242d6e734 (__TEXT,__text) external _MTLArchiveGetAsObject
0000000242d67328 (__TEXT,__text) external _MTLArchiveGetMemberNo
0000000242d672c4 (__TEXT,__text) external _MTLArchiveGetMembersCount
0000000242d6e918 (__TEXT,__text) external _MTLCreateScript
0000000242d6eaa0 (__TEXT,__text) external _MTLDestroyScript
0000000242d6c30c (__TEXT,__text) external _MTLDisposeSharedMetalModule
0000000242d58794 (__TEXT,__text) external _MTLDowngradeAIRModule
0000000242d58748 (__TEXT,__text) external _MTLEnablePrettyStackTrace
0000000242d60e88 (__TEXT,__text) external _MTLFunctionGroupCreate
0000000242d61090 (__TEXT,__text) external _MTLFunctionGroupDestroy
0000000242d611b8 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
0000000242d61168 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
0000000242d61110 (__TEXT,__text) external _MTLFunctionGroupGetName
0000000242d56d1c (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
0000000242d56940 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
0000000242d56a74 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
0000000242d56ba8 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
0000000242d57cd0 (__TEXT,__text) external _MTLGPUArchiverAddTool
0000000242d566a8 (__TEXT,__text) external _MTLGPUArchiverAddUnit
0000000242d567f4 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
0000000242d57f34 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
0000000242d58048 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
