00000001901a32b0 (__TEXT,__const) non-external _DOWNCASE_TBL
00000001901a3120 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00000001901a3db0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00000001901a38b0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00000001901a33b0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00000001901a3cb0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00000001901a37b0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000019018fbe8 (__TEXT,__text) non-external _active_outbound_item_reset
0000000190194734 (__TEXT,__text) non-external _add_hd_table_incremental
0000000190197c5c (__TEXT,__text) non-external _bubble_down
0000000190197bdc (__TEXT,__text) non-external _bubble_up
000000019018fb08 (__TEXT,__text) non-external _buf_chain_new
0000000190198a44 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000019018fa44 (__TEXT,__text) non-external _default_calloc
000000019018fdb0 (__TEXT,__text) non-external _default_free
000000019018fa50 (__TEXT,__text) non-external _default_malloc
000000019018fbdc (__TEXT,__text) non-external _default_realloc
0000000190194194 (__TEXT,__text) non-external _emit_indname_block
0000000190194320 (__TEXT,__text) non-external _emit_string
0000000190196c28 (__TEXT,__text) non-external _emit_table_size
000000019019a154 (__TEXT,__text) non-external _find_stream_on_goaway_func
0000000190194a70 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
0000000190199c78 (__TEXT,__text) non-external _free_streams
000000019019a408 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
0000000190196a84 (__TEXT,__text) non-external _hd_context_free
0000000190195330 (__TEXT,__text) non-external _hd_context_shrink_table_size
00000001901978fc (__TEXT,__text) non-external _hd_get_table_entry
0000000190196198 (__TEXT,__text) non-external _hd_inflate_commit_indname
0000000190196258 (__TEXT,__text) non-external _hd_inflate_commit_newname
00000001901960c4 (__TEXT,__text) non-external _hd_inflate_read_huff
0000000190195fc0 (__TEXT,__text) non-external _hd_inflate_read_len
0000000190196b14 (__TEXT,__text) non-external _hd_ringbuf_get
000000019019ef58 (__TEXT,__const) non-external _huff_decode_table
000000019019e750 (__TEXT,__const) non-external _huff_sym_table
00000001901933cc (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00000001901970d4 (__TEXT,__text) non-external _map_insert
0000000190196fd0 (__TEXT,__text) non-external _map_resize
00000001ec899128 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
0000000190190670 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000019018ff2c (__TEXT,__text) non-external _nghttp2_bufs_add
0000000190194a10 (__TEXT,__text) non-external _nghttp2_bufs_addb
0000000190196bbc (__TEXT,__text) non-external _nghttp2_bufs_free
000000019019e538 (__TEXT,__text) external _nghttp2_check_authority
000000019018f14c (__TEXT,__text) external _nghttp2_check_header_name
000000019018f198 (__TEXT,__text) external _nghttp2_check_header_value
000000019019e464 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
