00007fff849e1c40 (__DATA,__bss) non-external _SVC_REQ_KEY
00007fff849e1b80 (__DATA,__data) non-external _TIMEOUT
00007fff849e1b90 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007fff5dbaf100 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007fff5dbaf120 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007fff5dbab93a (__TEXT,__text) non-external __buf
00007fff5dbb9a2d (__TEXT,__text) non-external __buf.cold.1
00007fff5dbb9ad4 (__TEXT,__text) non-external __buf.cold.2
00007fff849e1670 (__DATA,__data) non-external __dyld_private
00007fff5dbab818 (__TEXT,__text) external __newrpclib___rpc_createerr
00007fff5dbb9838 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007fff5dbb98df (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007fff5dbafc41 (__TEXT,__text) external __newrpclib__authenticate
00007fff5dbba538 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007fff5dbba5d5 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007fff5dbba683 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007fff849e1d70 (__DATA,__common) external __newrpclib__null_auth
00007fff5dbaf909 (__TEXT,__text) external __newrpclib__seterr_reply
00007fff5dbaa28f (__TEXT,__text) external __newrpclib_authnone_create
00007fff5dbb9305 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007fff5dbaa3f2 (__TEXT,__text) external __newrpclib_authunix_create
00007fff5dbb93ac (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007fff5dbb945a (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007fff5dbb9508 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007fff5dbb95a3 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007fff5dbaa703 (__TEXT,__text) external __newrpclib_authunix_create_default
00007fff5dbb96d9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007fff5dbb9787 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007fff5dbaa090 (__TEXT,__text) external __newrpclib_callrpc
00007fff5dbaee49 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007fff5dbaac9b (__TEXT,__text) external __newrpclib_clnt_create
00007fff5dbaaaa0 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007fff5dbaaddf (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007fff5dbabec0 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007fff5dbabc4b (__TEXT,__text) external __newrpclib_clnt_perrno
00007fff5dbabbb8 (__TEXT,__text) external __newrpclib_clnt_perror
00007fff5dbabc8d (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007fff5dbabc19 (__TEXT,__text) external __newrpclib_clnt_sperrno
00007fff5dbab901 (__TEXT,__text) external __newrpclib_clnt_sperror
00007fff5dbabf4c (__TEXT,__text) external __newrpclib_clntraw_create
00007fff5dbb9c22 (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007fff5dbacfa7 (__TEXT,__text) external __newrpclib_clnttcp_create
00007fff5dbba36f (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007fff5dbace89 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007fff5dbba239 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007fff5dbacf16 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007fff5dbba2d4 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007fff5dbad8bd (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007fff5dbad913 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007fff5dbad4cc (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007fff5dbad8fd (__TEXT,__text) external __newrpclib_clntudp_create
00007fff5dbad945 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007fff5dbadf0c (__TEXT,__text) external __newrpclib_getrpcport
00007fff5dbb6741 (__TEXT,__text) external __newrpclib_netid2socparms
00007fff5dbaec01 (__TEXT,__text) external __newrpclib_pmap_callit
00007fff5dbadfa4 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007fff5dbae1f8 (__TEXT,__text) external __newrpclib_pmap_getport
00007fff5dbae208 (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007fff5dbaefe6 (__TEXT,__text) external __newrpclib_pmap_indirect
00007fff5dbae218 (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007fff5dbb71fa (__TEXT,__text) external __newrpclib_pmap_set
00007fff5dbb72fb (__TEXT,__text) external __newrpclib_pmap_unset
00007fff5dbae446 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007fff5dbb7545 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007fff5dbb74fe (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007fff5dbb74b4 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007fff5dbb73ed (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007fff5dbb7420 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007fff5dbb746a (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007fff5dbb0780 (__TEXT,__text) external __newrpclib_registerrpc
00007fff5dbba90a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007fff5dbba9a5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007fff5dbbaa40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007fff5dbbaae5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007fff849e1c28 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007fff5dbaf50c (__TEXT,__text) external __newrpclib_rpc_control
00007fff5dbba4a4 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007fff849e1d68 (__DATA,__common) external __newrpclib_rpc_ipmode
00007fff849e1b28 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007fff5dbae530 (__TEXT,__text) external __newrpclib_rpcb_callit
00007fff5dbb8d90 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007fff5dbb8db0 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007fff5dbb8647 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007fff5dbbdebb (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007fff5dbb8da0 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007fff5dbb8ce3 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007fff5dbaee53 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007fff5dbb8ec8 (__TEXT,__text) external __newrpclib_rpcb_set
00007fff5dbb90fc (__TEXT,__text) external __newrpclib_rpcb_unset
00007fff5dbb7919 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007fff5dbb76bc (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007fff5dbb7675 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007fff5dbb78d2 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007fff5dbb762a (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007fff5dbb7887 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007fff5dbb7aec (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007fff5dbb7b37 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007fff5dbb770d (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007fff5dbb796a (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007fff5dbb7a50 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007fff5dbb7a9b (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007fff5dbb7596 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007fff5dbb77f3 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007fff5dbb77a8 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007fff5dbb7a05 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007fff5dbb7753 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007fff5dbb79b0 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007fff5dbb75e0 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007fff5dbb783d (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007fff5dbb6ad8 (__TEXT,__text) external __newrpclib_sa2uaddr
00007fff5dbaa6ef (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007fff5dbb6677 (__TEXT,__text) external __newrpclib_socparms2netid
00007fff5dbb3ed3 (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007fff5dbbd55e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007fff5dbbd5f2 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007fff5dbbd6a0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007fff5dbb06e4 (__TEXT,__text) external __newrpclib_svc_exit
00007fff5dbb3fe2 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007fff5dbb3fd4 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007fff5dbb3fc7 (__TEXT,__text) external __newrpclib_svc_getnetid
00007fff5dbb3b51 (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007fff5dbb0328 (__TEXT,__text) external __newrpclib_svc_pollnext
00007fff5dbba84e (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007fff5dbb2fe3 (__TEXT,__text) external __newrpclib_svc_register
00007fff5dbb33ca (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007fff5dbafe74 (__TEXT,__text) external __newrpclib_svc_run
00007fff5dbb3339 (__TEXT,__text) external __newrpclib_svc_sendreply
00007fff5dbb3101 (__TEXT,__text) external __newrpclib_svc_unregister
00007fff5dbb37db (__TEXT,__text) external __newrpclib_svcerr_auth
00007fff5dbb35a3 (__TEXT,__text) external __newrpclib_svcerr_decode
00007fff5dbb3487 (__TEXT,__text) external __newrpclib_svcerr_noproc
00007fff5dbb38f1 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007fff5dbb3a0d (__TEXT,__text) external __newrpclib_svcerr_progvers
00007fff5dbb3840 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007fff5dbb361c (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007fff5dbb3500 (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007fff5dbb396a (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007fff5dbb3a98 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007fff5dbb3738 (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007fff5dbb38e2 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007fff5dbb36bf (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007fff5dbb38d3 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007fff5dbb120a (__TEXT,__text) external __newrpclib_svcfd_create
00007fff5dbafdea (__TEXT,__text) external __newrpclib_svcraw_create
00007fff5dbb0a5a (__TEXT,__text) external __newrpclib_svctcp_create
00007fff5dbbad60 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007fff5dbbae0e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007fff5dbbaea9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007fff5dbbaf57 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007fff5dbbb005 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007fff5dbbb0a0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007fff5dbbb13b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007fff5dbb1ce5 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007fff5dbbc30d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007fff5dbbc3bb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007fff5dbbc469 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007fff5dbbc517 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007fff5dbbc5c5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007fff5dbbc673 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007fff5dbb1ff4 (__TEXT,__text) external __newrpclib_svcudp_create
00007fff5dbb6803 (__TEXT,__text) external __newrpclib_uaddr2sa
00007fff5dbb3ff1 (__TEXT,__text) external __newrpclib_xdr_array
00007fff5dbbd73a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007fff5dbaaa1e (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007fff5dbb5725 (__TEXT,__text) external __newrpclib_xdr_bool
00007fff5dbb5833 (__TEXT,__text) external __newrpclib_xdr_bytes
00007fff5dbbdb78 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007fff5dbaf896 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007fff5dbaf14a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007fff5dbb56c5 (__TEXT,__text) external __newrpclib_xdr_char
00007fff5dbaf821 (__TEXT,__text) external __newrpclib_xdr_des_block
00007fff5dbb41c3 (__TEXT,__text) external __newrpclib_xdr_double
00007fff5dbb578b (__TEXT,__text) external __newrpclib_xdr_enum
00007fff5dbb4176 (__TEXT,__text) external __newrpclib_xdr_float
00007fff5dbb535b (__TEXT,__text) external __newrpclib_xdr_free
00007fff5dbb5d93 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007fff5dbb5d6b (__TEXT,__text) external __newrpclib_xdr_hyper
00007fff5dbb5383 (__TEXT,__text) external __newrpclib_xdr_int
00007fff5dbb560b (__TEXT,__text) external __newrpclib_xdr_int16_t
00007fff5dbb549d (__TEXT,__text) external __newrpclib_xdr_int32_t
00007fff5dbb5bc7 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007fff5dbb5437 (__TEXT,__text) external __newrpclib_xdr_long
00007fff5dbb5d7f (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007fff5dbb8607 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007fff5dbb5a17 (__TEXT,__text) external __newrpclib_xdr_netobj
00007fff5dbb5795 (__TEXT,__text) external __newrpclib_xdr_opaque
00007fff849e1c50 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007fff5dbaf7e8 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007fff5dbb6f9c (__TEXT,__text) external __newrpclib_xdr_pmap
00007fff5dbb714f (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007fff5dbb71ba (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007fff5dbb701e (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007fff5dbb6ffe (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007fff5dbb501e (__TEXT,__text) external __newrpclib_xdr_pointer
00007fff5dbb4f68 (__TEXT,__text) external __newrpclib_xdr_reference
00007fff5dbbdaca (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007fff5dbaf830 (__TEXT,__text) external __newrpclib_xdr_replymsg
00007fff5dbae304 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007fff5dbae3e2 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007fff5dbb7c0e (__TEXT,__text) external __newrpclib_xdr_rp__list
00007fff5dbb7b8d (__TEXT,__text) external __newrpclib_xdr_rpcb
00007fff5dbb7e0f (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007fff5dbb7e95 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007fff5dbb7fc6 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007fff5dbb7d5f (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007fff5dbb7dca (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007fff5dbb8547 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007fff5dbb85e2 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007fff5dbb7d3f (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007fff5dbb7fe6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007fff5dbb8507 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007fff5dbb84e2 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007fff5dbb8228 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007fff5dbb8527 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007fff5dbb5551 (__TEXT,__text) external __newrpclib_xdr_short
00007fff5dbb5088 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007fff5dbb5ac2 (__TEXT,__text) external __newrpclib_xdr_string
00007fff5dbbdcd4 (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007fff5dbb56f5 (__TEXT,__text) external __newrpclib_xdr_u_char
00007fff5dbb5d75 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007fff5dbb53dd (__TEXT,__text) external __newrpclib_xdr_u_int
00007fff5dbb546a (__TEXT,__text) external __newrpclib_xdr_u_long
00007fff5dbb5d89 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007fff5dbb55ae (__TEXT,__text) external __newrpclib_xdr_u_short
00007fff5dbb5668 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007fff5dbb54f7 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007fff5dbb5c99 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007fff5dbb5a2d (__TEXT,__text) external __newrpclib_xdr_union
00007fff5dbb4123 (__TEXT,__text) external __newrpclib_xdr_vector
00007fff5dbb5378 (__TEXT,__text) external __newrpclib_xdr_void
00007fff5dbb5bb8 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007fff5dbb4251 (__TEXT,__text) external __newrpclib_xdrmem_create
00007fff5dbb47b9 (__TEXT,__text) external __newrpclib_xdrrec_create
00007fff5dbbd7e8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007fff5dbbd896 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007fff5dbbd944 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007fff5dbb4cec (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007fff5dbb4c90 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007fff5dbb49e8 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007fff5dbb520f (__TEXT,__text) external __newrpclib_xdrstdio_create
00007fff5dbb2ac7 (__TEXT,__text) external __newrpclib_xprt_register
00007fff5dbb2d1f (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007fff5dbafdb7 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007fff5dbafc36 (__TEXT,__text) non-external (was a private external) __svcauth_short
00007fff5dbafac5 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007fff5dbb0286 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007fff5dbba731 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007fff5dbba7ba (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007fff8b98d450 (__DATA_CONST,__const) non-external _auth_errlist
00007fff849e16b0 (__DATA,__data) non-external _auth_unix_ops
00007fff5dbaa3ec (__TEXT,__text) non-external _authnone_destroy
00007fff5dbaa2da (__TEXT,__text) non-external _authnone_init
00007fff5dbaa3ad (__TEXT,__text) non-external _authnone_marshal
00007fff849e1678 (__DATA,__data) non-external _authnone_once_init
00007fff849e1bf8 (__DATA,__bss) non-external _authnone_private
00007fff5dbaa3e4 (__TEXT,__text) non-external _authnone_refresh
00007fff5dbaa3d9 (__TEXT,__text) non-external _authnone_validate
00007fff5dbaa3a7 (__TEXT,__text) non-external _authnone_verf
00007fff5dbaa9d6 (__TEXT,__text) non-external _authunix_destroy
00007fff5dbaa7f1 (__TEXT,__text) non-external _authunix_marshal
00007fff5dbaa7eb (__TEXT,__text) non-external _authunix_nextverf
00007fff5dbaa8d3 (__TEXT,__text) non-external _authunix_refresh
00007fff5dbaa814 (__TEXT,__text) non-external _authunix_validate
00007fff849e17a8 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007fff849e1c08 (__DATA,__bss) non-external _buf
00007fff5dbabf3b (__TEXT,__text) non-external _bufdestroy
00007fff5dbae761 (__TEXT,__text) non-external _build_callit_rpc
00007fff849e1b30 (__DATA,__data) non-external _cache_control_init
00007fff5dbb6d89 (__TEXT,__text) non-external _cache_init
00007fff5dbbde32 (__TEXT,__text) non-external _cache_init.cold.1
00007fff849e1c90 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007fff849e1bf0 (__DATA,__bss) non-external _callrpc_private
00007fff5dbacdd8 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007fff849e1700 (__DATA,__data) non-external _client_ops
00007fff5dbaad3d (__TEXT,__text) external _clnt_auth_set
00007fff849e16f0 (__DATA,__data) non-external _clnt_perror_once
00007fff5dbab9da (__TEXT,__text) non-external _clnt_sperror_r
00007fff5dbac21f (__TEXT,__text) non-external _clntraw_abort
00007fff5dbac054 (__TEXT,__text) non-external _clntraw_call
00007fff5dbac25b (__TEXT,__text) non-external _clntraw_control
00007fff5dbac255 (__TEXT,__text) non-external _clntraw_destroy
00007fff5dbac22b (__TEXT,__text) non-external _clntraw_freeres
00007fff5dbac225 (__TEXT,__text) non-external _clntraw_geterr
00007fff849e1c10 (__DATA,__bss) non-external _clntraw_private
00007fff5dbad3db (__TEXT,__text) non-external _clntstrm_abort
00007fff5dbad0b2 (__TEXT,__text) non-external _clntstrm_call
00007fff5dbad471 (__TEXT,__text) non-external _clntstrm_control
00007fff5dbac263 (__TEXT,__text) external _clntstrm_create_timeout
00007fff5dbb9cbd (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007fff5dbb9d58 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007fff5dbb9df0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007fff5dbb9e8e (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007fff5dbb9f26 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007fff5dbb9fc1 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007fff5dbba06f (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007fff5dbad420 (__TEXT,__text) non-external _clntstrm_destroy
00007fff5dbad3fe (__TEXT,__text) non-external _clntstrm_freeres
