                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811e881d2 (__TEXT,__text) non-external _au_assemble
00007ff811e89654 (__TEXT,__text) external _au_bsm_to_domain
00007ff811e94819 (__TEXT,__text) external _au_bsm_to_errno
00007ff811e948c7 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff811e9096e (__TEXT,__text) external _au_bsm_to_socket_type
00007ff811e8841f (__TEXT,__text) external _au_close
00007ff811e884d0 (__TEXT,__text) external _au_close_buffer
00007ff811e88590 (__TEXT,__text) external _au_close_token
00007ff811e88107 (__TEXT,__text) external _au_close_with_errors
00007ff8437484c0 (__DATA_DIRTY,__bss) non-external _au_cond
00007ff811e89629 (__TEXT,__text) external _au_domain_to_bsm
00007ff811e947eb (__TEXT,__text) external _au_errno_to_bsm
00007ff811e9489c (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff811e87b93 (__TEXT,__text) external _au_fetch_tok
00007ff811e87f1d (__TEXT,__text) external _au_free_token
00007ff811e9086d (__TEXT,__text) external _au_get_state
00007ff811e907cd (__TEXT,__text) external _au_notify_initialize
00007ff811e90854 (__TEXT,__text) external _au_notify_terminate
00007ff811e87f47 (__TEXT,__text) external _au_open
00007ff8414ace80 (__DATA_CONST,__const) non-external _au_polstr
00007ff811e88a0c (__TEXT,__text) external _au_poltostr
00007ff811e905bd (__TEXT,__text) external _au_preselect
00007ff811e8b430 (__TEXT,__text) external _au_print_flags_tok
00007ff811e8f844 (__TEXT,__text) external _au_print_tok
00007ff811e8f85e (__TEXT,__text) external _au_print_tok_xml
00007ff811e89f29 (__TEXT,__text) external _au_print_xml_footer
00007ff811e89ee8 (__TEXT,__text) external _au_print_xml_header
00007ff811e8f87e (__TEXT,__text) external _au_read_rec
00007ff811e947ab (__TEXT,__text) external _au_sdev_close
00007ff811e947de (__TEXT,__text) external _au_sdev_fd
00007ff811e8775b (__TEXT,__text) external _au_sdev_open
00007ff811e8782e (__TEXT,__text) external _au_sdev_read_aia
00007ff8414acf70 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff811e88b75 (__TEXT,__text) external _au_sflagstostr
00007ff811e90943 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff811e890ee (__TEXT,__text) non-external _au_spacetobytes
00007ff811e94858 (__TEXT,__text) external _au_strerror
00007ff811e88aaf (__TEXT,__text) external _au_strtopol
00007ff811e88c15 (__TEXT,__text) external _au_strtosflags
00007ff811e88378 (__TEXT,__text) non-external _au_teardown
00007ff811e90b9a (__TEXT,__text) external _au_to_arg
00007ff811e909a7 (__TEXT,__text) external _au_to_arg32
00007ff811e90a8b (__TEXT,__text) external _au_to_arg64
00007ff811e929b4 (__TEXT,__text) external _au_to_certificate_hash
00007ff811e90ba4 (__TEXT,__text) external _au_to_data
00007ff811e92874 (__TEXT,__text) external _au_to_exec_args
00007ff811e929a5 (__TEXT,__text) external _au_to_exec_env
00007ff811e90c89 (__TEXT,__text) external _au_to_exit
00007ff811e911b8 (__TEXT,__text) external _au_to_file
00007ff811e90d2c (__TEXT,__text) external _au_to_groups
00007ff811e930ad (__TEXT,__text) external _au_to_header
00007ff811e93007 (__TEXT,__text) external _au_to_header32
00007ff811e92f75 (__TEXT,__text) external _au_to_header32_ex
00007ff811e92cd5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff811e92bda (__TEXT,__text) external _au_to_header32_tm
00007ff811e9305a (__TEXT,__text) external _au_to_header64
00007ff811e92e46 (__TEXT,__text) external _au_to_header64_tm
00007ff811e930b7 (__TEXT,__text) external _au_to_header_ex
00007ff811e92a80 (__TEXT,__text) external _au_to_identity
00007ff811e90dec (__TEXT,__text) external _au_to_in_addr
00007ff811e90e5a (__TEXT,__text) external _au_to_in_addr_ex
00007ff811e90ed1 (__TEXT,__text) external _au_to_ip
00007ff811e90f4f (__TEXT,__text) external _au_to_ipc
00007ff811e90fdb (__TEXT,__text) external _au_to_ipc_perm
00007ff811e910aa (__TEXT,__text) external _au_to_iport
00007ff811e93143 (__TEXT,__text) external _au_to_kevent
00007ff811e929c3 (__TEXT,__text) external _au_to_krb5_principal
00007ff811e927ec (__TEXT,__text) external _au_to_me
00007ff811e90d3e (__TEXT,__text) external _au_to_newgroups
00007ff811e91114 (__TEXT,__text) external _au_to_opaque
00007ff811e9136e (__TEXT,__text) external _au_to_path
00007ff811e9170f (__TEXT,__text) external _au_to_process
00007ff811e9141c (__TEXT,__text) external _au_to_process32
00007ff811e91719 (__TEXT,__text) external _au_to_process32_ex
00007ff811e91572 (__TEXT,__text) external _au_to_process64
00007ff811e91935 (__TEXT,__text) external _au_to_process64_ex
00007ff811e91b72 (__TEXT,__text) external _au_to_process_ex
00007ff811e91cb9 (__TEXT,__text) external _au_to_return
00007ff811e91b7c (__TEXT,__text) external _au_to_return32
00007ff811e91c08 (__TEXT,__text) external _au_to_return64
00007ff811e91cc3 (__TEXT,__text) external _au_to_seq
00007ff811e92092 (__TEXT,__text) external _au_to_sock_inet
00007ff811e92004 (__TEXT,__text) external _au_to_sock_inet128
00007ff811e91f84 (__TEXT,__text) external _au_to_sock_inet32
00007ff811e91ec5 (__TEXT,__text) external _au_to_sock_unix
00007ff811e91d3d (__TEXT,__text) external _au_to_socket_ex
00007ff811e92883 (__TEXT,__text) non-external _au_to_strings
00007ff811e9238f (__TEXT,__text) external _au_to_subject
00007ff811e9209c (__TEXT,__text) external _au_to_subject32
00007ff811e92399 (__TEXT,__text) external _au_to_subject32_ex
00007ff811e921f2 (__TEXT,__text) external _au_to_subject64
00007ff811e925ad (__TEXT,__text) external _au_to_subject64_ex
00007ff811e927e2 (__TEXT,__text) external _au_to_subject_ex
00007ff811e912c0 (__TEXT,__text) external _au_to_text
00007ff811e930c1 (__TEXT,__text) external _au_to_trailer
00007ff811e929d2 (__TEXT,__text) external _au_to_zonename
00007ff811e93452 (__TEXT,__text) external _au_user_mask
00007ff811e88085 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843ca3678 (__DATA,__bss) non-external _audit_free_q
00007ff811e94734 (__TEXT,__text) external _audit_get_car
00007ff811e94504 (__TEXT,__text) external _audit_get_class
00007ff811e93a3b (__TEXT,__text) external _audit_get_cond
00007ff811e94749 (__TEXT,__text) external _audit_get_ctlmode
00007ff811e9471f (__TEXT,__text) external _audit_get_cwd
00007ff811e9477a (__TEXT,__text) external _audit_get_expire_after
00007ff811e945c8 (__TEXT,__text) external _audit_get_fsize
00007ff811e944a2 (__TEXT,__text) external _audit_get_kaudit
00007ff811e94566 (__TEXT,__text) external _audit_get_kmask
00007ff811e9465b (__TEXT,__text) external _audit_get_pinfo
00007ff811e9468c (__TEXT,__text) external _audit_get_pinfo_addr
00007ff811e94204 (__TEXT,__text) external _audit_get_policy
00007ff811e94339 (__TEXT,__text) external _audit_get_qctrl
00007ff811e942d2 (__TEXT,__text) external _audit_get_sflags
00007ff811e9430d (__TEXT,__text) external _audit_get_sflags_mask
00007ff811e87eec (__TEXT,__text) external _audit_get_sinfo_addr
00007ff811e946bd (__TEXT,__text) external _audit_get_stat
00007ff843ca3670 (__DATA,__bss) non-external _audit_rec_count
00007ff811e9448b (__TEXT,__text) external _audit_send_trigger
00007ff811e94535 (__TEXT,__text) external _audit_set_class
00007ff811e9419d (__TEXT,__text) external _audit_set_cond
00007ff811e945f9 (__TEXT,__text) external _audit_set_fsize
00007ff811e944d3 (__TEXT,__text) external _audit_set_kaudit
00007ff811e94597 (__TEXT,__text) external _audit_set_kmask
00007ff811e9462a (__TEXT,__text) external _audit_set_pmask
00007ff811e9426b (__TEXT,__text) external _audit_set_policy
00007ff811e943e2 (__TEXT,__text) external _audit_set_qctrl
00007ff811e942e9 (__TEXT,__text) external _audit_set_sflags
