00000001918ce968 (__TEXT,__const) non-external _KW_ANY
00000001918ce8ed (__TEXT,__const) non-external _KW_ATTLIST
00000001918ce91b (__TEXT,__const) non-external _KW_CDATA
00000001918ce8d0 (__TEXT,__const) non-external _KW_DOCTYPE
00000001918ce8f5 (__TEXT,__const) non-external _KW_ELEMENT
00000001918ce962 (__TEXT,__const) non-external _KW_EMPTY
00000001918ce931 (__TEXT,__const) non-external _KW_ENTITIES
00000001918ce8e6 (__TEXT,__const) non-external _KW_ENTITY
00000001918ce95c (__TEXT,__const) non-external _KW_FIXED
00000001918ce921 (__TEXT,__const) non-external _KW_ID
00000001918ce924 (__TEXT,__const) non-external _KW_IDREF
00000001918ce92a (__TEXT,__const) non-external _KW_IDREFS
00000001918ce90e (__TEXT,__const) non-external _KW_IGNORE
00000001918ce94b (__TEXT,__const) non-external _KW_IMPLIED
00000001918ce906 (__TEXT,__const) non-external _KW_INCLUDE
00000001918cf078 (__TEXT,__const) non-external _KW_ISO_8859_1
00000001918ce915 (__TEXT,__const) non-external _KW_NDATA
00000001918ce93a (__TEXT,__const) non-external _KW_NMTOKEN
00000001918ce942 (__TEXT,__const) non-external _KW_NMTOKENS
00000001918ce8fd (__TEXT,__const) non-external _KW_NOTATION
00000001918ce96c (__TEXT,__const) non-external _KW_PCDATA
00000001918ce8df (__TEXT,__const) non-external _KW_PUBLIC
00000001918ce953 (__TEXT,__const) non-external _KW_REQUIRED
00000001918ce8d8 (__TEXT,__const) non-external _KW_SYSTEM
00000001918cf083 (__TEXT,__const) non-external _KW_US_ASCII
00000001918cf092 (__TEXT,__const) non-external _KW_UTF_16
00000001918cf099 (__TEXT,__const) non-external _KW_UTF_16BE
00000001918cf0a2 (__TEXT,__const) non-external _KW_UTF_16LE
00000001918cf08c (__TEXT,__const) non-external _KW_UTF_8
00000001918cf0b9 (__TEXT,__const) non-external _KW_encoding
00000001918cf0d1 (__TEXT,__const) non-external _KW_no
00000001918cf0c2 (__TEXT,__const) non-external _KW_standalone
00000001918cf0b1 (__TEXT,__const) non-external _KW_version
00000001918cf0cd (__TEXT,__const) non-external _KW_yes
00000001918b86fc (__TEXT,__text) external _XML_DefaultCurrent
00000001918b882c (__TEXT,__text) external _XML_ErrorString
00000001918b8850 (__TEXT,__text) external _XML_ExpatVersion
00000001918b885c (__TEXT,__text) external _XML_ExpatVersionInfo
00000001918b6ec0 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00000001918b86a8 (__TEXT,__text) external _XML_FreeContentModel
00000001918b7b44 (__TEXT,__text) external _XML_GetBase
00000001918b7ed8 (__TEXT,__text) external _XML_GetBuffer
00000001918b858c (__TEXT,__text) external _XML_GetCurrentByteCount
00000001918b8568 (__TEXT,__text) external _XML_GetCurrentByteIndex
00000001918b8650 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00000001918b85f4 (__TEXT,__text) external _XML_GetCurrentLineNumber
00000001918b8554 (__TEXT,__text) external _XML_GetErrorCode
00000001918b886c (__TEXT,__text) external _XML_GetFeatureList
00000001e75017a8 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00000001918b7b64 (__TEXT,__text) external _XML_GetIdAttributeIndex
00000001918b85b4 (__TEXT,__text) external _XML_GetInputContext
00000001918b8530 (__TEXT,__text) external _XML_GetParsingStatus
00000001918ce600 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00000001918b7b50 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00000001918b86e8 (__TEXT,__text) external _XML_MemFree
00000001918b86bc (__TEXT,__text) external _XML_MemMalloc
00000001918b86d0 (__TEXT,__text) external _XML_MemRealloc
00000001918b7d3c (__TEXT,__text) external _XML_Parse
00000001918ce5a8 (__TEXT,__text) non-external _XML_Parse.cold.1
