00000001f9b0697c (__TEXT,__text) external _LLVMExtraCreateBinary
00000001f9b06ae4 (__TEXT,__text) external _LLVMExtraDisposeBinary
00000001f9b068f8 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00000001f9b06c60 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00000001f9b06e50 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00000001f9b06d58 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00000001f9b06b10 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00000001f9b06898 (__TEXT,__text) external _LLVMExtraMakeSharedModule
00000001f9b067f0 (__TEXT,__text) external _MTLArchiveAddMember
00000001f9b0677c (__TEXT,__text) external _MTLArchiveCreate
00000001f9b067c0 (__TEXT,__text) external _MTLArchiveDestroy
00000001f9b097d8 (__TEXT,__text) external _MTLArchiveGetAsObject
00000001f9b06884 (__TEXT,__text) external _MTLArchiveGetMemberNo
00000001f9b06868 (__TEXT,__text) external _MTLArchiveGetMembersCount
00000001f9b09864 (__TEXT,__text) external _MTLCreateScript
00000001f9b099cc (__TEXT,__text) external _MTLDestroyScript
00000001f9b00c04 (__TEXT,__text) external _MTLDowngradeAIRModule
00000001f9b03c68 (__TEXT,__text) external _MTLFunctionGroupCreate
00000001f9b03df8 (__TEXT,__text) external _MTLFunctionGroupDestroy
00000001f9b03e68 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00000001f9b03e60 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00000001f9b03e4c (__TEXT,__text) external _MTLFunctionGroupGetName
00000001f9b00044 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00000001f9afff64 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00000001f9b00500 (__TEXT,__text) external _MTLGPUArchiverAddTool
00000001f9affe84 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00000001f9b00694 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00000001f9b00744 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00000001f9aff9e0 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00000001f9affc8c (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00000001f9affac4 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00000001f9affd70 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00000001f9aff8fc (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00000001f9affba8 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00000001f9affe54 (__TEXT,__text) external _MTLGPUArchiverDestroy
00000001f9b008c4 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00000001f9b00974 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00000001f9b0081c (__TEXT,__text) external _MTLGPUArchiverFlush
00000001f9b00aa0 (__TEXT,__text) external _MTLGPUArchiverFromId
00000001f9b005ec (__TEXT,__text) external _MTLGPUArchiverPackUnits
00000001f9b00450 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
00000001f9b002b0 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00000001f9b00384 (__TEXT,__text) external _MTLGPUArchiverSetTarget
00000001f9b001d4 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00000001f9b0010c (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00000001f9b00a4c (__TEXT,__text) external _MTLGPUArchiverToId
00000001f9b02b5c (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00000001f9b02d64 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00000001f9b02f50 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00000001f9b01fb4 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00000001f9b021b0 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00000001f9b0237c (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00000001f9b0122c (__TEXT,__text) external _MTLGPUCompilerCreate
00000001f9b0126c (__TEXT,__text) external _MTLGPUCompilerDestroy
00000001f9b0426c (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00000001f9b041a4 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00000001f9b041b8 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00000001f9b041cc (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00000001f9b041e0 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00000001f9b041f4 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00000001f9b04208 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00000001f9b0424c (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00000001f9b0421c (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00000001f9b04234 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00000001f9b0425c (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00000001f9b043d4 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00000001f9b04408 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00000001f9b0441c (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00000001f9b04430 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00000001f9b04444 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00000001f9b02564 (__TEXT,__text) external _MTLGPUCompilerLink
00000001f9b02760 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00000001f9b0294c (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00000001f9b038f4 (__TEXT,__text) external _MTLGPUCompilerLoadModules
00000001f9b03a18 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00000001f9b03b3c (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00000001f9b04938 (__TEXT,__text) external _MTLGPUCompilerLowerModule
00000001f9b04a2c (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00000001f9b03e88 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00000001f9b038a4 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00000001f9b038e4 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00000001f9b0450c (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00000001f9b042a8 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00000001f9b043e8 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00000001f9b043fc (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00000001f9b03e90 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00000001f9b034fc (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00000001f9b03628 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00000001f9b03754 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00000001f9b03154 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00000001f9b03280 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00000001f9b033ac (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00000001f9b03ecc (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00000001f9b03fb0 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00000001f9b04094 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00000001f9b08d80 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00000001f9b08948 (__TEXT,__text) external _MTLMetalFunctionCreate
00000001f9b08a8c (__TEXT,__text) external _MTLMetalFunctionDestroy
00000001f9b08b38 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00000001f9b08ba0 (__TEXT,__text) external _MTLMetalFunctionGetAlias
00000001f9b08aec (__TEXT,__text) external _MTLMetalFunctionGetKind
00000001f9b08b6c (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00000001f9b08b20 (__TEXT,__text) external _MTLMetalFunctionGetModule
00000001f9b08ae4 (__TEXT,__text) external _MTLMetalFunctionGetName
00000001f9b08d78 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00000001f9b07d64 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00000001f9b07ce0 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00000001f9b07e14 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00000001f9b07d70 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
00000001f9b07cd4 (__TEXT,__text) external _MTLMetalLibCreateExecutable
00000001f9b07c50 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
00000001f9b07e24 (__TEXT,__text) external _MTLMetalLibDestroy
00000001f9b097e4 (__TEXT,__text) external _MTLMetalLibGetAsObject
00000001f9b08910 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
00000001f9b08920 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
00000001f9b07e64 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
00000001f9b07e54 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00000001f9b088f0 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00000001f9b088e0 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
00000001f9b088fc (__TEXT,__text) external _MTLMetalLibGetInstallName
00000001f9b0893c (__TEXT,__text) external _MTLMetalLibGetModuleNo
00000001f9b0892c (__TEXT,__text) external _MTLMetalLibGetModulesCount
00000001f9b084f0 (__TEXT,__text) external _MTLMetalLibGetVariableNo
00000001f9b084e0 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
00000001f9b07e70 (__TEXT,__text) external _MTLMetalLibInsertFunction
00000001f9b084fc (__TEXT,__text) external _MTLMetalLibInsertVariable
00000001f9b08ba8 (__TEXT,__text) external _MTLMetalVariableCreate
00000001f9b08cb8 (__TEXT,__text) external _MTLMetalVariableDestroy
00000001f9b08d08 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
00000001f9b08d70 (__TEXT,__text) external _MTLMetalVariableGetAlias
00000001f9b08d3c (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
00000001f9b08cf0 (__TEXT,__text) external _MTLMetalVariableGetModule
00000001f9b08ce8 (__TEXT,__text) external _MTLMetalVariableGetName
00000001f9b097cc (__TEXT,__text) external _MTLModuleGetAsObject
00000001f9b09504 (__TEXT,__text) external _MTLObjectCreate
00000001f9b096f4 (__TEXT,__text) external _MTLObjectDestroy
00000001f9b09804 (__TEXT,__text) external _MTLObjectGetAsArchive
00000001f9b09834 (__TEXT,__text) external _MTLObjectGetAsMetalLib
00000001f9b097f0 (__TEXT,__text) external _MTLObjectGetAsModule
00000001f9b00c2c (__TEXT,__text) external _MTLUpgradeAIRModule
00000001f9b01048 (__TEXT,__text) external _MTLVerifyAIRModule
00000001f9b01064 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
00000001f9b0111c (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
00000001f9b08d88 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15ValueHandleBase17RemoveFromUseListEv (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS_6ModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ERKNS0_8MetalLibERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
