                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a75acc3 (__TEXT,__text) non-external _au_assemble
00007ff80a75c1a8 (__TEXT,__text) external _au_bsm_to_domain
00007ff80a765f00 (__TEXT,__text) external _au_bsm_to_errno
00007ff80a765fae (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80a762343 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80a75af1e (__TEXT,__text) external _au_close
00007ff80a75afca (__TEXT,__text) external _au_close_buffer
00007ff80a75b08b (__TEXT,__text) external _au_close_token
00007ff80a75abfa (__TEXT,__text) external _au_close_with_errors
00007ff8422a9bf4 (__DATA,__bss) non-external _au_cond
00007ff80a75c17d (__TEXT,__text) external _au_domain_to_bsm
00007ff80a765ed2 (__TEXT,__text) external _au_errno_to_bsm
00007ff80a765f83 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80a7591af (__TEXT,__text) external _au_fetch_tok
00007ff80a75aa11 (__TEXT,__text) external _au_free_token
00007ff80a762242 (__TEXT,__text) external _au_get_state
00007ff80a7621aa (__TEXT,__text) external _au_notify_initialize
00007ff80a76222d (__TEXT,__text) external _au_notify_terminate
00007ff80a75aa3b (__TEXT,__text) external _au_open
00007ff8422a8800 (__DATA,__const) non-external _au_polstr
00007ff80a75b51d (__TEXT,__text) external _au_poltostr
00007ff80a761fc4 (__TEXT,__text) external _au_preselect
00007ff80a75cafc (__TEXT,__text) external _au_print_flags_tok
00007ff80a76125c (__TEXT,__text) external _au_print_tok
00007ff80a761276 (__TEXT,__text) external _au_print_tok_xml
00007ff80a75cadd (__TEXT,__text) external _au_print_xml_footer
00007ff80a75ca9c (__TEXT,__text) external _au_print_xml_header
00007ff80a761295 (__TEXT,__text) external _au_read_rec
00007ff80a765e92 (__TEXT,__text) external _au_sdev_close
00007ff80a765ec5 (__TEXT,__text) external _au_sdev_fd
00007ff80a758d82 (__TEXT,__text) external _au_sdev_open
00007ff80a758e56 (__TEXT,__text) external _au_sdev_read_aia
00007ff8422a88f0 (__DATA,__const) non-external _au_sflagsstr
00007ff80a75b685 (__TEXT,__text) external _au_sflagstostr
00007ff80a762318 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80a75bbf1 (__TEXT,__text) non-external _au_spacetobytes
00007ff80a765f3f (__TEXT,__text) external _au_strerror
00007ff80a75b5be (__TEXT,__text) external _au_strtopol
00007ff80a75b723 (__TEXT,__text) external _au_strtosflags
00007ff80a75ae72 (__TEXT,__text) non-external _au_teardown
00007ff80a76251c (__TEXT,__text) external _au_to_arg
00007ff80a76234e (__TEXT,__text) external _au_to_arg32
00007ff80a76241f (__TEXT,__text) external _au_to_arg64
