00007ffb18b8652c (__TEXT,__text) non-external _Done_iODBC
00007ffb18ba42b0 (__TEXT,__const) non-external _FunctionNumbers
00007ffb18ba3299 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb18b8640e (__TEXT,__text) non-external _Init_iODBC
00007ffb4302f55c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb18b84aa0 (__TEXT,__text) external _SQLAllocConnect
00007ffb18b84994 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb18b86399 (__TEXT,__text) external _SQLAllocEnv
00007ffb18b861eb (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb18b90a6c (__TEXT,__text) external _SQLAllocHandle
00007ffb18b90b61 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb18b907e0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb18b894e1 (__TEXT,__text) external _SQLAllocStmt
00007ffb18b88f55 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb18b8e65d (__TEXT,__text) external _SQLBindCol
00007ffb18b96b7c (__TEXT,__text) external _SQLBindParam
00007ffb18b8d92b (__TEXT,__text) external _SQLBindParameter
00007ffb18b81876 (__TEXT,__text) external _SQLBrowseConnect
00007ffb18b819e1 (__TEXT,__text) external _SQLBrowseConnectA
00007ffb18b81b4c (__TEXT,__text) external _SQLBrowseConnectW
00007ffb18b811ff (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb18b96657 (__TEXT,__text) external _SQLBulkOperations
00007ffb18b8a408 (__TEXT,__text) external _SQLCancel
00007ffb18b96ba8 (__TEXT,__text) external _SQLCloseCursor
00007ffb18b96028 (__TEXT,__text) external _SQLColAttribute
00007ffb18b961fb (__TEXT,__text) external _SQLColAttributeA
00007ffb18b963ce (__TEXT,__text) external _SQLColAttributeW
00007ffb18b9587c (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb18b90266 (__TEXT,__text) external _SQLColAttributes
00007ffb18b90439 (__TEXT,__text) external _SQLColAttributesA
00007ffb18b9060c (__TEXT,__text) external _SQLColAttributesW
00007ffb18b8fd98 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb18b79b3e (__TEXT,__text) external _SQLColumnPrivileges
00007ffb18b79d2a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb18b79f16 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb18b79887 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffb18b7a3b9 (__TEXT,__text) external _SQLColumns
00007ffb18b7a5a5 (__TEXT,__text) external _SQLColumnsA
00007ffb18b7a791 (__TEXT,__text) external _SQLColumnsW
00007ffb18b7a102 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb18b7e42f (__TEXT,__text) external _SQLConnect
00007ffb18b7edc6 (__TEXT,__text) external _SQLConnectA
00007ffb18b7ef52 (__TEXT,__text) external _SQLConnectW
00007ffb18b7e5bb (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb18ba3ff8 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb18b956fa (__TEXT,__text) external _SQLCopyDesc
00007ffb18b8aeef (__TEXT,__text) external _SQLDataSources
00007ffb18b8b015 (__TEXT,__text) external _SQLDataSourcesA
00007ffb18b8b13b (__TEXT,__text) external _SQLDataSourcesW
00007ffb18b8aab0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb4302f4e0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb4302f500 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb4302f508 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb18b8f7c8 (__TEXT,__text) external _SQLDescribeCol
00007ffb18b8f9b8 (__TEXT,__text) external _SQLDescribeColA
00007ffb18b8fba8 (__TEXT,__text) external _SQLDescribeColW
00007ffb18b8f515 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb18b8380e (__TEXT,__text) external _SQLDescribeParam
00007ffb18b81cb7 (__TEXT,__text) external _SQLDisconnect
00007ffb18b80d64 (__TEXT,__text) external _SQLDriverConnect
00007ffb18b80eed (__TEXT,__text) external _SQLDriverConnectA
00007ffb18b81076 (__TEXT,__text) external _SQLDriverConnectW
00007ffb18b7f0de (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb18ba401b (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb18ba403e (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb18b8b77b (__TEXT,__text) external _SQLDrivers
00007ffb18b8b8a1 (__TEXT,__text) external _SQLDriversA
00007ffb18b8b9c7 (__TEXT,__text) external _SQLDriversW
00007ffb18b8b386 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb4302f4e4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb4302f510 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb4302f518 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb18b965a1 (__TEXT,__text) external _SQLEndTran
00007ffb18b86e37 (__TEXT,__text) external _SQLError
00007ffb18b86f1c (__TEXT,__text) external _SQLErrorA
00007ffb18b87001 (__TEXT,__text) external _SQLErrorW
00007ffb18b82d28 (__TEXT,__text) external _SQLExecDirect
00007ffb18b82e6d (__TEXT,__text) external _SQLExecDirectA
00007ffb18b82fb2 (__TEXT,__text) external _SQLExecDirectW
00007ffb18b82adc (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb18b82814 (__TEXT,__text) external _SQLExecute
00007ffb18b83f12 (__TEXT,__text) external _SQLExtendedFetch
00007ffb18b83c74 (__TEXT,__text) external _SQLFetch
00007ffb18b96871 (__TEXT,__text) external _SQLFetchScroll
00007ffb18b83ab8 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb18b7ad0c (__TEXT,__text) external _SQLForeignKeys
00007ffb18b7af4c (__TEXT,__text) external _SQLForeignKeysA
00007ffb18b7b18c (__TEXT,__text) external _SQLForeignKeysW
00007ffb18b7a97d (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb18b84be5 (__TEXT,__text) external _SQLFreeConnect
00007ffb18b84b44 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb18b864ac (__TEXT,__text) external _SQLFreeEnv
00007ffb18b8643b (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb18b90c59 (__TEXT,__text) external _SQLFreeHandle
00007ffb18b89947 (__TEXT,__text) external _SQLFreeStmt
