00000001e4f66548 (__TEXT,__text) external _ARMCompilationCallback
00000001e4f6654c (__TEXT,__text) external _ARMCompilationCallbackC
00000001e56740d4 (__TEXT,__text) external _ConvertUTF16toUTF32
00000001e5674194 (__TEXT,__text) external _ConvertUTF16toUTF8
00000001e5673ffc (__TEXT,__text) external _ConvertUTF32toUTF16
00000001e56742e8 (__TEXT,__text) external _ConvertUTF32toUTF8
00000001e5674658 (__TEXT,__text) external _ConvertUTF8toUTF16
00000001e5674acc (__TEXT,__text) external _ConvertUTF8toUTF32
00000001e567487c (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00000001e5674874 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00000001ecb832f8 (__DATA,__common) external _EnableARMEHABI
00000001ecb83038 (__DATA,__common) external _EnableARMLongCalls
00000001ecb82dc0 (__DATA,__common) external _ForceStackAlign
00000001e54547a8 (__TEXT,__text) external _LLVMABIAlignmentOfType
00000001e545475c (__TEXT,__text) external _LLVMABISizeOfType
00000001e52adcb4 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00000001e548aad0 (__TEXT,__text) external _LLVMAddAlias
00000001e4ca3f08 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00000001e5458448 (__TEXT,__text) external _LLVMAddAnalysisPasses
00000001e4ca3d38 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00000001e548b178 (__TEXT,__text) external _LLVMAddAttribute
00000001e4ccbf6c (__TEXT,__text) external _LLVMAddBBVectorizePass
00000001e52ae7dc (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00000001e52add10 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00000001e548c59c (__TEXT,__text) external _LLVMAddCase
00000001e548c5a4 (__TEXT,__text) external _LLVMAddClause
00000001e4ca3d98 (__TEXT,__text) external _LLVMAddConstantMergePass
00000001e52ae5b0 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00000001e52ae6c8 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00000001e4ca3df4 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00000001e52add6c (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00000001e52ae60c (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
