00007ffa42c26ae0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42c26a20 (__DATA,__data) non-external _TIMEOUT
00007ffa42c26a30 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa0fe410d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa0fe410f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa0fe3d6ca (__TEXT,__text) non-external __buf
00007ffa0fe4bf3a (__TEXT,__text) non-external __buf.cold.1
00007ffa0fe4bfe1 (__TEXT,__text) non-external __buf.cold.2
00007ffa0fe3d5a8 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa0fe4bd45 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa0fe4bdec (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa0fe41c26 (__TEXT,__text) external __newrpclib__authenticate
00007ffa0fe4ca44 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa0fe4cae1 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa0fe4cb8f (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42c26c10 (__DATA,__common) external __newrpclib__null_auth
00007ffa0fe418d5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa0fe3bda8 (__TEXT,__text) external __newrpclib_authnone_create
00007ffa0fe4b815 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa0fe3bf0a (__TEXT,__text) external __newrpclib_authunix_create
00007ffa0fe4b8bc (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa0fe4b96a (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa0fe4ba18 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa0fe4bab3 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa0fe3c261 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa0fe4bbe9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa0fe4bc97 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa0fe3bba0 (__TEXT,__text) external __newrpclib_callrpc
00007ffa0fe40e16 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa0fe3c8ae (__TEXT,__text) external __newrpclib_clnt_create
00007ffa0fe3c696 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa0fe3c9ff (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa0fe3dcf5 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa0fe3da5d (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa0fe3d970 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa0fe3da9f (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa0fe3da2b (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa0fe3d691 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa0fe3dd81 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa0fe4c12f (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa0fe3eddf (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa0fe4c87c (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa0fe3ecbf (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa0fe4c746 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa0fe3ed4e (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa0fe4c7e1 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa0fe3f756 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa0fe3f7ac (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa0fe3f32c (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa0fe3f796 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa0fe3f7de (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa0fe3fe54 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa0fe48a33 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa0fe40baa (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa0fe3feec (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa0fe4012c (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa0fe4013c (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa0fe40fb1 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa0fe4014c (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa0fe49586 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa0fe4968e (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa0fe4037d (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa0fe498c7 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa0fe49886 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa0fe49841 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa0fe49787 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa0fe497b7 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa0fe497fc (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa0fe42730 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa0fe4ce0a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa0fe4cea5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa0fe4cf40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa0fe4cfe5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa42c26ac8 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa0fe414d8 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa0fe4c9b0 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa42c26c08 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa42c269c8 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa0fe40470 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa0fe4b19e (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa0fe4b1be (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa0fe4aa06 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa0fe502e3 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa0fe4b1ae (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa0fe4b0e9 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa0fe40e20 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa0fe4b2dc (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa0fe4b592 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa0fe49c5a (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa0fe49a25 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa0fe499e4 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa0fe49c19 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa0fe4999e (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa0fe49bd3 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa0fe49e11 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa0fe49e57 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa0fe49a72 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa0fe49ca7 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa0fe49d7e (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa0fe49dc4 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa0fe49914 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa0fe49b49 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa0fe49b03 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa0fe49d38 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa0fe49ab2 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa0fe49ce7 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa0fe49959 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa0fe49b8e (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa0fe48df4 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa0fe3c24d (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa0fe48972 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa0fe4608b (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa0fe4fa5e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa0fe4faf2 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa0fe4fba0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa0fe42697 (__TEXT,__text) external __newrpclib_svc_exit
00007ffa0fe4619c (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa0fe4618e (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa0fe46181 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa0fe45c7d (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa0fe42317 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa0fe4cd5a (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa0fe4508e (__TEXT,__text) external __newrpclib_svc_register
00007ffa0fe4548d (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa0fe41e46 (__TEXT,__text) external __newrpclib_svc_run
00007ffa0fe453fc (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa0fe451ac (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa0fe458c8 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa0fe45674 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa0fe4554a (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa0fe45a04 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa0fe45b2b (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa0fe45940 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa0fe456f4 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa0fe455ca (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa0fe45a81 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa0fe45bbd (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa0fe4581e (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa0fe459f5 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa0fe4579e (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa0fe459e6 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa0fe431fd (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa0fe41da9 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa0fe42a0a (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa0fe4d260 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa0fe4d30e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa0fe4d3a9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa0fe4d457 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa0fe4d505 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa0fe4d5a0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa0fe4d63b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa0fe43d17 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa0fe4e80d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa0fe4e8bb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa0fe4e969 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa0fe4ea17 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa0fe4eac5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa0fe4eb73 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa0fe44063 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa0fe48af3 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa0fe461ab (__TEXT,__text) external __newrpclib_xdr_array
00007ffa0fe4fc3a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa0fe3c614 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa0fe47a17 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa0fe47b2c (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa0fe4ffa0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa0fe41862 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa0fe4111a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa0fe479b7 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa0fe417ed (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa0fe4637f (__TEXT,__text) external __newrpclib_xdr_double
00007ffa0fe47a84 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa0fe4632c (__TEXT,__text) external __newrpclib_xdr_float
00007ffa0fe47607 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa0fe48035 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa0fe4800d (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa0fe4763d (__TEXT,__text) external __newrpclib_xdr_int
00007ffa0fe478ef (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa0fe47765 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa0fe47eb7 (__TEXT,__text) external __newrpclib_xdr_int64_t
