00007ff800443f28 (__TEXT,__text) external _NSAddImage
00007ff800443ef2 (__TEXT,__text) external _NSAddLibrary
00007ff800443f0d (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800443a65 (__TEXT,__text) external _NSAddressOfSymbol
00007ff800443ce1 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8004439e2 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff800443cff (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff800443a23 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff800443ede (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff800443d6a (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff800443ddb (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff800443e14 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff800443df6 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff800443da3 (__TEXT,__text) external _NSLibraryNameForModule
00007ff800443eba (__TEXT,__text) external _NSLinkEditError
00007ff800443a03 (__TEXT,__text) external _NSLinkModule
00007ff800443e32 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff800443e4d (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff800443e6b (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800443a47 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff800443e9f (__TEXT,__text) external _NSModuleForSymbol
00007ff800443d88 (__TEXT,__text) external _NSNameOfModule
00007ff800443e8b (__TEXT,__text) external _NSNameOfSymbol
00007ff800443d1a (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff800443d2e (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff800443d42 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff800443d56 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff800443dbe (__TEXT,__text) external _NSUnLinkModule
00007ff800442b56 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff800442d92 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843916480 (__DATA_DIRTY,__common) external _NXArgc
00007ff843916488 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff800442988 (__TEXT,__text) external __NSGetExecutablePath
00007ff80045a7c8 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00007ff80045477f (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff800460c75 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff800461006 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff800443bfa (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff8004444b1 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff840031aa0 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff800443a9c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff800443afc (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff800443ac0 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff8004433ac (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff800442528 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff8004426b2 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff80045468c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff800454602 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff8004545ee (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80045476a (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff800445307 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff800453654 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff800454d38 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff8004557f2 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
