00007ffa17b1ca80 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17b1ca90 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1824a860 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1824a940 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1824a770 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1824ab00 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1824ae50 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa1824b290 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa1824b080 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa1824b070 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa437e0dc8 (__DATA,__common) external _EnableARMEHABI
00007ffa437e0b08 (__DATA,__common) external _EnableARMLongCalls
00007ffa437e0890 (__DATA,__common) external _ForceStackAlign
00007ffa18045c60 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa18045c10 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa17e8bb80 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1807b100 (__TEXT,__text) external _LLVMAddAlias
00007ffa17829420 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa18049420 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa17829330 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1807b7b0 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1784a4e0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa17e8c170 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa17e8bbb0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1807cc90 (__TEXT,__text) external _LLVMAddCase
00007ffa1807ccb0 (__TEXT,__text) external _LLVMAddClause
00007ffa17829360 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa17e8c050 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa17e8c0e0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa17829390 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa17e8bbe0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa17e8c080 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa1807cca0 (__TEXT,__text) external _LLVMAddDestination
00007ffa17e8c110 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa1807b170 (__TEXT,__text) external _LLVMAddFunction
00007ffa1807b330 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa178293c0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa178293f0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa17e8bc40 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa1807adf0 (__TEXT,__text) external _LLVMAddGlobal
00007ffa17829450 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1807ae70 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa178c4690 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa17829480 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa178294b0 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa17829510 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa1807c0f0 (__TEXT,__text) external _LLVMAddIncoming
00007ffa17e8bc70 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa1807be60 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa17e8bca0 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa17829540 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa17e8bcd0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa17e8bd00 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa17e8bd30 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa17e8bd60 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa17e8bdc0 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa17e8bd90 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa17e8bdf0 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa17e8be30 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffa1784a520 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffa17e8c1a0 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffa17e8be60 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffa178c45c0 (__TEXT,__text) external _LLVMAddModule
00007ffa178c45d0 (__TEXT,__text) external _LLVMAddModuleProvider
