00000001901742b0 (__TEXT,__const) non-external _DOWNCASE_TBL
0000000190174120 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
0000000190174db0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00000001901748b0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00000001901743b0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
0000000190174cb0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00000001901747b0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000190160be8 (__TEXT,__text) non-external _active_outbound_item_reset
0000000190165734 (__TEXT,__text) non-external _add_hd_table_incremental
0000000190168c5c (__TEXT,__text) non-external _bubble_down
0000000190168bdc (__TEXT,__text) non-external _bubble_up
0000000190160b08 (__TEXT,__text) non-external _buf_chain_new
0000000190169a44 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
0000000190160a44 (__TEXT,__text) non-external _default_calloc
0000000190160db0 (__TEXT,__text) non-external _default_free
0000000190160a50 (__TEXT,__text) non-external _default_malloc
0000000190160bdc (__TEXT,__text) non-external _default_realloc
0000000190165194 (__TEXT,__text) non-external _emit_indname_block
0000000190165320 (__TEXT,__text) non-external _emit_string
0000000190167c28 (__TEXT,__text) non-external _emit_table_size
000000019016b154 (__TEXT,__text) non-external _find_stream_on_goaway_func
0000000190165a70 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000019016ac78 (__TEXT,__text) non-external _free_streams
000000019016b408 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
0000000190167a84 (__TEXT,__text) non-external _hd_context_free
0000000190166330 (__TEXT,__text) non-external _hd_context_shrink_table_size
00000001901688fc (__TEXT,__text) non-external _hd_get_table_entry
0000000190167198 (__TEXT,__text) non-external _hd_inflate_commit_indname
0000000190167258 (__TEXT,__text) non-external _hd_inflate_commit_newname
00000001901670c4 (__TEXT,__text) non-external _hd_inflate_read_huff
0000000190166fc0 (__TEXT,__text) non-external _hd_inflate_read_len
0000000190167b14 (__TEXT,__text) non-external _hd_ringbuf_get
000000019016ff58 (__TEXT,__const) non-external _huff_decode_table
000000019016f750 (__TEXT,__const) non-external _huff_sym_table
00000001901643cc (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00000001901680d4 (__TEXT,__text) non-external _map_insert
0000000190167fd0 (__TEXT,__text) non-external _map_resize
00000001ec851228 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
0000000190161670 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
0000000190160f2c (__TEXT,__text) non-external _nghttp2_bufs_add
0000000190165a10 (__TEXT,__text) non-external _nghttp2_bufs_addb
0000000190167bbc (__TEXT,__text) non-external _nghttp2_bufs_free
000000019016f538 (__TEXT,__text) external _nghttp2_check_authority
000000019016014c (__TEXT,__text) external _nghttp2_check_header_name
0000000190160198 (__TEXT,__text) external _nghttp2_check_header_value
000000019016f464 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000019016f4d0 (__TEXT,__text) external _nghttp2_check_method
000000019016f504 (__TEXT,__text) external _nghttp2_check_path
0000000190168b38 (__TEXT,__text) external _nghttp2_extpri_parse_priority
0000000190165c30 (__TEXT,__text) non-external _nghttp2_frame_add_pad
0000000190163c9c (__TEXT,__text) non-external _nghttp2_frame_pack_headers
0000000190168248 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
0000000190163c6c (__TEXT,__text) external _nghttp2_hd_deflate_bound
00000001901662e8 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
0000000190168770 (__TEXT,__text) external _nghttp2_hd_deflate_del
000000019016895c (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
0000000190168964 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00000001901688ec (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00000001901688f8 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00000001901683f4 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00000001901683f8 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
0000000190163dc0 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
