                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffd05218a63 (__TEXT,__text) non-external _sbuf_extend
00007ffd05218bbd (__TEXT,__text) non-external _sbuf_put_byte
00007ffd052187bb (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffd0521879f (__TEXT,__text) external _usbuf_bcat
00007ffd05218888 (__TEXT,__text) external _usbuf_bcpy
00007ffd052188c0 (__TEXT,__text) external _usbuf_cat
00007ffd05218691 (__TEXT,__text) external _usbuf_clear
00007ffd05218674 (__TEXT,__text) external _usbuf_clear_flags
00007ffd052186cd (__TEXT,__text) external _usbuf_count_drain
00007ffd052188f0 (__TEXT,__text) external _usbuf_cpy
00007ffd05218d80 (__TEXT,__text) external _usbuf_data
00007ffd05218db0 (__TEXT,__text) external _usbuf_delete
00007ffd05218e02 (__TEXT,__text) external _usbuf_done
00007ffd052186e7 (__TEXT,__text) external _usbuf_drain
00007ffd05218e4c (__TEXT,__text) external _usbuf_end_section
00007ffd05218d08 (__TEXT,__text) external _usbuf_error
00007ffd05218d11 (__TEXT,__text) external _usbuf_finish
00007ffd0521866a (__TEXT,__text) external _usbuf_get_flags
00007ffd05218377 (__TEXT,__text) external _usbuf_hexdump
00007ffd05218d89 (__TEXT,__text) external _usbuf_len
00007ffd05218568 (__TEXT,__text) external _usbuf_new
00007ffd05218c3a (__TEXT,__text) external _usbuf_nl_terminate
00007ffd05218b03 (__TEXT,__text) external _usbuf_printf
00007ffd05218525 (__TEXT,__text) external _usbuf_printf_drain
00007ffd0521850a (__TEXT,__text) external _usbuf_putbuf
00007ffd05218b9d (__TEXT,__text) external _usbuf_putc
00007ffd052186d9 (__TEXT,__text) external _usbuf_set_drain
00007ffd05218685 (__TEXT,__text) external _usbuf_set_flags
00007ffd052186b1 (__TEXT,__text) external _usbuf_setpos
00007ffd05218e10 (__TEXT,__text) external _usbuf_start_section
00007ffd05218c79 (__TEXT,__text) external _usbuf_trim
00007ffd05218945 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
