                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81b6e49cb (__TEXT,__text) external _pcre_assign_jit_stack
00007ff843e96f88 (__DATA,__common) external _pcre_callout
00007ff81b6c1813 (__TEXT,__text) external _pcre_compile
00007ff81b6c1828 (__TEXT,__text) external _pcre_compile2
00007ff81b6cc0dc (__TEXT,__text) external _pcre_config
00007ff81b6e46f6 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81b6e469c (__TEXT,__text) external _pcre_copy_substring
00007ff81b6cc180 (__TEXT,__text) external _pcre_dfa_exec
00007ff81b6d3500 (__TEXT,__text) external _pcre_exec
00007ff843e96f70 (__DATA,__data) external _pcre_free
00007ff81b6e66d8 (__TEXT,__text) external _pcre_free_study
00007ff81b6e49af (__TEXT,__text) external _pcre_free_substring
00007ff81b6e48c8 (__TEXT,__text) external _pcre_free_substring_list
00007ff81b6e4164 (__TEXT,__text) external _pcre_fullinfo
00007ff81b6e4968 (__TEXT,__text) external _pcre_get_named_substring
00007ff81b6e4400 (__TEXT,__text) external _pcre_get_stringnumber
00007ff81b6e44f0 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff81b6e48d6 (__TEXT,__text) external _pcre_get_substring
00007ff81b6e47ce (__TEXT,__text) external _pcre_get_substring_list
00007ff81b6e49d1 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff81b6e49bd (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff81b6e49c5 (__TEXT,__text) external _pcre_jit_stack_free
00007ff81b6e49d7 (__TEXT,__text) external _pcre_maketables
00007ff843e96f68 (__DATA,__data) external _pcre_malloc
00007ff81b6c1610 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81b6e52ac (__TEXT,__text) external _pcre_refcount
00007ff843e96f80 (__DATA,__data) external _pcre_stack_free
00007ff843e96f90 (__DATA,__common) external _pcre_stack_guard
00007ff843e96f78 (__DATA,__data) external _pcre_stack_malloc
00007ff81b6e52fc (__TEXT,__text) external _pcre_study
00007ff81b6e6c8c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
