00000001e986e9a0 (__DATA,__data) external _NDR_record
00000001804caec8 (__TEXT,__text) non-external __Xexception_raise
00000001804cadb0 (__TEXT,__text) non-external __Xexception_raise_state
00000001804cac50 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001804b8adc (__TEXT,__text) external _____sigwait_nocancel
00000001804e0b10 (__TEXT,__const) external ____kernelVersionNumber
00000001804e0ad8 (__TEXT,__const) external ____kernelVersionString
00000001804b8b08 (__TEXT,__text) external ___abort_with_payload
00000001804b46c4 (__TEXT,__text) external ___accept
00000001804b8b34 (__TEXT,__text) external ___accept_nocancel
00000001804b8b60 (__TEXT,__text) external ___access_extended
00000001804b8b8c (__TEXT,__text) external ___aio_suspend_nocancel
00000001804b3b2c (__TEXT,__text) external ___bind
00000001804afad0 (__TEXT,__text) external ___bsdthread_create
00000001804ada98 (__TEXT,__text) external ___bsdthread_ctl
00000001804b1d24 (__TEXT,__text) external ___bsdthread_register
00000001804aeb74 (__TEXT,__text) external ___bsdthread_terminate
00000001804b8324 (__TEXT,__text) external ___carbon_delete
00000001804b8bb8 (__TEXT,__text) external ___channel_get_info
00000001804b8be4 (__TEXT,__text) external ___channel_get_opt
00000001804b8c10 (__TEXT,__text) external ___channel_open
00000001804b8c3c (__TEXT,__text) external ___channel_set_opt
00000001804b8c68 (__TEXT,__text) external ___channel_sync
00000001804afa18 (__TEXT,__text) external ___chmod
00000001804b1734 (__TEXT,__text) external ___chmod_extended
00000001804ad57c (__TEXT,__text) external ___close_nocancel
00000001804b8c94 (__TEXT,__text) external ___coalition
00000001804b8cc0 (__TEXT,__text) external ___coalition_info
00000001804b8cec (__TEXT,__text) external ___coalition_ledger
00000001804adbf0 (__TEXT,__text) external ___commpage_gettimeofday
00000001804adbf8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001804b035c (__TEXT,__text) external ___connect
00000001804b01c4 (__TEXT,__text) external ___connect_nocancel
00000001804b8d18 (__TEXT,__text) external ___copyfile
00000001804b8d44 (__TEXT,__text) external ___crossarch_trap
00000001804ac6e8 (__TEXT,__text) external ___csrctl
00000001804c2d54 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001804b8d70 (__TEXT,__text) external ___debug_syscall_reject
00000001804b8d9c (__TEXT,__text) external ___debug_syscall_reject_config
00000001804b8350 (__TEXT,__text) external ___delete
00000001804aeb48 (__TEXT,__text) external ___disable_threadsignal
00000001804ac618 (__TEXT,__text) external ___error
00000001804b8dc8 (__TEXT,__text) external ___execve
00000001804b357c (__TEXT,__text) external ___exit
00000001804b0618 (__TEXT,__text) external ___fchmod
00000001804b1844 (__TEXT,__text) external ___fchmod_extended
00000001804ac8bc (__TEXT,__text) external ___fcntl
00000001804b016c (__TEXT,__text) external ___fcntl_nocancel
00000001804b38ec (__TEXT,__text) external ___fork
00000001804b8df4 (__TEXT,__text) external ___fs_snapshot
00000001804ba254 (__TEXT,__text) external ___fstat
00000001804b1818 (__TEXT,__text) external ___fstat64_extended
00000001804b8e20 (__TEXT,__text) external ___fstat_extended
00000001804ba2ac (__TEXT,__text) external ___fstatat
00000001804ba304 (__TEXT,__text) external ___fstatfs
00000001804b8e4c (__TEXT,__text) external ___fsync_nocancel
00000001804b5498 (__TEXT,__text) external ___get_remove_counter
00000001804ac634 (__TEXT,__text) external ___getattrlist
00000001804ad9bc (__TEXT,__text) external ___getdirentries64
00000001804ba438 (__TEXT,__text) external ___getfsstat
00000001804b16dc (__TEXT,__text) external ___gethostuuid
00000001804b7ccc (__TEXT,__text) external ___getlogin
00000001804b04f0 (__TEXT,__text) external ___getpeername
00000001804ac178 (__TEXT,__text) external ___getpid
00000001804ae0c0 (__TEXT,__text) external ___getrlimit
00000001804b8e78 (__TEXT,__text) external ___getsgroups
00000001804b39f4 (__TEXT,__text) external ___getsockname
00000001804ad87c (__TEXT,__text) external ___gettid
00000001804afb54 (__TEXT,__text) external ___gettimeofday
00000001804afb28 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001804b8ea4 (__TEXT,__text) external ___getwgroups
00000001804b8ed0 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001804af58c (__TEXT,__text) external ___guarded_open_np
00000001804b8efc (__TEXT,__text) external ___identitysvc
00000001804af8b0 (__TEXT,__text) external ___inc_remove_counter
00000001804b7ca0 (__TEXT,__text) external ___initgroups
00000001804b0330 (__TEXT,__text) external ___ioctl
00000001804b0680 (__TEXT,__text) external ___iopolicysys
00000001804b8f28 (__TEXT,__text) external ___kdebug_trace
00000001804ae90c (__TEXT,__text) external ___kdebug_trace64
00000001804b8f54 (__TEXT,__text) external ___kdebug_trace_string
00000001804b19b8 (__TEXT,__text) external ___kdebug_typefilter
00000001804e0b80 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804e0b48 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001804b4000 (__TEXT,__text) external ___kill
00000001804b2444 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001804b18f4 (__TEXT,__text) external ___lchown
00000001804b19e4 (__TEXT,__text) external ___libkernel_init
00000001804bb904 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001804bb804 (__TEXT,__text) external ___libkernel_init_late
00000001804b1d10 (__TEXT,__text) external ___libkernel_platform_init
00000001804ac168 (__TEXT,__text) external ___libkernel_voucher_init
00000001804b4698 (__TEXT,__text) external ___listen
00000001804b8f80 (__TEXT,__text) external ___log_data
00000001804ad61c (__TEXT,__text) external ___lseek
00000001804ba61c (__TEXT,__text) external ___lstat
00000001804b1760 (__TEXT,__text) external ___lstat64_extended
00000001804b8fac (__TEXT,__text) external ___lstat_extended
00000001804b8fd8 (__TEXT,__text) external ___mac_execve
00000001804b9004 (__TEXT,__text) external ___mac_get_fd
00000001804b9030 (__TEXT,__text) external ___mac_get_file
00000001804b905c (__TEXT,__text) external ___mac_get_link
00000001804b9088 (__TEXT,__text) external ___mac_get_mount
00000001804b90b4 (__TEXT,__text) external ___mac_get_pid
00000001804b90e0 (__TEXT,__text) external ___mac_get_proc
00000001804b910c (__TEXT,__text) external ___mac_getfsstat
00000001804b9138 (__TEXT,__text) external ___mac_mount
00000001804b9164 (__TEXT,__text) external ___mac_set_fd
00000001804b9190 (__TEXT,__text) external ___mac_set_file
00000001804b91bc (__TEXT,__text) external ___mac_set_link
00000001804b4638 (__TEXT,__text) external ___mac_set_proc
00000001804ad728 (__TEXT,__text) external ___mac_syscall
00000001804b91e8 (__TEXT,__text) external ___mach_bridge_remote_time
00000001804b9214 (__TEXT,__text) external ___mach_eventlink_signal
00000001804b9240 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001804b926c (__TEXT,__text) external ___mach_eventlink_wait_until
00000001804b9298 (__TEXT,__text) external ___map_with_linking_np
00000001804b92c4 (__TEXT,__text) external ___memorystatus_available_memory
00000001804b92f0 (__TEXT,__text) external ___microstackshot
00000001804b931c (__TEXT,__text) external ___mkdir_extended
00000001804b9348 (__TEXT,__text) external ___mkfifo_extended
00000001804aca10 (__TEXT,__text) external ___mmap
00000001804afafc (__TEXT,__text) external ___mprotect
00000001804b9374 (__TEXT,__text) external ___msgctl
00000001804b93a0 (__TEXT,__text) external ___msgrcv_nocancel
00000001804b93cc (__TEXT,__text) external ___msgsnd_nocancel
00000001804b93f8 (__TEXT,__text) external ___msgsys
00000001804b23b4 (__TEXT,__text) external ___msync
00000001804b9424 (__TEXT,__text) external ___msync_nocancel
00000001804af720 (__TEXT,__text) external ___munmap
00000001804b9450 (__TEXT,__text) external ___nexus_create
00000001804b947c (__TEXT,__text) external ___nexus_deregister
00000001804b94a8 (__TEXT,__text) external ___nexus_destroy
00000001804b94d4 (__TEXT,__text) external ___nexus_get_opt
00000001804b9500 (__TEXT,__text) external ___nexus_open
