                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
0000000209639340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000209639dbc (__TEXT,__const) external _libopenpam
0000000209639860 (__TEXT,__text) external _misc_conv
000000020963956c (__TEXT,__text) external _pam_acct_mgmt
0000000209639474 (__TEXT,__text) external _pam_authenticate
00000002096395e8 (__TEXT,__text) external _pam_chauthtok
00000002096396e0 (__TEXT,__text) external _pam_close_session
0000000209639400 (__TEXT,__text) external _pam_end
0000000209639aa8 (__TEXT,__text) external _pam_get_data
00000002096397dc (__TEXT,__text) external _pam_get_item
0000000209639cd8 (__TEXT,__text) external _pam_get_pass
0000000209639bb8 (__TEXT,__text) external _pam_get_user
00000002096399d0 (__TEXT,__text) external _pam_getenv
0000000209639a40 (__TEXT,__text) external _pam_getenvlist
0000000209639668 (__TEXT,__text) external _pam_open_session
0000000209639c3c (__TEXT,__text) external _pam_prompt
000000020963995c (__TEXT,__text) external _pam_putenv
0000000209639b2c (__TEXT,__text) external _pam_set_data
0000000209639758 (__TEXT,__text) external _pam_set_item
00000002096394f0 (__TEXT,__text) external _pam_setcred
0000000209639374 (__TEXT,__text) external _pam_start
00000002096398ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002096392e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002096392f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000020963933c (__TEXT,__text) external _xlate_pam_shim_item_type
0000000209639318 (__TEXT,__text) external _xlate_pam_shim_retval
0000000209639304 (__TEXT,__text) external _xlate_pam_shim_session_flags
0000000209639310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
