00000001bab6a658 (__TEXT,__text) non-external -[OS_axr_data copy]
00000001bab6a41c (__TEXT,__text) non-external -[OS_axr_data dealloc]
00000001bab6a4c4 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00000001babf0570 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00000001babf05e4 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00000001babf0658 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00000001bab6a484 (__TEXT,__text) non-external -[OS_axr_data description]
00000001bab6a678 (__TEXT,__text) non-external -[OS_axr_data hash]
00000001bab6a65c (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00000001babdfea0 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00000001babdfe60 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00000001babdfbe0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00000001babdfe54 (__TEXT,__text) non-external -[OS_axr_decoder description]
00000001babda5a0 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00000001babda58c (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00000001babda594 (__TEXT,__text) non-external -[OS_axr_encoder description]
00000001babd8cc8 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00000001babd8be8 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00000001babd8cbc (__TEXT,__text) non-external -[OS_axr_part description]
00000001bac12a6c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001bac12a9c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001bac12b78 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001bac12b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001bac12b88 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac12b98 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac12bc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001bac12aac (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001bac12abc (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001bac12a8c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001bac12ae4 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001bac12b00 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001bac12bf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
00000001bac12c5c (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00000001bac12b10 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001bac12b38 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001bac12b50 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001babd906c (__TEXT,__text) non-external (was a private external) _AXRCreateColorSpace
00000001babf0f68 (__TEXT,__text) non-external _AXRCreateColorSpace.cold.1
00000001d7d8c9b8 (__DATA,__bss) non-external _AXRGetLog.log
00000001d7d8c9c0 (__DATA,__bss) non-external _AXRGetLog.onceToken
00000001babda26c (__TEXT,__text) non-external (was a private external) _AXRLogDebug
00000001babda378 (__TEXT,__text) non-external (was a private external) _AXRLogError
00000001babda160 (__TEXT,__text) non-external (was a private external) _AXRLogInfo
00000001babdaf8c (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotBigEnough
00000001babdaf84 (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotWritable
00000001babd4940 (__TEXT,__text) non-external (was a private external) _ChunkLayout_Print
00000001d3c05298 (__DATA_CONST,__const) non-external _ChunkLayout_Print.kLayouts
00000001babda11c (__TEXT,__text) non-external (was a private external) _GetEXRNameForChannelType
00000001d7d8caa8 (__DATA,__common) non-external (was a private external) _GetFlagsOnceToken
00000001babe2a40 (__TEXT,__text) non-external (was a private external) _GetLastByte
00000001babda4ec (__TEXT,__text) non-external _GetOSLog
00000001babda484 (__TEXT,__text) non-external (was a private external) _InitializeDefaultFlags
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
00000001d97e93d8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_data
00000001d97e94c8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_decoder
00000001d97e9478 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_encoder
00000001d97e9428 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_part
                 (undefined) external _OBJC_CLASS_$_OS_object (from libSystem)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d97e9400 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_data
00000001d97e94f0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_decoder
00000001d97e94a0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_encoder
