0000000189aeb004 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
0000000189ae9f94 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
0000000189aeb2f8 (__TEXT,__text) external _BZ2_bzCompress
0000000189aeb484 (__TEXT,__text) external _BZ2_bzCompressEnd
0000000189aeb114 (__TEXT,__text) external _BZ2_bzCompressInit
0000000189aea16c (__TEXT,__text) external _BZ2_bzDecompress
0000000189aeaf80 (__TEXT,__text) external _BZ2_bzDecompressEnd
0000000189aea094 (__TEXT,__text) external _BZ2_bzDecompressInit
0000000189af1934 (__TEXT,__text) external _BZ2_bzRead
0000000189af1884 (__TEXT,__text) external _BZ2_bzReadClose
0000000189af1b3c (__TEXT,__text) external _BZ2_bzReadGetUnused
0000000189af1700 (__TEXT,__text) external _BZ2_bzReadOpen
0000000189af139c (__TEXT,__text) external _BZ2_bzWrite
0000000189af14e4 (__TEXT,__text) external _BZ2_bzWriteClose
0000000189af14f4 (__TEXT,__text) external _BZ2_bzWriteClose64
0000000189af125c (__TEXT,__text) external _BZ2_bzWriteOpen
0000000189af1eb0 (__TEXT,__text) external _BZ2_bzclose
0000000189af1dfc (__TEXT,__text) external _BZ2_bzdopen
0000000189af1f70 (__TEXT,__text) external _BZ2_bzerror
0000000189af1ea8 (__TEXT,__text) external _BZ2_bzflush
0000000189af0df0 (__TEXT,__text) external _BZ2_bzlibVersion
0000000189af1bb0 (__TEXT,__text) external _BZ2_bzopen
0000000189af1e10 (__TEXT,__text) external _BZ2_bzread
0000000189af1e60 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
