00007ffa182bdf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa182bdeed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa182b3d97 (__TEXT,__text) external _glAccum
00007ffa182ba0e1 (__TEXT,__text) external _glActiveShaderProgram
00007ffa182bc7f3 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa182b6be6 (__TEXT,__text) external _glActiveTexture
00007ffa182bb4f6 (__TEXT,__text) external _glActiveTextureARB
00007ffa182b3db0 (__TEXT,__text) external _glAlphaFunc
00007ffa182b3dc9 (__TEXT,__text) external _glAreTexturesResident
00007ffa182b3de8 (__TEXT,__text) external _glArrayElement
00007ffa182bc049 (__TEXT,__text) external _glAttachObjectARB
00007ffa182b7fda (__TEXT,__text) external _glAttachShader
00007ffa182b3e01 (__TEXT,__text) external _glBegin
00007ffa182b8bc3 (__TEXT,__text) external _glBeginConditionalRender
00007ffa182bddfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa182b77a7 (__TEXT,__text) external _glBeginQuery
00007ffa182bbd72 (__TEXT,__text) external _glBeginQueryARB
00007ffa182b9eb6 (__TEXT,__text) external _glBeginQueryIndexed
00007ffa182b8ad5 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa182bd039 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa182b84a3 (__TEXT,__text) external _glBindAttribLocation
00007ffa182bc485 (__TEXT,__text) external _glBindAttribLocationARB
00007ffa182b7847 (__TEXT,__text) external _glBindBuffer
00007ffa182bbe12 (__TEXT,__text) external _glBindBufferARB
00007ffa182b8b2f (__TEXT,__text) external _glBindBufferBase
00007ffa182bd018 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa182bcff4 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa182b8b08 (__TEXT,__text) external _glBindBufferRange
00007ffa182bcfcd (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa182b8f0d (__TEXT,__text) external _glBindFragDataLocation
00007ffa182bd589 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa182b9610 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa182b8753 (__TEXT,__text) external _glBindFramebuffer
00007ffa182bcd63 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa182baba4 (__TEXT,__text) external _glBindProgramARB
00007ffa182ba121 (__TEXT,__text) external _glBindProgramPipeline
00007ffa182b8695 (__TEXT,__text) external _glBindRenderbuffer
00007ffa182bcca5 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa182b96ad (__TEXT,__text) external _glBindSampler
00007ffa182b3e1a (__TEXT,__text) external _glBindTexture
00007ffa182b9dd1 (__TEXT,__text) external _glBindTransformFeedback
00007ffa182b899a (__TEXT,__text) external _glBindVertexArray
00007ffa182bdaad (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa182b3e35 (__TEXT,__text) external _glBitmap
00007ffa182b65b2 (__TEXT,__text) external _glBlendColor
00007ffa182bcc35 (__TEXT,__text) external _glBlendColorEXT
00007ffa182b65cc (__TEXT,__text) external _glBlendEquation
00007ffa182bcc4f (__TEXT,__text) external _glBlendEquationEXT
00007ffa182b8583 (__TEXT,__text) external _glBlendEquationSeparate
00007ffa182bdd80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa182bcc6b (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa182b9f51 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa182bc5d7 (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa182b9f33 (__TEXT,__text) external _glBlendEquationi
00007ffa182bc5b9 (__TEXT,__text) external _glBlendEquationiARB
00007ffa182b3e53 (__TEXT,__text) external _glBlendFunc
00007ffa182b750d (__TEXT,__text) external _glBlendFuncSeparate
00007ffa182bcbc3 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa182b9f93 (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa182bc619 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa182b9f72 (__TEXT,__text) external _glBlendFunci
00007ffa182bc5f8 (__TEXT,__text) external _glBlendFunciARB
00007ffa182b88b1 (__TEXT,__text) external _glBlitFramebuffer
00007ffa182bcec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa182b78bf (__TEXT,__text) external _glBufferData
00007ffa182bbe8a (__TEXT,__text) external _glBufferDataARB
