00000002265c04a8 (__TEXT,__text) non-external _DiToMD5
00000002265c07d8 (__TEXT,__text) non-external _DiToSHA1
00000002265a3da4 (__TEXT,__text) external _DriverExecutableMain
000000029aaa9a58 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000002265a3634 (__TEXT,__text) external _IOCallOnce
000000029aaa9d18 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000029aaa9c20 (__AUTH_CONST,__const) external _IOCommand_Class
000000029aaa9e10 (__AUTH_CONST,__const) external _IODMACommand_Class
000000029aaa9fc0 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
000000022659ffb0 (__TEXT,__text) external _IODelay
000000029aaaa170 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000029aaaa320 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000002265a4450 (__TEXT,__text) external _IODriverKitTest
00000002265d30e8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000002265d3114 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000002265d3140 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000002265d316c (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000002265d3198 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000002265d31c4 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000002265d31f8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000002265d3224 (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000029aaaa4d0 (__AUTH_CONST,__const) external _IOEventLink_Class
000000029aaaa680 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
000000022659ff84 (__TEXT,__text) external _IOFree
000000022659ffa0 (__TEXT,__text) external _IOFreeData
00000002265a4420 (__TEXT,__text) external _IOGetExecutableSDKVersion
000000029aaaaf50 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000029aaaa860 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
000000022659ffbc (__TEXT,__text) non-external (was a private external) _IOLibInit
00000002265a3264 (__TEXT,__text) external _IOLockAlloc
00000002265a32b4 (__TEXT,__text) external _IOLockAssert
00000002265d29f4 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000002265a3298 (__TEXT,__text) external _IOLockFree
00000002265a32a8 (__TEXT,__text) external _IOLockLock
00000002265a32ac (__TEXT,__text) external _IOLockTryLock
00000002265a32b0 (__TEXT,__text) external _IOLockUnlock
000000022659fdf4 (__TEXT,__text) external _IOLog
000000022659fcc0 (__TEXT,__text) external _IOLogBuffer
000000022659fe20 (__TEXT,__text) external _IOLogv
00000002265d21ec (__TEXT,__text) non-external _IOLogv.cold.1
000000022659ff40 (__TEXT,__text) external _IOMalloc
000000022659ff88 (__TEXT,__text) external _IOMallocData
000000022659ff5c (__TEXT,__text) external _IOMallocTyped
000000022659ff60 (__TEXT,__text) external _IOMallocZero
000000022659ff90 (__TEXT,__text) external _IOMallocZeroData
000000022659ff74 (__TEXT,__text) external _IOMallocZeroTyped
000000029aaaaa10 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
