                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff8178650d9 (__TEXT,__text) external _CMCloneProfileRef
00007ff817865fcb (__TEXT,__text) non-external _CMCloneProfileRef.cold.1
00007ff843d2a418 (__DATA,__bss) non-external _CMCloneProfileRef.predicate
00007ff81786509e (__TEXT,__text) external _CMCloseProfile
00007ff817865fb3 (__TEXT,__text) non-external _CMCloseProfile.cold.1
00007ff843d2a410 (__DATA,__bss) non-external _CMCloseProfile.predicate
00007ff817865063 (__TEXT,__text) external _CMConvertDoubleXYZToD50
00007ff817865f9b (__TEXT,__text) non-external _CMConvertDoubleXYZToD50.cold.1
00007ff843d2a408 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.predicate
00007ff817865028 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00007ff817865f83 (__TEXT,__text) non-external _CMConvertRGBFloatBitmap.cold.1
00007ff843d2a400 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.predicate
00007ff817864fed (__TEXT,__text) external _CMConvertXYZFloatBitmap
00007ff817865f6b (__TEXT,__text) non-external _CMConvertXYZFloatBitmap.cold.1
00007ff843d2a3f8 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.predicate
00007ff817864fa0 (__TEXT,__text) external _CMCopyProfile
00007ff817865f53 (__TEXT,__text) non-external _CMCopyProfile.cold.1
00007ff843d2a3f0 (__DATA,__bss) non-external _CMCopyProfile.predicate
00007ff817864f56 (__TEXT,__text) external _CMCopyProfileDescriptionString
00007ff817865f3b (__TEXT,__text) non-external _CMCopyProfileDescriptionString.cold.1
00007ff843d2a3e8 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.predicate
00007ff817864f0c (__TEXT,__text) external _CMCopyProfileLocalizedString
00007ff817865f23 (__TEXT,__text) non-external _CMCopyProfileLocalizedString.cold.1
00007ff843d2a3e0 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.predicate
