                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81581edbd (__TEXT,__text) external _pcre_assign_jit_stack
00007ff842805980 (__DATA,__common) external _pcre_callout
00007ff8157fb2a3 (__TEXT,__text) external _pcre_compile
00007ff8157fb2b8 (__TEXT,__text) external _pcre_compile2
00007ff815805b2c (__TEXT,__text) external _pcre_config
00007ff81581eb06 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81581eaac (__TEXT,__text) external _pcre_copy_substring
00007ff815805bd0 (__TEXT,__text) external _pcre_dfa_exec
00007ff81580d560 (__TEXT,__text) external _pcre_exec
00007ff842805968 (__DATA,__data) external _pcre_free
00007ff815820a28 (__TEXT,__text) external _pcre_free_study
00007ff81581eda1 (__TEXT,__text) external _pcre_free_substring
00007ff81581ecbc (__TEXT,__text) external _pcre_free_substring_list
00007ff81581e56c (__TEXT,__text) external _pcre_fullinfo
00007ff81581ed5a (__TEXT,__text) external _pcre_get_named_substring
00007ff81581e800 (__TEXT,__text) external _pcre_get_stringnumber
00007ff81581e8f1 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff81581ecca (__TEXT,__text) external _pcre_get_substring
00007ff81581ebdc (__TEXT,__text) external _pcre_get_substring_list
00007ff81581edc3 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff81581edaf (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff81581edb7 (__TEXT,__text) external _pcre_jit_stack_free
00007ff81581edc9 (__TEXT,__text) external _pcre_maketables
00007ff842805960 (__DATA,__data) external _pcre_malloc
00007ff8157fb090 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81581f583 (__TEXT,__text) external _pcre_refcount
00007ff842805978 (__DATA,__data) external _pcre_stack_free
00007ff842805988 (__DATA,__common) external _pcre_stack_guard
00007ff842805970 (__DATA,__data) external _pcre_stack_malloc
00007ff81581f5d4 (__TEXT,__text) external _pcre_study
00007ff815820f94 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
