                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007fff77cf4f28 (__TEXT,__text) external __crypt_blowfish_rn
00007fff77cf6ef3 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007fff77cf4efe (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007fff77cf958c (__TEXT,__text) external _apr_base64_decode
00007fff77cf95a7 (__TEXT,__text) external _apr_base64_decode_binary
00007fff77cf955a (__TEXT,__text) external _apr_base64_decode_len
00007fff77cf96d0 (__TEXT,__text) external _apr_base64_encode
00007fff77cf96da (__TEXT,__text) external _apr_base64_encode_binary
00007fff77cf96a9 (__TEXT,__text) external _apr_base64_encode_len
00007fff77cf3ec5 (__TEXT,__text) external _apr_bcrypt_encode
00007fff77cf01d0 (__TEXT,__text) external _apr_brigade_cleanup
00007fff77cf0255 (__TEXT,__text) external _apr_brigade_create
00007fff77cf021c (__TEXT,__text) external _apr_brigade_destroy
00007fff77cf04d7 (__TEXT,__text) external _apr_brigade_flatten
00007fff77cf0f94 (__TEXT,__text) external _apr_brigade_insert_file
00007fff77cf0449 (__TEXT,__text) external _apr_brigade_length
00007fff77cf037d (__TEXT,__text) external _apr_brigade_partition
00007fff77cf0571 (__TEXT,__text) external _apr_brigade_pflatten
00007fff77cf0dff (__TEXT,__text) external _apr_brigade_printf
00007fff77cf0d0c (__TEXT,__text) external _apr_brigade_putc
00007fff77cf0d2e (__TEXT,__text) external _apr_brigade_puts
00007fff77cf0d69 (__TEXT,__text) external _apr_brigade_putstrs
00007fff77cf0371 (__TEXT,__text) external _apr_brigade_split
00007fff77cf02ac (__TEXT,__text) external _apr_brigade_split_ex
00007fff77cf05de (__TEXT,__text) external _apr_brigade_split_line
