                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000028403ecc0 (__TEXT,__text) non-external _sbuf_extend
000000028403ede8 (__TEXT,__text) non-external _sbuf_put_byte
000000028403e9d0 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000028403e9a0 (__TEXT,__text) external _usbuf_bcat
000000028403eac4 (__TEXT,__text) external _usbuf_bcpy
000000028403eb0c (__TEXT,__text) external _usbuf_cat
000000028403e854 (__TEXT,__text) external _usbuf_clear
000000028403e828 (__TEXT,__text) external _usbuf_clear_flags
000000028403e898 (__TEXT,__text) external _usbuf_count_drain
000000028403eb54 (__TEXT,__text) external _usbuf_cpy
000000028403f038 (__TEXT,__text) external _usbuf_data
000000028403f068 (__TEXT,__text) external _usbuf_delete
000000028403f0d0 (__TEXT,__text) external _usbuf_done
000000028403e8b4 (__TEXT,__text) external _usbuf_drain
000000028403f114 (__TEXT,__text) external _usbuf_end_section
000000028403ef94 (__TEXT,__text) external _usbuf_error
000000028403ef9c (__TEXT,__text) external _usbuf_finish
000000028403e820 (__TEXT,__text) external _usbuf_get_flags
000000028403e4b8 (__TEXT,__text) external _usbuf_hexdump
000000028403f040 (__TEXT,__text) external _usbuf_len
000000028403e710 (__TEXT,__text) external _usbuf_new
000000028403ee8c (__TEXT,__text) external _usbuf_nl_terminate
000000028403ed88 (__TEXT,__text) external _usbuf_printf
000000028403e6b4 (__TEXT,__text) external _usbuf_printf_drain
000000028403e684 (__TEXT,__text) external _usbuf_putbuf
000000028403edb4 (__TEXT,__text) external _usbuf_putc
000000028403e8ac (__TEXT,__text) external _usbuf_set_drain
000000028403e840 (__TEXT,__text) external _usbuf_set_flags
000000028403e870 (__TEXT,__text) external _usbuf_setpos
000000028403f0dc (__TEXT,__text) external _usbuf_start_section
000000028403eeec (__TEXT,__text) external _usbuf_trim
000000028403ebb4 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
