00007ff80b3be7fc (__TEXT,__text) non-external _Annihilate
00007ff80b401351 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b401bfb (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b3ffe59 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b3be5f1 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b3da280 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b3ae784 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b3be8d8 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b3aebc2 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b3fe2f6 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b3feca5 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b3aeeb8 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b3c5eac (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b3d1cc8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b3d2ac1 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b3d0ecf (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b3d1299 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b3d2092 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b3d04a0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b3b7eb8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b3b9838 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b3bb044 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b3bc850 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80b3b802c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b3f1d74 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
