00007ff8150a1c05 (__TEXT,__const) non-external _KW_ANY
00007ff8150a1b69 (__TEXT,__const) non-external _KW_ATTLIST
00007ff8150a1bb8 (__TEXT,__const) non-external _KW_CDATA
00007ff8150a1b4c (__TEXT,__const) non-external _KW_DOCTYPE
00007ff8150a1b71 (__TEXT,__const) non-external _KW_ELEMENT
00007ff8150a1bff (__TEXT,__const) non-external _KW_EMPTY
00007ff8150a1bce (__TEXT,__const) non-external _KW_ENTITIES
00007ff8150a1b62 (__TEXT,__const) non-external _KW_ENTITY
00007ff8150a1bf9 (__TEXT,__const) non-external _KW_FIXED
00007ff8150a1bbe (__TEXT,__const) non-external _KW_ID
00007ff8150a1bc1 (__TEXT,__const) non-external _KW_IDREF
00007ff8150a1bc7 (__TEXT,__const) non-external _KW_IDREFS
00007ff8150a1b8a (__TEXT,__const) non-external _KW_IGNORE
00007ff8150a1be8 (__TEXT,__const) non-external _KW_IMPLIED
00007ff8150a1b82 (__TEXT,__const) non-external _KW_INCLUDE
00007ff8150a2320 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff8150a1b91 (__TEXT,__const) non-external _KW_NDATA
00007ff8150a1bd7 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff8150a1bdf (__TEXT,__const) non-external _KW_NMTOKENS
00007ff8150a1b79 (__TEXT,__const) non-external _KW_NOTATION
00007ff8150a1c09 (__TEXT,__const) non-external _KW_PCDATA
00007ff8150a1b5b (__TEXT,__const) non-external _KW_PUBLIC
00007ff8150a1bf0 (__TEXT,__const) non-external _KW_REQUIRED
00007ff8150a1b54 (__TEXT,__const) non-external _KW_SYSTEM
00007ff8150a232b (__TEXT,__const) non-external _KW_US_ASCII
00007ff8150a233a (__TEXT,__const) non-external _KW_UTF_16
00007ff8150a2341 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff8150a234a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff8150a2334 (__TEXT,__const) non-external _KW_UTF_8
00007ff8150a2361 (__TEXT,__const) non-external _KW_encoding
00007ff8150a2379 (__TEXT,__const) non-external _KW_no
00007ff8150a236a (__TEXT,__const) non-external _KW_standalone
00007ff8150a2359 (__TEXT,__const) non-external _KW_version
00007ff8150a2375 (__TEXT,__const) non-external _KW_yes
00007ff815089cfa (__TEXT,__text) external _XML_DefaultCurrent
00007ff815089e15 (__TEXT,__text) external _XML_ErrorString
00007ff815089e36 (__TEXT,__text) external _XML_ExpatVersion
00007ff815089e43 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff815088200 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff815089c9f (__TEXT,__text) external _XML_FreeContentModel
00007ff8150890dd (__TEXT,__text) external _XML_GetBase
00007ff815089535 (__TEXT,__text) external _XML_GetBuffer
00007ff815089b8e (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff815089b65 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff815089c49 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff815089bf0 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff815089b4d (__TEXT,__text) external _XML_GetErrorCode
00007ff815089e58 (__TEXT,__text) external _XML_GetFeatureList
00007ff841815b90 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff81508910b (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff815089bb7 (__TEXT,__text) external _XML_GetInputContext
00007ff815089b2f (__TEXT,__text) external _XML_GetParsingStatus
00007ff8150a0a39 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff8150890f3 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff815089ce5 (__TEXT,__text) external _XML_MemFree
00007ff815089cb4 (__TEXT,__text) external _XML_MemMalloc
00007ff815089ccb (__TEXT,__text) external _XML_MemRealloc
00007ff8150893ad (__TEXT,__text) external _XML_Parse
00007ff8150a09f3 (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff81508974b (__TEXT,__text) external _XML_ParseBuffer
00007ff815087528 (__TEXT,__text) external _XML_ParserCreate
00007ff81508754a (__TEXT,__text) external _XML_ParserCreateNS
00007ff81508753b (__TEXT,__text) external _XML_ParserCreate_MM
00007ff815088b38 (__TEXT,__text) external _XML_ParserFree
00007ff815087a6d (__TEXT,__text) external _XML_ParserReset
00007ff815089a5c (__TEXT,__text) external _XML_ResumeParser
00007ff815089efe (__TEXT,__text) external _XML_SetAllocTrackerActivationThreshold
00007ff815089ec4 (__TEXT,__text) external _XML_SetAllocTrackerMaximumAmplification
00007ff815089317 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff815089035 (__TEXT,__text) external _XML_SetBase
00007ff815089e9f (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff815089e65 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff815089190 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff81508915a (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff81508917e (__TEXT,__text) external _XML_SetCommentHandler
00007ff8150891cd (__TEXT,__text) external _XML_SetDefaultHandler
00007ff8150891e6 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff8150891ff (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff815089305 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff815089123 (__TEXT,__text) external _XML_SetElementHandler
00007ff815088138 (__TEXT,__text) external _XML_SetEncoding
00007ff8150891bb (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff81508922a (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff815089148 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff81508928b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff815089329 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff8150892af (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff8150892c1 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff815089375 (__TEXT,__text) external _XML_SetHashSalt
00007ff815089260 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff81508929d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff81508924e (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff81508934d (__TEXT,__text) external _XML_SetParamEntityParsing
