00007ffd1e4a8968 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd1e4a8ce5 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffd1e4a7d98 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffd1e4a84a6 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffd1e4a85ae (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffd1e42ffff (__TEXT,__text) external _AAArchiveStreamCancel
00007ffd1e42ffc8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffd1e445ee6 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffd1e42ff7a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffd1e42ff60 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffd1e42ffae (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffd1e42ff94 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffd1e431606 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffd1e4352b2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffd1e4351f7 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffd1e435138 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffd1e4351e6 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffd1e49ce50 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffd1e435350 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffd1e4352bd (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffd1e4359a7 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffd1e435f76 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffd1e4369e0 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffd1e43696b (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffd1e436487 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffd1e4b0334 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffd1e4b0349 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffd1e4afd4f (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffd1e4b01de (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffd1e466a70 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffd1e446df4 (__TEXT,__text) external _AAByteRangeAdd
00007ffd1e446cf2 (__TEXT,__text) external _AAByteRangeClone
00007ffd1e446c56 (__TEXT,__text) external _AAByteRangeCreate
00007ffd1e446ccc (__TEXT,__text) external _AAByteRangeDestroy
00007ffd1e446fc0 (__TEXT,__text) external _AAByteRangeFirst
00007ffd1e4470ce (__TEXT,__text) external _AAByteRangeNext
00007ffd1e446f56 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffd1e446ee4 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffd1e446e70 (__TEXT,__text) external _AAByteRangeSub
00007ffd1e4a6e89 (__TEXT,__text) external _AAByteStreamCancel
00007ffd1e4a6e9e (__TEXT,__text) external _AAByteStreamClose
00007ffd1e4a6ed5 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffd1e4a6f1e (__TEXT,__text) external _AAByteStreamFlush
00007ffd1e4a6e51 (__TEXT,__text) external _AAByteStreamPRead
00007ffd1e4a6f52 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffd1e4a6e19 (__TEXT,__text) external _AAByteStreamPWrite
00007ffd1e47f95d (__TEXT,__text) external _AAByteStreamProcess
00007ffd1e4a6e35 (__TEXT,__text) external _AAByteStreamRead
00007ffd1e4a6e6d (__TEXT,__text) external _AAByteStreamSeek
00007ffd1e4a6f38 (__TEXT,__text) external _AAByteStreamTruncate
00007ffd1e4a6d68 (__TEXT,__text) external _AAByteStreamWrite
00007ffd1e464f84 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffd1e4646a3 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffd1e47cb06 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffd1e4ab70c (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffd1e4ac059 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffd1e46e384 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffd1e430014 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffd1e43008d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffd1e430083 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffd1e43007a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffd1e4300b5 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffd1e4300ab (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffd1e4300a1 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffd1e430097 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffd1e4a7cf3 (__TEXT,__text) external _AACustomByteStreamOpen
