00007ffc4191e7f8 (__DATA,__bss) non-external _A
00007ffc4191e5c0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffc4191e448 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffc4191e440 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffc4191e444 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffc4191e800 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffc4191e808 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffc4191e810 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffc4191e80c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffc4191e7b0 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffc13bfe850 (__TEXT,__const) non-external _HREF_SAFE
00007ffc13bfcbe0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffc13bfe750 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffc13bf2e1a (__TEXT,__text) non-external _S_advance_offset
00007ffc13be4b81 (__TEXT,__text) non-external _S_blankline
00007ffc13bf3861 (__TEXT,__text) non-external _S_can_contain
00007ffc13be4b6e (__TEXT,__text) non-external _S_cr
00007ffc13bf2ebd (__TEXT,__text) non-external _S_find_first_nonspace
00007ffc13be6b0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffc13bf37ad (__TEXT,__text) non-external _S_node_unlink
00007ffc13be4b94 (__TEXT,__text) non-external _S_out
00007ffc13be3112 (__TEXT,__text) non-external _S_outc
00007ffc13bf1372 (__TEXT,__text) non-external _S_parser_feed
00007ffc13bfe730 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffc13bf4c6f (__TEXT,__text) non-external _S_print_error
00007ffc13bf1abc (__TEXT,__text) non-external _S_process_line
00007ffc13bfc0f1 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffc13bfc112 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffc13bfc133 (__TEXT,__text) non-external _S_process_line.cold.3
00007ffc13bfc156 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffc13bfc179 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffc13be2a08 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffc13be0b8c (__TEXT,__text) non-external _S_render_node
00007ffc13be31fc (__TEXT,__text) non-external _S_render_node
00007ffc13be6434 (__TEXT,__text) non-external _S_render_node
00007ffc13bf961b (__TEXT,__text) non-external _S_render_node
00007ffc13bfbe98 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc13bfbf2c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc13bfbfdb (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc13bfc8e4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc13bf3490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc13bf34b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc13be4f1d (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffc13be6d20 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffc13beef81 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffc13bfe230 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffc13be80e5 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffc13bfd330 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffc13be76bf (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffc13bfd230 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffc13bef507 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffc13bfe530 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffc13beff92 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffc13bef627 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffc13bf029d (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffc13bfe630 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffc13bed008 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffc13bfdb30 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffc13bedaf3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffc13bfdc30 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffc13bededa (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffc13bfdd30 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffc13bee264 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffc13bfde30 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffc13bee520 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffc13bfdf30 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffc13beb588 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffc13beca28 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffc13bfda30 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffc13beb352 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffc13bfd930 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffc13beaebc (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffc13bfd630 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffc13beb25b (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffc13bfd830 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffc13beb011 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffc13bfd730 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffc13bea62f (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffc13bfd430 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffc13beabff (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffc13bfd530 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffc13bee907 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffc13bfe030 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffc13bef1e5 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffc13bfe430 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffc13be6d68 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffc13bef098 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffc13bfe330 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffc13beef59 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffc13bfe130 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffc13be5144 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffc13bfcef0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffc13be53ab (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffc13be53cf (__TEXT,__text) non-external (was a private external) __scan_table_row_end
