00007ffa17b1bf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa17b1beed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa17b11daa (__TEXT,__text) external _glAccum
00007ffa17b180e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa17b1a7f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa17b14bf2 (__TEXT,__text) external _glActiveTexture
00007ffa17b194fa (__TEXT,__text) external _glActiveTextureARB
00007ffa17b11dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa17b11ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa17b11dfb (__TEXT,__text) external _glArrayElement
00007ffa17b1a04e (__TEXT,__text) external _glAttachObjectARB
00007ffa17b15fe6 (__TEXT,__text) external _glAttachShader
00007ffa17b11e14 (__TEXT,__text) external _glBegin
00007ffa17b16bcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa17b1bdfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa17b157b4 (__TEXT,__text) external _glBeginQuery
00007ffa17b19d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa17b17ebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa17b16ae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa17b1b03a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa17b164af (__TEXT,__text) external _glBindAttribLocation
00007ffa17b1a48a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa17b15854 (__TEXT,__text) external _glBindBuffer
00007ffa17b19e17 (__TEXT,__text) external _glBindBufferARB
00007ffa17b16b3b (__TEXT,__text) external _glBindBufferBase
00007ffa17b1b019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa17b1aff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa17b16b14 (__TEXT,__text) external _glBindBufferRange
00007ffa17b1afce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa17b16f19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa17b1b58a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa17b17619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa17b1675f (__TEXT,__text) external _glBindFramebuffer
00007ffa17b1ad64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa17b18ba9 (__TEXT,__text) external _glBindProgramARB
00007ffa17b18128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa17b166a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa17b1aca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa17b176b6 (__TEXT,__text) external _glBindSampler
00007ffa17b11e2d (__TEXT,__text) external _glBindTexture
00007ffa17b17dd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa17b169a6 (__TEXT,__text) external _glBindVertexArray
00007ffa17b1baae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa17b11e48 (__TEXT,__text) external _glBitmap
00007ffa17b145c2 (__TEXT,__text) external _glBlendColor
00007ffa17b1ac36 (__TEXT,__text) external _glBlendColorEXT
00007ffa17b145dc (__TEXT,__text) external _glBlendEquation
00007ffa17b1ac50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa17b1658f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa17b1bd80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa17b1ac6c (__TEXT,__text) external _glBlendEquationSeparateEXT
