00007ff8003ff692 (__TEXT,__text) external _NSAddImage
00007ff8003ff65c (__TEXT,__text) external _NSAddLibrary
00007ff8003ff677 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff8003ff1ed (__TEXT,__text) external _NSAddressOfSymbol
00007ff8003ff44b (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8003ff16a (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8003ff469 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff8003ff1ab (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8003ff648 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8003ff4d4 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8003ff545 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8003ff57e (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8003ff560 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff8003ff50d (__TEXT,__text) external _NSLibraryNameForModule
00007ff8003ff624 (__TEXT,__text) external _NSLinkEditError
00007ff8003ff18b (__TEXT,__text) external _NSLinkModule
00007ff8003ff59c (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8003ff5b7 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8003ff5d5 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff8003ff1cf (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8003ff609 (__TEXT,__text) external _NSModuleForSymbol
00007ff8003ff4f2 (__TEXT,__text) external _NSNameOfModule
00007ff8003ff5f5 (__TEXT,__text) external _NSNameOfSymbol
00007ff8003ff484 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8003ff498 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8003ff4ac (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8003ff4c0 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8003ff528 (__TEXT,__text) external _NSUnLinkModule
00007ff8003fe2ba (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff8003fe4f5 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843addfc0 (__DATA_DIRTY,__common) external _NXArgc
00007ff843addfc8 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff8003fe1a9 (__TEXT,__text) external __NSGetExecutablePath
00007ff800415bcc (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00007ff80040fbf7 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff80041bda7 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff80041c13e (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff8003ff364 (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff8003ffb42 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff84002fe90 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff8003ff224 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff8003ff284 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff8003ff248 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff8003feb08 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff8003fdd78 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff8003fdf02 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff80040fb04 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff80040fa74 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff80040fa60 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80040fbe2 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff800400a07 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff80040ea36 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff8004101e4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff800410bea (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800411724 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800410264 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff80040fef8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00007ff800410030 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
00007ff8004105f0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800410866 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff80040fe0a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyPKc
00007ff80040fd42 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjy
00007ff80040fcf0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
00007ff80040fc72 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
00007ff80041dd2d (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.1
00007ff80041dd50 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.2
00007ff80041b8ba (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
00007ff80041b5e8 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
00007ff80041b59a (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
00007ff80041b9da (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
00007ff80041b94e (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
00007ff80041b3dc (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
00007ff80041ed46 (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
00007ff80041b84e (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
00007ff80040503c (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process19ProcessUpdateRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
00007ff8004052e8 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process21ProcessNotifierRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
00007ff8004132aa (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
00007ff80040681a (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
00007ff800402a7a (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
00007ff80040093e (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIiNSt3__14lessIiEEE6insertERKi
00007ff8004158c6 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEm
00007ff80041e109 (__TEXT,__text) non-external __ZN3lsl13MemoryManager17vm_allocate_bytesEm.cold.1
00007ff80040f9b6 (__TEXT,__text) non-external (was a private external) __ZN3lsl14readPVLEUInt64ERNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff800415ad4 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata10freeObjectEv
00007ff800415aca (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata13getForPointerEPv
00007ff800415baa (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17decrementRefCountEv
00007ff800415ba0 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17incrementRefCountEv
00007ff800415aac (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata7setTypeENS0_4TypeE
00007ff80041f4e0 (__TEXT,__const) non-external (was a private external) __ZN3lsl18AllocationMetadata8granulesE
00007ff800415a20 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadataC2EPNS_9AllocatorEm
00007ff80041578e (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator15allocate_bufferEmmm
00007ff80041e0c3 (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEmmm.cold.1
00007ff80041e0e6 (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEmmm.cold.2
00007ff8004159b4 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator17deallocate_bufferENS_13MemoryManager6BufferE
00007ff8004155e0 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator5resetEv
00007ff800415a1a (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator7destroyEv
00007ff800415538 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC1Ev
00007ff800415542 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2EPvm
00007ff800415404 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2Ev
00007ff80041576c (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorD1Ev
00007ff8004167a2 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_
00007ff80041e28c (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_.cold.1
00007ff800416006 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator13memoryManagerEv
00007ff8004172e2 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator14reloadMagazineEv
00007ff80041e2f5 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator14reloadMagazineEv.cold.1
00007ff800416f32 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator15allocate_bufferEmmm
00007ff800418754 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE15allocate_bufferEmmm
00007ff80041e381 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE15allocate_bufferEmmm.cold.1
00007ff8004187b4 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE17deallocate_bufferENS_13MemoryManager6BufferE
00007ff80041627e (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE
00007ff80041e200 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE.cold.1
00007ff80041e223 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE.cold.2
00007ff80041873e (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE7destroyEv
00007ff800417cba (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17deallocate_bufferENS_13MemoryManager6BufferE
00007ff8004176b8 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator19addToFreeBlockTreesENS_13MemoryManager6BufferE
00007ff800417626 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator20processDeallocationsEPNS_13MemoryManager6BufferES3_
00007ff800417efe (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator7destroyEv
00007ff800416014 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocatorC2ERKNS_13MemoryManager6BufferEOS1_
00007ff80041539a (__TEXT,__text) non-external (was a private external) __ZN3lsl4Lock4lockEv
00007ff8004153d0 (__TEXT,__text) non-external (was a private external) __ZN3lsl4Lock6unlockEv
00007ff80041957c (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv
00007ff80041e5d4 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.1
00007ff80041e5f7 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.2
00007ff80041e61a (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.3
00007ff800419e2e (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv
00007ff80041e79b (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.1
00007ff80041e7be (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.2
00007ff80041e7e1 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.3
00007ff80041e804 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.4
00007ff80041e827 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.5
00007ff80041e84a (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.6
00007ff80041e86d (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.7
00007ff80041e890 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.8
00007ff80041b0fc (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iteratorC1EPKS5_RKS2_S4_
00007ff80041ed13 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iteratorC1EPKS5_RKS2_S4_.cold.1
00007ff800416c72 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iteratoraSERKS6_
00007ff800419446 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iteratormmEv
00007ff80041e58e (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iteratormmEv.cold.1
