00000001988d3ea8 (__TEXT,__text) non-external _Assembler
00000001988d7ae0 (__TEXT,__text) non-external _Assembler.cold.1
00000001988d7c14 (__TEXT,__text) non-external _Assembler.cold.10
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.11
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.12
00000001988d7c14 (__TEXT,__text) non-external _Assembler.cold.13
00000001988d7c24 (__TEXT,__text) non-external _Assembler.cold.14
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.15
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.16
00000001988d7c14 (__TEXT,__text) non-external _Assembler.cold.17
00000001988d7c24 (__TEXT,__text) non-external _Assembler.cold.18
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.19
00000001988d7af4 (__TEXT,__text) non-external _Assembler.cold.2
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.20
00000001988d7c14 (__TEXT,__text) non-external _Assembler.cold.21
00000001988d7c24 (__TEXT,__text) non-external _Assembler.cold.22
00000001988d7c24 (__TEXT,__text) non-external _Assembler.cold.23
00000001988d7c34 (__TEXT,__text) non-external _Assembler.cold.24
00000001988d7c4c (__TEXT,__text) non-external _Assembler.cold.25
00000001988d7c64 (__TEXT,__text) non-external _Assembler.cold.26
00000001988d7c7c (__TEXT,__text) non-external _Assembler.cold.27
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.28
00000001988d7ca4 (__TEXT,__text) non-external _Assembler.cold.29
00000001988d7b10 (__TEXT,__text) non-external _Assembler.cold.3
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.30
00000001988d7ca4 (__TEXT,__text) non-external _Assembler.cold.31
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.32
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.33
00000001988d7cbc (__TEXT,__text) non-external _Assembler.cold.34
00000001988d7cd4 (__TEXT,__text) non-external _Assembler.cold.35
00000001988d7cec (__TEXT,__text) non-external _Assembler.cold.36
00000001988d7d04 (__TEXT,__text) non-external _Assembler.cold.37
00000001988d7d04 (__TEXT,__text) non-external _Assembler.cold.38
00000001988d7c7c (__TEXT,__text) non-external _Assembler.cold.39
00000001988d7b48 (__TEXT,__text) non-external _Assembler.cold.4
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.40
00000001988d7d04 (__TEXT,__text) non-external _Assembler.cold.41
00000001988d7d14 (__TEXT,__text) non-external _Assembler.cold.42
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.43
00000001988d7d04 (__TEXT,__text) non-external _Assembler.cold.44
00000001988d7c94 (__TEXT,__text) non-external _Assembler.cold.45
00000001988d7cbc (__TEXT,__text) non-external _Assembler.cold.46
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.47
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.48
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.49
00000001988d7b9c (__TEXT,__text) non-external _Assembler.cold.5
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.50
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.51
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.52
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.53
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.54
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.55
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.56
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.57
00000001988d7d2c (__TEXT,__text) non-external _Assembler.cold.58
00000001988d7d4c (__TEXT,__text) non-external _Assembler.cold.59
00000001988d7bb4 (__TEXT,__text) non-external _Assembler.cold.6
00000001988d7bec (__TEXT,__text) non-external _Assembler.cold.7
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.8
00000001988d7c04 (__TEXT,__text) non-external _Assembler.cold.9
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
00000001ea0dd890 (__DATA,__data) external _EOFToken
00000001ea0dda3c (__DATA,__common) external _EndOfFile
00000001ea0dd8c0 (__DATA,__data) external _ErrorToken
00000001ea0dd1a0 (__DATA,__data) external _Errors
00000001988d6fac (__TEXT,__text) non-external _FindSymbol
00000001988d6ba0 (__TEXT,__text) non-external _GetNextChar
00000001988d7dac (__TEXT,__text) non-external _GetNextChar.cold.1
00000001988d6188 (__TEXT,__text) non-external _GetNextToken
00000001988d6e58 (__TEXT,__text) non-external _GetSymbol
                 (undefined) external _IOObjectRelease (from IOKit)
00000001988d7420 (__TEXT,__text) external _IOPPFGetDiagProperty
00000001988d7480 (__TEXT,__text) external _IOPPFGetDiagPropertyFromDict
00000001988d391c (__TEXT,__text) external _IOPPFGetHandler
00000001ec86a210 (__DATA_DIRTY,__bss) non-external _IOPPFGetHandler.handler
00000001988d3840 (__TEXT,__text) external _IOPPFGetProperty
00000001988d72c0 (__TEXT,__text) external _IOPPFPrintTest
00000001988d72e4 (__TEXT,__text) external _IOPPFSetFanThrottleMode
00000001988d73a4 (__TEXT,__text) external _IOPPFSetProperties
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntrySetCFProperties (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00000001988d71a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001988d71e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001988d7218 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001988d7230 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001988d7248 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001988d7260 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001988d7278 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001988d7290 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001988d72a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001ea0dd350 (__DATA,__data) external _Opcodes
00000001988d668c (__TEXT,__text) non-external _ParseArray
00000001988d7c94 (__TEXT,__text) non-external _ParseArray.cold.1
00000001988d7d7c (__TEXT,__text) non-external _ParseArray.cold.2
00000001988d7cbc (__TEXT,__text) non-external _ParseArray.cold.3
00000001988d7d94 (__TEXT,__text) non-external _ParseArray.cold.4
00000001988d7d04 (__TEXT,__text) non-external _ParseArray.cold.5
00000001988d7164 (__TEXT,__text) non-external _ParseErrorEquals
00000001988d6c98 (__TEXT,__text) non-external _ParseEventList
00000001988d7c7c (__TEXT,__text) non-external _ParseEventList.cold.1
00000001988d7c94 (__TEXT,__text) non-external _ParseEventList.cold.2
00000001988d7078 (__TEXT,__text) non-external _ParseName
00000001988d7df0 (__TEXT,__text) non-external _ParseName.cold.1
00000001988d6ff0 (__TEXT,__text) non-external _ParseStateReference
00000001988d7dd8 (__TEXT,__text) non-external _ParseStateReference.cold.1
00000001988d7c94 (__TEXT,__text) non-external _ParseStateReference.cold.2
00000001988d6628 (__TEXT,__text) non-external _ParseVariable
00000001988d7c94 (__TEXT,__text) non-external _ParseVariable.cold.1
00000001988d7d04 (__TEXT,__text) non-external _ParseVariable.cold.2
00000001988d6f58 (__TEXT,__text) non-external _PushToken
00000001988d7a10 (__TEXT,__text) non-external _ReportArrayOutOfBounds
00000001988d7920 (__TEXT,__text) non-external _ReportBadArgument
00000001988d7880 (__TEXT,__text) non-external _ReportBadArrayReference
00000001988d78b8 (__TEXT,__text) non-external _ReportBadErrorArg
00000001988d76d4 (__TEXT,__text) non-external _ReportBadName
00000001988d7848 (__TEXT,__text) non-external _ReportBadPState
00000001988d78e8 (__TEXT,__text) non-external _ReportBadTraceArg
00000001988d7740 (__TEXT,__text) non-external _ReportDuplicateDown
00000001988d7580 (__TEXT,__text) non-external _ReportDuplicateName
00000001988d7710 (__TEXT,__text) non-external _ReportDuplicateNext
00000001988d7770 (__TEXT,__text) non-external _ReportDuplicateTime
00000001988d6e10 (__TEXT,__text) non-external _ReportErrorLine
00000001988d77a0 (__TEXT,__text) non-external _ReportIllegalDownPath
00000001988d7810 (__TEXT,__text) non-external _ReportIllegalOtherPath
00000001988d77d8 (__TEXT,__text) non-external _ReportIllegalTimePath
00000001988d762c (__TEXT,__text) non-external _ReportMissingArgument
00000001988d6eec (__TEXT,__text) non-external _ReportMissingComma
00000001988d6d9c (__TEXT,__text) non-external _ReportMissingEnd
00000001988d79cc (__TEXT,__text) non-external _ReportMissingEquals
00000001988d75bc (__TEXT,__text) non-external _ReportMissingLBracket
00000001988d74d8 (__TEXT,__text) non-external _ReportMissingName
00000001988d7510 (__TEXT,__text) non-external _ReportMissingNumber
00000001988d7664 (__TEXT,__text) non-external _ReportMissingOperator
00000001988d769c (__TEXT,__text) non-external _ReportMissingPath
00000001988d75f4 (__TEXT,__text) non-external _ReportMissingRBracket
00000001988d7110 (__TEXT,__text) non-external _ReportNameNotType
00000001988d7548 (__TEXT,__text) non-external _ReportNoMemory
00000001988d7990 (__TEXT,__text) non-external _ReportUndefinedName
00000001988d7958 (__TEXT,__text) non-external _ReportUndefinedSymbol
00000001ea0dcd00 (__DATA,__data) external _SpecialTokens
00000001ea0dda00 (__DATA,__common) external _SymbolTable
00000001ea0dce60 (__DATA,__data) external _WordTokens
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
00000001ea0dd8f0 (__DATA,__data) non-external _cmd_options
00000001ea0dda0c (__DATA,__common) external _curIndex
00000001ea0dda08 (__DATA,__common) external _curState
00000001ea0dda0a (__DATA,__common) external _curSubState
00000001ea0dda40 (__DATA,__common) external _debug
00000001ea0dda3d (__DATA,__common) external _encounteredErrors
                 (undefined) external _err (from libSystem)
00000001ea0dda10 (__DATA,__common) external _error_string
