                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00000002582b8134 (__TEXT,__text) external _PFCheckNATRule
00000002582b57b8 (__TEXT,__text) external _PFCheckRule
00000002582b4744 (__TEXT,__text) external _PFFindStatesByDescriptor
00000002582b4bb8 (__TEXT,__text) external _PFGetDescriptorStateDetails
00000002582b8d84 (__TEXT,__text) external _PFManagerAddUser
00000002582b5660 (__TEXT,__text) external _PFManagerCheckUserExists
00000002582b5540 (__TEXT,__text) external _PFManagerCreate
00000002582b53a4 (__TEXT,__text) external _PFManagerDebugLog
00000002582b5198 (__TEXT,__text) external _PFManagerErrorLog
00000002582b50c4 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00000002582b53e8 (__TEXT,__text) external _PFManagerGetQueue
00000002582b5360 (__TEXT,__text) external _PFManagerInfoLog
00000002582b5244 (__TEXT,__text) external _PFManagerLogOpen
00000002582b531c (__TEXT,__text) external _PFManagerNoticeLog
00000002582b8ef4 (__TEXT,__text) external _PFManagerRelease
00000002582b8e40 (__TEXT,__text) external _PFManagerReleaseUser
00000002582b56d8 (__TEXT,__text) external _PFManagerSendMessage
00000002582b4450 (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00000002582b4a7c (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00000002582b2c6c (__TEXT,__text) external _PFTableAddAddress
00000002582b2a28 (__TEXT,__text) external _PFTableBegin
00000002582b3244 (__TEXT,__text) external _PFTableClear
00000002582b2e68 (__TEXT,__text) external _PFTableCommit
00000002582b2850 (__TEXT,__text) external _PFTableCreate
00000002582b33f8 (__TEXT,__text) external _PFTableDelete
00000002582b1218 (__TEXT,__text) external _PFUserAddRule
00000002582b0f48 (__TEXT,__text) external _PFUserBeginRules
00000002582b195c (__TEXT,__text) external _PFUserClearRules
00000002582b3bcc (__TEXT,__text) external _PFUserClearStates
00000002582b14f0 (__TEXT,__text) external _PFUserCommitRules
00000002582b39c8 (__TEXT,__text) external _PFUserCopyRules_S
00000002582b09d0 (__TEXT,__text) external _PFUserCreate
00000002582b2560 (__TEXT,__text) external _PFUserDeleteRule
00000002582b1b04 (__TEXT,__text) external _PFUserDeleteRules
00000002582b36f8 (__TEXT,__text) external _PFUserGetRules
00000002582b1f74 (__TEXT,__text) external _PFUserInsertRule
00000002582b22d8 (__TEXT,__text) external _PFUserInsertRule_S
00000002582b3eb4 (__TEXT,__text) external _PFUserNATLook
00000002582b41e8 (__TEXT,__text) external _PFUserNATLook_S
00000002582b1dec (__TEXT,__text) external _PFUserRelease
00000002582b8b18 (__TEXT,__text) external _PFXPCCleanup
00000002582b8784 (__TEXT,__text) external _PFXPCGetResponse
