0000000258f9ec20 (__DATA,__common) external _AfterColour
0000000258fa0460 (__DATA,__common) external _ApplyExtTspWithoutProfile
0000000258fa1800 (__DATA,__common) external _AsmMacroMaxNestingDepth
0000000258f9a690 (__DATA,__common) external _BBSectionsDetectSourceDrift
0000000258f9eb38 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
0000000258f9b240 (__DATA,__common) external _CheapRematWeight
0000000258f9ed08 (__DATA,__common) external _CommonColour
0000000258f9afe8 (__DATA,__common) external _CopyWeight
0000000258f9e520 (__DATA,__common) external _DisableBitcodeVersionUpgrade
0000000258fa03a0 (__DATA,__common) external _EnableExtTspBlockPlacement
0000000258f9dac8 (__DATA,__common) external _EnableLTOInternalization
0000000258fa1680 (__DATA,__common) external _EnableVPlanNativePath
0000000258fa15c0 (__DATA,__common) external _EnableVPlanPredication
0000000258f9af20 (__DATA,__common) external _EvictInterferenceCutoff
0000000258f9b308 (__DATA,__common) external _ExpensiveRematWeight
0000000258bfc160 (__DATA_DIRTY,__common) external _FSEC
0000000258f9fbd8 (__DATA,__common) external _ForceFusion
0000000258f9a030 (__DATA,__common) external _ForceSummaryEdgesCold
0000000258f9fa58 (__DATA,__common) external _FuseMatrix
0000000258f9f4f8 (__DATA,__common) external _GenerateMergedBaseProfiles
0000000258f997b8 (__DATA,__common) external _InlinerFunctionImportStats
00000002242931f4 (__TEXT,__text) external _LLVMABIAlignmentOfType
000000022429316c (__TEXT,__text) external _LLVMABISizeOfType
00000002238faab4 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00000002238faabc (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00000002243e0590 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
000000022401dd1c (__TEXT,__text) external _LLVMAddAggressiveDCEPass
0000000223088cac (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
0000000223708918 (__TEXT,__text) external _LLVMAddAlias
0000000223708974 (__TEXT,__text) external _LLVMAddAlias2
000000022401de54 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
0000000223aac208 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00000002242965ac (__TEXT,__text) external _LLVMAddAnalysisPasses
0000000223aabf94 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
0000000223708fc8 (__TEXT,__text) external _LLVMAddAttributeAtIndex
000000022401ee38 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
000000022401ddec (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
000000022401debc (__TEXT,__text) external _LLVMAddCFGSimplificationPass
0000000223709fc4 (__TEXT,__text) external _LLVMAddCallSiteAttribute
0000000223aac000 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
000000022370b61c (__TEXT,__text) external _LLVMAddCase
000000022370b654 (__TEXT,__text) external _LLVMAddClause
0000000223aac068 (__TEXT,__text) external _LLVMAddConstantMergePass
0000000224463828 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00000002244636ec (__TEXT,__text) external _LLVMAddCoroEarlyPass
00000002244637c0 (__TEXT,__text) external _LLVMAddCoroElidePass
0000000224463754 (__TEXT,__text) external _LLVMAddCoroSplitPass
000000022401ebc8 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
000000022401dd84 (__TEXT,__text) external _LLVMAddDCEPass
0000000223aac0d0 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
000000022401dfc4 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
000000022401eb00 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
000000022370b620 (__TEXT,__text) external _LLVMAddDestination
000000022401ec98 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
000000022401ec30 (__TEXT,__text) external _LLVMAddEarlyCSEPass
0000000223708ab0 (__TEXT,__text) external _LLVMAddFunction
0000000223aac138 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
0000000223aac1a0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
000000022401e094 (__TEXT,__text) external _LLVMAddGVNPass
000000022370855c (__TEXT,__text) external _LLVMAddGlobal
0000000223aac268 (__TEXT,__text) external _LLVMAddGlobalDCEPass
000000022370949c (__TEXT,__text) external _LLVMAddGlobalIFunc
0000000223708604 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
0000000223aac2d0 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
000000022370b680 (__TEXT,__text) external _LLVMAddHandler
0000000223aac3a0 (__TEXT,__text) external _LLVMAddIPSCCPPass
000000022370a61c (__TEXT,__text) external _LLVMAddIncoming
000000022401e1d8 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
