00007ffb0a5619f0 (__TEXT,__text) external _ARMCompilationCallback
00007ffb0a561a00 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffb0ac92050 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffb0ac92130 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffb0ac91f60 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffb0ac922c0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffb0ac925f0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffb0ac929e0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffb0ac92800 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffb0ac927f0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffb43c042f8 (__DATA,__common) external _EnableARMEHABI
00007ffb43c04038 (__DATA,__common) external _EnableARMLongCalls
00007ffb43c03dc0 (__DATA,__common) external _ForceStackAlign
00007ffb0aa96060 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb0aa96010 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb0a8e4e60 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb0aacc480 (__TEXT,__text) external _LLVMAddAlias
00007ffb0a2762f0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb0aa99760 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0a276200 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb0aaccb20 (__TEXT,__text) external _LLVMAddAttribute
00007ffb0a2a5bb0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffb0a8e5450 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb0a8e4e90 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb0aacdf50 (__TEXT,__text) external _LLVMAddCase
00007ffb0aacdf70 (__TEXT,__text) external _LLVMAddClause
00007ffb0a276230 (__TEXT,__text) external _LLVMAddConstantMergePass
