                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc0e7c8538 (__TEXT,__text) external _PFCheckNATRule
00007ffc0e7c5e96 (__TEXT,__text) external _PFCheckRule
00007ffc0e7c4f9c (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffc0e7c5335 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffc0e7c9015 (__TEXT,__text) external _PFManagerAddUser
00007ffc0e7c5d66 (__TEXT,__text) external _PFManagerCheckUserExists
00007ffc0e7c5c7c (__TEXT,__text) external _PFManagerCreate
00007ffc0e7c5a9c (__TEXT,__text) external _PFManagerDebugLog
00007ffc0e7c5798 (__TEXT,__text) external _PFManagerErrorLog
00007ffc0e7c56d4 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffc0e7c5b50 (__TEXT,__text) external _PFManagerGetQueue
00007ffc0e7c59e8 (__TEXT,__text) external _PFManagerInfoLog
00007ffc0e7c5892 (__TEXT,__text) external _PFManagerLogOpen
00007ffc0e7c5937 (__TEXT,__text) external _PFManagerNoticeLog
00007ffc0e7c9141 (__TEXT,__text) external _PFManagerRelease
00007ffc0e7c90b3 (__TEXT,__text) external _PFManagerReleaseUser
00007ffc0e7c5dcc (__TEXT,__text) external _PFManagerSendMessage
00007ffc0e7c4d01 (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00007ffc0e7c5222 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffc0e7c2f1f (__TEXT,__text) external _PFUserAddRule
00007ffc0e7c2cea (__TEXT,__text) external _PFUserBeginRules
00007ffc0e7c352b (__TEXT,__text) external _PFUserClearRules
00007ffc0e7c45c2 (__TEXT,__text) external _PFUserClearStates
00007ffc0e7c3183 (__TEXT,__text) external _PFUserCommitRules
00007ffc0e7c440c (__TEXT,__text) external _PFUserCopyRules_S
00007ffc0e7c2820 (__TEXT,__text) external _PFUserCreate
00007ffc0e7c3f51 (__TEXT,__text) external _PFUserDeleteRule
00007ffc0e7c3692 (__TEXT,__text) external _PFUserDeleteRules
00007ffc0e7c41c3 (__TEXT,__text) external _PFUserGetRules
00007ffc0e7c3a30 (__TEXT,__text) external _PFUserInsertRule
00007ffc0e7c3d12 (__TEXT,__text) external _PFUserInsertRule_S
00007ffc0e7c4823 (__TEXT,__text) external _PFUserNATLook
00007ffc0e7c4ade (__TEXT,__text) external _PFUserNATLook_S
00007ffc0e7c38f3 (__TEXT,__text) external _PFUserRelease
00007ffc0e7c8dd0 (__TEXT,__text) external _PFXPCCleanup
00007ffc0e7c8ae0 (__TEXT,__text) external _PFXPCGetResponse
00007ffc0e7c8aed (__TEXT,__text) external _PFXPCSetupAndSend
00007ffc0e7c9408 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffc0e7c93d0 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc0e7c682b (__TEXT,__text) non-external ___PFAddressCheck
