000000027e001350 (__TEXT,__text) external _AAAFSCGetMetadata
000000027e001718 (__TEXT,__text) external _AAAFSCSetMetadata
000000027e0007a4 (__TEXT,__text) external _AAAFSCStreamOpen
000000027e000e80 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000027e000fbc (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000027df8eebc (__TEXT,__text) external _AAArchiveStreamCancel
000000027df8ee68 (__TEXT,__text) external _AAArchiveStreamClose
000000027dfa39e8 (__TEXT,__text) external _AAArchiveStreamProcess
000000027df8ee18 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000027df8ee00 (__TEXT,__text) external _AAArchiveStreamReadHeader
000000027df8ee4c (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000027df8ee34 (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000027df90050 (__TEXT,__text) external _AAArchiveStreamWritePathList
000000027df9374c (__TEXT,__text) external _AAAssetBuilderAddFilter
000000027df9366c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000027df935b8 (__TEXT,__text) external _AAAssetBuilderCreate
000000027df93660 (__TEXT,__text) external _AAAssetBuilderDestroy
000000027dff5f54 (__TEXT,__text) external _AAAssetBuilderGenerate
000000027df9381c (__TEXT,__text) external _AAAssetBuilderGetParameter
000000027df93754 (__TEXT,__text) external _AAAssetBuilderSetParameter
000000027df93e3c (__TEXT,__text) external _AAAssetExtractorCreate
000000027df94354 (__TEXT,__text) external _AAAssetExtractorDestroy
000000027df94d3c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000027df94cb0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000027df94814 (__TEXT,__text) external _AAAssetExtractorWrite
000000027e008b34 (__TEXT,__text) external _AAAsyncByteStreamCancel
000000027e008b48 (__TEXT,__text) external _AAAsyncByteStreamClose
000000027e0085b4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000027e0089b4 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000027dfc3150 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000027dfa49b8 (__TEXT,__text) external _AAByteRangeAdd
000000027dfa48ac (__TEXT,__text) external _AAByteRangeClone
000000027dfa47e4 (__TEXT,__text) external _AAByteRangeCreate
000000027dfa4868 (__TEXT,__text) external _AAByteRangeDestroy
000000027dfa4bac (__TEXT,__text) external _AAByteRangeFirst
000000027dfa4cf8 (__TEXT,__text) external _AAByteRangeNext
000000027dfa4b44 (__TEXT,__text) external _AAByteRangeOffsetAtSize
000000027dfa4ac8 (__TEXT,__text) external _AAByteRangeSizeAtOffset
000000027dfa4a44 (__TEXT,__text) external _AAByteRangeSub
000000027dfff68c (__TEXT,__text) external _AAByteStreamCancel
000000027dfff6a0 (__TEXT,__text) external _AAByteStreamClose
000000027dfff6f4 (__TEXT,__text) external _AAByteStreamCloseWithState
000000027dfff75c (__TEXT,__text) external _AAByteStreamFlush
000000027dfff65c (__TEXT,__text) external _AAByteStreamPRead
000000027dfff78c (__TEXT,__text) external _AAByteStreamPReadAsync
000000027dfff62c (__TEXT,__text) external _AAByteStreamPWrite
000000027dfdad88 (__TEXT,__text) external _AAByteStreamProcess
000000027dfff644 (__TEXT,__text) external _AAByteStreamRead
000000027dfff674 (__TEXT,__text) external _AAByteStreamSeek
000000027dfff774 (__TEXT,__text) external _AAByteStreamTruncate
000000027dfff544 (__TEXT,__text) external _AAByteStreamWrite
000000027dfc18cc (__TEXT,__text) external _AAChunkAsyncStreamOpen
000000027dfc0fc0 (__TEXT,__text) external _AAChunkInputStreamOpen
000000027dfd8088 (__TEXT,__text) external _AAChunkOutputStreamOpen
000000027e003f70 (__TEXT,__text) external _AACompressionOutputStreamOpen
000000027e004930 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
000000027dfca4f4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
000000027df8eed0 (__TEXT,__text) external _AACustomArchiveStreamOpen
000000027df8ef54 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
000000027df8ef4c (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
000000027df8ef44 (__TEXT,__text) external _AACustomArchiveStreamSetData
000000027df8ef74 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
000000027df8ef6c (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
000000027df8ef64 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
000000027df8ef5c (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
000000027e000704 (__TEXT,__text) external _AACustomByteStreamOpen
000000027e00079c (__TEXT,__text) external _AACustomByteStreamSetCancelProc
000000027e00076c (__TEXT,__text) external _AACustomByteStreamSetCloseProc
