00000001e6f3b40c (__TEXT,__text) non-external _DiToMD5
00000001e6f3b78c (__TEXT,__text) non-external _DiToSHA1
00000001e6f1fddc (__TEXT,__text) external _DriverExecutableMain
000000021de67228 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000021de674e8 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000021de673f0 (__AUTH_CONST,__const) external _IOCommand_Class
000000021de675e0 (__AUTH_CONST,__const) external _IODMACommand_Class
000000021de67790 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e6f1bd0c (__TEXT,__text) external _IODelay
000000021de67940 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000021de67af0 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e6f2036c (__TEXT,__text) external _IODriverKitTest
00000001e6f4daa8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e6f4dadc (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e6f4db08 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e6f4db3c (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e6f4db68 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e6f4db94 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e6f4dbc0 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e6f4dbec (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000021de67ca0 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e6f1bcd8 (__TEXT,__text) external _IOFree
00000001e6f1bcfc (__TEXT,__text) external _IOFreeData
00000001e6f2033c (__TEXT,__text) external _IOGetExecutableSDKVersion
000000021de68540 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000021de67e50 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e6f1bd18 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e6f1efec (__TEXT,__text) external _IOLockAlloc
00000001e6f1f02c (__TEXT,__text) external _IOLockAssert
00000001e6f4d35c (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e6f1f010 (__TEXT,__text) external _IOLockFree
00000001e6f1f020 (__TEXT,__text) external _IOLockLock
00000001e6f1f024 (__TEXT,__text) external _IOLockTryLock
00000001e6f1f028 (__TEXT,__text) external _IOLockUnlock
00000001e6f1bb48 (__TEXT,__text) external _IOLog
00000001e6f1b9f4 (__TEXT,__text) external _IOLogBuffer
00000001e6f1bb74 (__TEXT,__text) external _IOLogv
00000001e6f1bcb8 (__TEXT,__text) external _IOMalloc
00000001e6f1bcdc (__TEXT,__text) external _IOMallocData
00000001e6f1bccc (__TEXT,__text) external _IOMallocZero
00000001e6f1bcf0 (__TEXT,__text) external _IOMallocZeroData
000000021de68000 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000021de681b0 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e6f1bdb8 (__TEXT,__text) external _IOParseBootArgNumber
00000001e6f1c280 (__TEXT,__text) external _IOParseBootArgString
00000001e6f1dfd0 (__TEXT,__text) external _IORPCMessageFromMach
00000001e6f4d00c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e6f4d04c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e6f1f294 (__TEXT,__text) external _IORWLockAlloc
00000001e6f4d4bc (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e6f1f2d8 (__TEXT,__text) external _IORWLockFree
00000001e6f1f31c (__TEXT,__text) external _IORWLockRead
00000001e6f4d4e8 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e6f1f35c (__TEXT,__text) external _IORWLockUnlock
00000001e6f4d540 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e6f1f33c (__TEXT,__text) external _IORWLockWrite
00000001e6f4d514 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e6f1f0b4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e6f1f0f0 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e6f1f1d8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e6f4d438 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e6f1f100 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e6f4d388 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e6f4d3b4 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e6f1f21c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e6f4d464 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e6f4d490 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e6f1f168 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e6f4d3e0 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e6f4d40c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e6f1f06c (__TEXT,__text) external _IORecursiveLockAlloc
00000001e6f1f090 (__TEXT,__text) external _IORecursiveLockFree
00000001e6f1f0ac (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e6f1f0a0 (__TEXT,__text) external _IORecursiveLockLock
00000001e6f1f0b0 (__TEXT,__text) external _IORecursiveLockTryLock
00000001e6f1f0a8 (__TEXT,__text) external _IORecursiveLockUnlock
000000021de685e0 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000021de68360 (__AUTH_CONST,__const) external _IOReporter_Class
000000021de68c10 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000021de68dc0 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000021de68a60 (__AUTH_CONST,__const) external _IOService_Class
000000021de68400 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e6f1bd00 (__TEXT,__text) external _IOSleep
000000021de684a0 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e6f1f42c (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e6f1f37c (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e6f1f3d0 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
