00007ff8026272f1 (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8026272af (__TEXT,__text) external _CreateLSTMData
00007ff802627164 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff80262748a (__TEXT,__text) external _DeleteLSTMData
00007ff8026274bb (__TEXT,__text) external _LSTMDataName
00007ff802608460 (__TEXT,__text) external _T_CString_int64ToString
00007ff8026083c1 (__TEXT,__text) external _T_CString_integerToString
00007ff8026084ff (__TEXT,__text) external _T_CString_stringToInteger
00007ff802608361 (__TEXT,__text) external _T_CString_toLowerCase
00007ff802608391 (__TEXT,__text) external _T_CString_toUpperCase
00007ff80266c9af (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80266c76b (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80266c66e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80266c887 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff80266cf4d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80266cefb (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80266c765 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80266cf1d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8026b88d0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff80280cb85 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff8026008d0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802600866 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802600948 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff80260093c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802600860 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff80260085a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff802600850 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8026e0270 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff8026e0360 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff8026e01aa (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8026e01fa (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8026e022a (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8026e0224 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8026e021a (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8026e0230 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff802607d86 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff802607f90 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff8026079e6 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff802607e6a (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff802607f08 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff802607eca (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff802607ffc (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff802607c0e (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff802607bc8 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff80260799a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff802607ba6 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff80260785c (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff8026077fe (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff802607866 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff802704a38 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff802704924 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff8027047ea (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff8027048f0 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff8027047be (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff8027048d8 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff802704406 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff802704422 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff802704894 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff802704848 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff8027042da (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00007ff8027042b0 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802704a02 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00007ff8027047b4 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00007ff802704a80 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00007ff8027042c2 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00007ff80270458c (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802704790 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00007ff8027046d4 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff8027042f6 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00007ff802703d90 (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00007ff802703d56 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00007ff802703eb4 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00007ff802703eae (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00007ff802703e68 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00007ff802703dd6 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00007ff80273aaa2 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00007ff80273abcc (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00007ff80273aeea (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00007ff80273af0a (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00007ff80273aef8 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00007ff80273aa52 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00007ff80273aa6c (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
