00000001e6fa2c58 (__DATA,__data) non-external _C
00000001e6fa3e80 (__DATA,__bss) non-external _CF6464
0000000180355ca8 (__TEXT,__const) non-external _CIFP
00000001e6fa4b84 (__DATA,__bss) non-external _EMSG
00000001e6fa4b85 (__DATA,__bss) non-external _EMSG
0000000180355c78 (__TEXT,__const) non-external _ExpandTr
00000001e6fa3e70 (__DATA,__bss) non-external _IE3264
0000000180355c38 (__TEXT,__const) non-external _IP
00000001e6fa3de0 (__DATA,__bss) non-external _KS
00000001e8288660 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001e8288658 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
000000018031e96c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180344c3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018031e998 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018031e9b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018031e9d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018031e9ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018031ea08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018031ea20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000018031ea38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180355ce8 (__TEXT,__const) non-external _P32Tr
0000000180355c00 (__TEXT,__const) non-external _PC1
00000001e6fa3dd8 (__DATA,__bss) non-external _PC1ROT
0000000180355bc0 (__TEXT,__const) non-external _PC2
00000001e6fa3e60 (__DATA,__bss) non-external _PC2ROT
0000000180355bb0 (__TEXT,__const) non-external _Rotates
0000000180355d08 (__TEXT,__const) non-external _S
00000001e6fa3e78 (__DATA,__bss) non-external _SPE
0000000180330918 (__TEXT,__text) non-external (was a private external) __BIG5_init
000000018033095c (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180330a80 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180330a2c (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001e6fa2d70 (__DATA,__data) non-external __C_lconv
00000001e4d19cf8 (__DATA_CONST,__const) non-external __C_messages_locale
00000001e4d19d18 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001e4d19dc0 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001e4d1a010 (__DATA_CONST,__const) non-external __C_time_locale
00000001e6fa2ec0 (__DATA,__data) external __CurrentRuneLocale
00000001e6fa3110 (__DATA,__constrw) external __DefaultRuneLocale
00000001e875d330 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
00000001803320dc (__TEXT,__text) non-external __EUC_free_extra
0000000180331b9c (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180331d4c (__TEXT,__text) non-external __EUC_mbrtowc
00000001803320c0 (__TEXT,__text) non-external __EUC_mbsinit
0000000180331ee8 (__TEXT,__text) non-external __EUC_wcrtomb
0000000180345318 (__TEXT,__text) external __Exit
0000000180332104 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180332148 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001803323c8 (__TEXT,__text) non-external __GB18030_mbsinit
00000001803322bc (__TEXT,__text) non-external __GB18030_wcrtomb
